bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,82156069.7577305,0.453147228538792,0.73122512666668
5,9,7,47125669.387148,0.259930477915931,0.419439168262147
10,14,12,86298992.9154648,0.475998299098917,0.768098963495998
15,19,17,-1117556.08979431,-0.00616409044785507,-0.00994674034099681
20,24,22,18579165.6529154,0.102476876620422,0.165362739454026
25,29,27,3195709.50838569,0.0176265358263901,0.0284432190701207
30,34,32,4854693.5686328,0.0267769739048897,0.0432089062940771
35,39,37,-2076952.52347602,-0.0114558216160437,-0.0184857902348296
40,44,42,-6935212.84447637,-0.0382524686133173,-0.0617264421924887
45,49,47,33426042.4887441,0.184367613488096,0.297506468175444
50,54,52,-6655498.32342608,-0.0367096506526996,-0.0592368600266347
55,59,57,6529505.03659901,0.0360147110224502,0.0581154644025383
60,64,62,11406986.525842,0.0629173759821718,0.101527193204847
65,69,67,-5125338.29033669,-0.0282697656842486,-0.0456177632597668
70,74,72,15869552.3218748,0.0875314955305811,0.141245989991074
75,79,77,7936267.1825589,0.0437739717750013,0.0706362657432404
80,84,82,-14771494.5871918,-0.0814749519213935,-0.131472793579676
85,89,87,-8740463.75850163,-0.048209668987191,-0.0777939686962021
90,94,92,-11160502.9860431,-0.061557849738162,-0.0993333813764297
95,99,97,-4218235.77601996,-0.0232664714471296,-0.0375441522303333
100,104,102,-1365782.93966429,-0.00753323224588893,-0.0121560683951929
105,109,107,14530311.9019017,0.0801446635357265,0.129326161685999
110,114,112,-4063948.05339763,-0.0224154685436309,-0.0361709236928641
115,119,117,15364481.418699,0.0847456821309796,0.136750636985028
120,124,122,-3515713.01891165,-0.0193915752732032,-0.0312913909484512
