z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-200,-219,6505694.65049114,8933096.41199295,-2427401.76150181,-2427401.76150181,above_vessel
2,-199,-218,17853545.7591369,11098698.9572216,6754846.80191522,-3517186.0510942,above_vessel
3,-198,-217,3812518.92847777,8419489.26916436,-4606970.34068658,-2427401.76150181,above_vessel
4,-197,-216,4917046.69624565,10318000.9135485,-5400954.21730286,-4606970.34068658,above_vessel
5,-196,-215,38312527.8220145,4554098.50458433,33758429.3174302,-4606970.34068658,above_vessel
6,-195,-214,318652.657808961,8113684.35113438,-7795031.69332542,-110430.128756206,above_vessel
7,-194,-213,8719256.42670541,8829686.55546162,-110430.128756206,-110430.128756206,above_vessel
8,-193,-212,16058485.0190119,7126382.13460294,8932102.88440899,-1310185.33271861,above_vessel
9,-192,-211,777454.937737464,6478802.86652153,-5701347.92878407,-198492.649650165,above_vessel
10,-191,-210,1911743.07951202,3221928.41223062,-1310185.33271861,-229920.901458286,above_vessel
11,-190,-209,7460760.33686219,7659252.98651236,-198492.649650165,-1310185.33271861,above_vessel
12,-189,-208,7688904.2866497,7918825.18810799,-229920.901458286,-1310185.33271861,above_vessel
13,-188,-207,3275004.86071503,8398605.8208587,-5123600.96014367,-229920.901458286,above_vessel
14,-187,-206,2588795.37325011,7574611.64412414,-4985816.27087404,-3236837.60872317,above_vessel
15,-186,-205,13625245.1740292,8823669.82595576,4801575.34807342,-3236837.60872317,above_vessel
16,-185,-204,357476.387040357,3594313.99576353,-3236837.60872317,2835626.84460088,above_vessel
17,-184,-203,7821082.28251978,4985455.4379189,2835626.84460088,2835626.84460088,above_vessel
18,-183,-202,11809166.603138,5238437.49406647,6570729.10907156,534294.481440575,above_vessel
19,-182,-201,3248076.58844852,6854360.97867429,-3606284.39022577,1069942.64964449,above_vessel
20,-181,-200,3120491.44508407,2586196.96364349,534294.481440575,1069942.64964449,above_vessel
21,-180,-199,6685526.969986,5615584.32034151,1069942.64964449,534294.481440575,above_vessel
22,-179,-198,11813602.8576218,2724766.23556502,9088836.62205676,534294.481440575,above_vessel
23,-178,-197,3560202.8442102,8601247.43644453,-5041044.59223433,-1023547.91356037,above_vessel
24,-177,-196,690381.198226493,4196929.02560376,-3506547.82737727,-1023547.91356037,above_vessel
25,-176,-195,2452281.46490602,3475829.37846639,-1023547.91356037,-3506547.82737727,above_vessel
26,-175,-194,49726467.0772498,5099289.54028093,44627177.5369689,-1023547.91356037,above_vessel
27,-174,-193,644750.432253174,7408492.01652503,-6763741.58427185,-1023547.91356037,above_vessel
28,-173,-192,5387777.88978705,6385367.50301364,-997589.613226591,-3051475.33630125,above_vessel
29,-172,-191,1567569.11652444,4619044.45282569,-3051475.33630125,-3051475.33630125,above_vessel
30,-171,-190,1299838.1028542,6108646.55439552,-4808808.45154132,-997589.613226591,above_vessel
