z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-214,-229,3333094.8961656,4369578.30427597,-1036483.40811037,-1052188.75727279,above_vessel
2,-213,-228,440912.154251775,2305380.42412922,-1864468.26987745,-1458328.51357512,above_vessel
3,-212,-227,1321457.94506562,2373646.70233841,-1052188.75727279,-1864468.26987745,above_vessel
4,-211,-226,1474410.87724199,8033651.28241305,-6559240.40517106,-1864468.26987745,above_vessel
5,-210,-225,2854949.16864924,5334008.2660764,-2479059.09742716,-1052188.75727279,above_vessel
6,-209,-224,3365404.56696429,1733259.85229711,1632144.71466718,-1321088.09824465,above_vessel
7,-208,-223,3942335.7424509,1929943.30817132,2012392.43427958,-1321088.09824465,above_vessel
8,-207,-222,4105088.50050942,5426176.59875407,-1321088.09824465,1632144.71466718,above_vessel
9,-206,-221,93236.3000940715,2239283.9852424,-2146047.68514833,2012392.43427958,above_vessel
10,-205,-220,11662746.8730984,895231.990954307,10767514.8821441,2236209.28524832,above_vessel
11,-204,-219,6125162.0408667,3888952.75561838,2236209.28524832,8916567.09152954,above_vessel
12,-203,-218,14142130.6027754,5225563.51124589,8916567.09152954,8916567.09152954,above_vessel
13,-202,-217,34974032.7471897,4519412.0160279,30454620.7311618,2236209.28524832,above_vessel
14,-201,-216,6119067.43408135,9166246.76262086,-3047179.32853951,-948074.39661189,above_vessel
15,-200,-215,9514162.78783792,10462237.1844498,-948074.39661189,-948074.39661189,above_vessel
16,-199,-214,1051874.43220157,7005375.44228601,-5953501.01008443,-948074.39661189,above_vessel
17,-198,-213,3393585.08797427,3956887.96735776,-563302.879383496,-948074.39661189,above_vessel
18,-197,-212,10143170.570153,2747131.60148244,7396038.96867052,-563302.879383496,above_vessel
19,-196,-211,560624.378486957,3629733.27899844,-3069108.90051149,-563302.879383496,above_vessel
20,-195,-210,3006862.69982529,2190950.45811309,815912.2417122,815912.2417122,above_vessel
21,-194,-209,685476.208013968,2153462.82247745,-1467986.61446348,815912.2417122,above_vessel
22,-193,-208,8948332.518491,2607427.00560611,6340905.5128849,815912.2417122,above_vessel
23,-192,-207,6751124.73843144,1950915.45342307,4800209.28500836,-191373.671795073,above_vessel
24,-191,-206,2188057.85137427,2379431.52316935,-191373.671795073,4800209.28500836,above_vessel
25,-190,-205,595170.814463564,3530836.62549075,-2935665.81102719,-191373.671795073,above_vessel
26,-189,-204,8534069.34520683,2526365.15326116,6007704.19194566,-191373.671795073,above_vessel
27,-188,-203,166222.805948913,2353810.35610666,-2187587.55015775,4067885.227117,above_vessel
28,-187,-202,6738091.75836748,2670206.53125049,4067885.227117,6007704.19194566,above_vessel
29,-186,-201,9658533.90021902,2567558.2684212,7090975.63179782,4067885.227117,above_vessel
30,-185,-200,7646436.63835432,1458957.02923968,6187479.60911464,4067885.227117,above_vessel
31,-184,-199,1962699.00661742,3218976.81718189,-1256277.81056447,3242944.78767099,above_vessel
32,-183,-198,5691940.10161882,2448995.31394784,3242944.78767099,3242944.78767099,above_vessel
33,-182,-197,3527634.58372288,2116090.73824457,1411543.84547832,1411543.84547832,above_vessel
34,-181,-196,5460718.26464029,1565509.05506049,3895209.2095798,3242944.78767099,above_vessel
