scan_id,diameter_um,flow_mm_s,n_nominal,n_geometry_valid,n_metric_assessable,n_primary_eligible,n_auc_defined,n_denominator_defined,n_normalized_defined,n_denominator_pooled,n_auc_defined_all_positions,n_denominator_defined_all_positions,n_normalized_defined_all_positions,median_raw_AUC_200,min_raw_AUC_200,max_raw_AUC_200,n_pooled_raw_AUC_200,median_vessel_core_P95,min_vessel_core_P95,max_vessel_core_P95,n_pooled_vessel_core_P95,median_normalized_AUC_um,min_normalized_AUC_um,max_normalized_AUC_um,n_pooled_normalized_AUC_um
D128_F01_V01,128,1,500,486,486,486,486,486,486,486,486,486,486,5744849825.2933817,1440543943.8031473,15791346990.083487,486,379745966.9624958,74802437.569499284,1322909689.4726181,486,15.154867796742845,3.5036890494960065,76.834738017321342,486
D128_F03_V01,128,3,500,468,468,468,468,468,468,468,468,468,468,5803264037.9779758,2112889706.8837879,14876651491.443699,468,407135180.16290605,50341149.598413102,1530912232.299294,468,14.177169157922178,3.6281366311932182,90.729999981970764,468
D128_F05_V01,128,5,500,491,491,491,491,491,491,491,491,491,491,5585216784.1950607,1737062455.6991723,14100607445.990494,491,408177337.8226369,42057744.748586491,1676940000.4899187,491,13.754867982743363,3.4812456358305472,169.15299223168563,491
D128_F07_V01,128,7,500,493,493,493,493,493,493,493,493,493,493,6455300899.0893517,2057193507.0433502,15469182094.915445,493,233227946.57303619,28630986.650503609,996006574.14064181,493,27.402543592428241,6.1740083368545786,136.19296899246396,493
D128_F10_V01,128,10,500,484,484,484,484,484,484,484,484,484,484,6076404098.6701698,2230482892.6263299,12015242316.64106,484,398969003.74968451,65078022.004347302,1269185628.6712654,484,14.644725487495869,4.3153759963460203,57.49963659674318,484
D235_F01_V01,235,1,500,448,448,448,448,448,448,448,448,448,448,1806192843.8554683,649515132.03456163,10838601697.697836,448,451615200.87422657,22853130.584037229,1045722636.7767105,448,3.8991966545949657,1.0555113270047549,364.53589270903268,448
D235_F03_V01,235,3,500,448,448,448,448,448,448,448,448,448,448,1785966481.8980055,373780348.29729933,7139501700.8798065,448,509696212.98671401,123599002.39437309,1843234610.621021,448,3.6287753389923303,0.84846055456323477,14.237943355120272,448
D235_F05_V01,235,5,500,424,424,424,424,424,424,424,424,424,424,1735095180.6195903,415855799.06218702,5335844300.1360359,424,504158181.5645566,140510604.81691828,1544591967.1120646,424,3.3463398052315778,1.0636185566979335,9.4963950845604064,424
D235_F07_V01,235,7,500,444,444,444,444,444,444,444,444,444,444,1753477140.2770705,405928475.67447811,7047568333.4457006,444,530381224.39623249,155508960.03978994,1489084169.1716592,444,3.3630659374924017,1.0684101463115767,10.090432605775032,444
D235_F10_V01,235,10,500,461,461,461,461,461,461,461,461,461,461,1824697168.0039144,459481696.71002668,7301266291.7882566,461,527716817.77361298,155151716.87992159,2280204832.3742242,461,3.4261100548485768,0.98723320283727889,20.344359575523164,461
D285_F01_V01,285,1,500,453,453,453,453,453,453,453,453,453,453,1426343366.4770589,547485756.59915888,3001398057.0694599,453,516794617.34093189,223040626.71093911,1178502066.7684317,453,2.6602227025217444,0.66756755378632338,7.7760530842637552,453
D285_F03_V01,285,3,500,474,474,474,474,474,474,474,474,474,474,1473904395.7877994,499482225.38638628,6177234099.6772575,474,526308325.95849597,122464927.95942555,1456472031.9033661,474,2.7419631131958253,0.61370576181658909,50.440842146445931,474
D285_F05_V01,285,5,500,492,492,492,492,492,492,492,492,492,492,1407198433.0311007,361357136.53871053,3660823377.5950646,492,538294587.99032879,259514578.72363505,1435543233.0909088,492,2.551641519372279,0.65320668574490459,7.764635541673587,492
D285_F07_V01,285,7,500,458,458,458,458,458,458,458,458,458,458,1332075925.3672738,397061374.3613959,3153356315.5244794,458,515049505.85678273,152285885.33262342,1595582865.1111622,458,2.5968059149642189,0.57079052195570668,9.0440630558915593,458
D285_F10_V01,285,10,500,494,494,494,494,494,494,494,494,494,494,1378725592.8093803,484888077.48502201,4006896542.3309774,494,525249563.64859617,250129950.96736288,1730650547.5453138,494,2.5262288159495849,0.67377276518306539,6.9223110086553623,494
