bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,84519539.7227333,0.188958407197009,0.939319867001664
5,9,7,59143046.3021703,0.132224759655561,0.65729461576428
10,14,12,-5704520.16126357,-0.0127534656131789,-0.0633979921893157
15,19,17,34108415.6462522,0.0762554068996641,0.379068704746597
20,24,22,69770308.5161354,0.155983887395767,0.775402198486109
25,29,27,33331227.2559311,0.0745178645418987,0.370431311573059
30,34,32,-7655744.27074125,-0.0171157728503081,-0.0850831974923451
35,39,37,-758338.048697693,-0.00169539907894532,-0.00842789723396263
40,44,42,7936232.36574674,0.0177428536868085,0.0882004416344738
45,49,47,5828843.43175705,0.013031412313398,0.0647796764517744
50,54,52,-5321264.11647761,-0.0118966288153337,-0.0591386218922589
55,59,57,26674503.7679508,0.0596355796694771,0.296450872944208
60,64,62,17243682.8923409,0.0385513085404398,0.191640110371968
65,69,67,3290686.19086293,0.00735691206140591,0.0365715067224176
70,74,72,-2557669.269531,-0.00571812284937615,-0.0284250194212062
75,79,77,3979104.66461995,0.00889599354141465,0.0442223428643589
80,84,82,-1066549.71789929,-0.00238446087794374,-0.0118532512417169
85,89,87,-2038041.87267169,-0.00455640373012194,-0.0226500668018531
90,94,92,7169218.14532873,0.0160280574886382,0.079676120538134
95,99,97,15333787.3089428,0.0342813985464265,0.170414215492869
100,104,102,5649612.65653378,0.0126307101572105,0.0627877698642844
105,109,107,1204354.82237467,0.00269254860689621,0.013384767774256
110,114,112,-3918862.52016056,-0.00876131155307774,-0.0435528332656658
115,119,117,-4003952.35064832,-0.00895154494633066,-0.0444984911397995
120,124,122,14145358.8447244,0.0316244561352043,0.157206447554085
125,129,127,-444978.647995032,-0.000994828614041827,-0.00494533318359814
130,134,132,9096315.24928813,0.0203364245298302,0.101093186950571
