bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,15903096.7641448,0.0436055377987529,0.758411194673108
5,9,7,-5806260.54309464,-0.0159204912940072,-0.276897830679114
10,14,12,-3215587.91769219,-0.00881698970770743,-0.153349873323524
15,19,17,-6867588.12462767,-0.0188306012342133,-0.327512043180466
20,24,22,-13498626.188262,-0.0370125934095168,-0.643743125362037
25,29,27,-5110661.82259141,-0.0140131925615959,-0.24372505531002
30,34,32,2748677.39311099,0.00753674317269516,0.131083130310839
35,39,37,-4881362.4840362,-0.0133844646400541,-0.23278987784927
40,44,42,-4918666.80082623,-0.0134867513091205,-0.234568903147473
45,49,47,-7891908.44797339,-0.0216392390259663,-0.37636139696847
50,54,52,6815121.82305005,0.0186867411212722,0.325009949968704
55,59,57,3049395.08585438,0.00836129683744052,0.145424215446349
60,64,62,-5370605.08552292,-0.0147259446717916,-0.256121627091662
65,69,67,24634882.6446554,0.0675476809492411,1.17482595083547
70,74,72,-8883869.93835418,-0.024359150430972,-0.423667573252676
75,79,77,17033616.2577115,0.0467053686832694,0.812325136871477
80,84,82,6743740.35024153,0.018491016505064,0.32160580114957
85,89,87,-5498825.08952095,-0.0150775178473695,-0.262236378693525
