bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,29630805.4281887,0.120718320828793,0.679346005791269
5,9,7,39491161.2312067,0.160890215521281,0.905414559570388
10,14,12,-833947.420557104,-0.00339756988763405,-0.0191199274204148
15,19,17,-6591679.91420985,-0.0268550422165471,-0.151127563239065
20,24,22,67693599.6470324,0.275789252507872,1.55201236933288
25,29,27,-1230114.07006088,-0.00501158516684642,-0.0282028472762506
30,34,32,5859240.86736276,0.0238710257321113,0.134334920117465
35,39,37,36054609.539489,0.146889423316327,0.826624677495746
40,44,42,1618614.2168391,0.00659436648794376,0.0371099970870359
45,49,47,-6420015.94787729,-0.0261556692004237,-0.147191820413951
50,54,52,7639382.92959751,0.0311234698518128,0.175148269003679
55,59,57,31319274.0856764,0.12759728001193,0.718057556887913
60,64,62,15645908.094643,0.0637427071499752,0.358714014603238
65,69,67,2378423.38578593,0.00968989108473124,0.0545301554873391
70,74,72,15322980.1340444,0.062427072269695,0.351310239477293
75,79,77,-7082366.46881315,-0.0288541393071926,-0.162377542648943
80,84,82,-1019564.46010773,-0.00415378886339114,-0.0233755726046511
85,89,87,378042.48812695,0.00154017596582808,0.0086673868839257
90,94,92,8418402.42706288,0.0342972588956113,0.193008862949369
95,99,97,-10653957.5847188,-0.0434050931529831,-0.244263476016176
100,104,102,-3152967.16975969,-0.0128454457062988,-0.0722881346697899
105,109,107,-18626246.0307638,-0.0758848472623256,-0.427044275747127
110,114,112,22060738.0079762,0.0898772480221987,0.505786934710481
115,119,117,186836.791290546,0.000761188343944831,0.00428361045418428
