bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,59575260.174648,0.24141401932678,0.719797011444231
5,9,7,25561473.0418284,0.103581552625211,0.308837457858892
10,14,12,46963181.8624728,0.190306688725444,0.567416035673563
15,19,17,1315531.96810647,0.00533086820002847,0.0158944497485442
20,24,22,24517090.0530354,0.0993494486561822,0.29621906975731
25,29,27,99785723.5974643,0.404356985340472,1.20562571476305
30,34,32,832972.310881808,0.00337541444163876,0.010064093354034
35,39,37,3451942.1544298,0.0139881425199226,0.0417068702537414
40,44,42,11463151.3540019,0.0464515880318131,0.138499472132473
45,49,47,11099702.958976,0.0449788032281235,0.134108235438132
50,54,52,19626431.9170402,0.0795312651635277,0.23712942247814
55,59,57,-2166600.87578672,-0.008779614628073,-0.0261771888332832
60,64,62,-6010633.60164025,-0.0243566072933419,-0.0726213547479903
65,69,67,3705716.52180362,0.0150165004297365,0.0447730092967155
70,74,72,-1996852.87571003,-0.00809175280672193,-0.024126268656088
75,79,77,5251685.61848725,0.0212811581465686,0.0634516341540107
80,84,82,12254501.6476563,0.0496583395344751,0.14806068218356
85,89,87,-15604542.5217304,-0.0632335522981009,-0.188536366256202
90,94,92,2186505.34164382,0.0088602725570695,0.0264176775025116
95,99,97,14571010.5586561,0.0590454194292387,0.176049081835251
100,104,102,-11507398.5035794,-0.0466308886709029,-0.139034072668626
105,109,107,-796230.195869371,-0.00322652610044283,-0.00962016974375412
110,114,112,-102393.953981165,-0.000414926194411713,-0.00123713873593731
115,119,117,-5377503.88129619,-0.0217910055637746,-0.0649717888170284
120,124,122,-9553627.84526753,-0.0387137159034976,-0.115428329667628
125,129,127,-1478658.30218803,-0.00599189735631289,-0.0178653659881971
130,134,132,7611449.33237688,0.0308435174407041,0.0919626446639592
