scan_id,flow_mm_s,n_valid_frames,ri_tail_q1,ri_tail_median,ri_tail_q3,source_mean_raw_median,tail_mean_raw_median,ri_delta_pct_vs_flow01
flow01,1,486,0.237326819981905,0.26894256223210494,0.30105489209188546,149475499.77011237,39973806.389386863,0
flow03,3,468,0.22534986429448922,0.25632875814502498,0.29443373259884797,155467660.52228588,39258979.062311128,-4.690147956645812
flow05,5,491,0.22326579958711315,0.256645550299264,0.29907177718129108,154204959.81361899,39176211.170652881,-4.5723562052734055
flow07,7,493,0.28261489166851228,0.32317992329725742,0.3689243645778808,123276893.0110162,40208950.329087123,20.16689385830426
flow10,10,484,0.22359205648591529,0.25946745609265887,0.29367327453694048,154338856.44940418,39774709.246335603,-3.5230965529616673
