scan_id,flow_mm_s,lag_frames,pair_count,acf
flow01,1,0,486,1
flow01,1,1,475,0.42546153976632262
flow01,1,2,474,0.28741650142863828
flow01,1,3,473,0.23427919939201378
flow01,1,4,474,0.19912376011669813
flow01,1,5,472,0.18390950260496339
flow01,1,6,472,0.16006426262674267
flow01,1,7,470,0.079672438431258347
flow01,1,8,470,0.082726609331521386
flow01,1,9,469,0.08866042519393777
flow01,1,10,468,0.028796509176192857
flow01,1,11,467,0.084845734556206948
flow01,1,12,466,0.07491086881975173
flow01,1,13,465,0.11999026188910038
flow01,1,14,464,0.13045953904294588
flow01,1,15,463,0.11840667214898809
flow01,1,16,462,0.15595781683309953
flow01,1,17,461,0.10208720130776631
flow01,1,18,460,0.11213201647952777
flow01,1,19,459,0.087495237899545164
flow01,1,20,458,0.073023386702739529
flow01,1,21,457,0.055384351875801742
flow01,1,22,456,0.091577513101303534
flow01,1,23,455,0.013658983827569875
flow01,1,24,455,0.075630271523563386
flow01,1,25,453,0.040835442062944129
flow01,1,26,452,0.033910368352465525
flow01,1,27,451,0.0054058068013680049
flow01,1,28,451,0.045873754870057466
flow01,1,29,449,0.066478721906234176
flow01,1,30,448,0.039123698505231959
flow01,1,31,447,0.089621543462312922
flow01,1,32,447,0.12356752587033709
flow01,1,33,445,0.07884153873018461
flow01,1,34,445,0.076547686499198561
flow01,1,35,444,0.0092263974321822925
flow01,1,36,442,0.020766445323400062
flow01,1,37,441,0.051948546708066756
flow01,1,38,440,-0.024822644415391892
flow01,1,39,440,-0.030689761970586978
flow01,1,40,438,0.013501870376610599
flow01,1,41,437,-0.036161409126560587
flow01,1,42,436,0.00088900173590332314
flow01,1,43,436,-0.00095331480566680294
flow01,1,44,435,0.029389219370051959
flow01,1,45,434,0.030146420060510878
flow01,1,46,433,0.086087747030319628
flow01,1,47,432,0.017055232613570104
flow01,1,48,431,-0.019434968169658499
flow01,1,49,431,-0.076536988615927184
flow01,1,50,429,0.01342228782356631
flow01,1,51,428,0.018648427583568248
flow01,1,52,427,0.045440547447887766
flow01,1,53,426,0.064164862912645365
flow01,1,54,425,-0.006664605878155338
flow01,1,55,424,0.056563461299506547
flow01,1,56,424,-0.0060772854716849437
flow01,1,57,422,0.02013646429012201
flow01,1,58,421,0.078547852642521579
flow01,1,59,420,0.10452823305971171
flow01,1,60,419,0.07467026850459102
flow01,1,61,418,0.073498822189951518
flow01,1,62,417,0.055155423191485205
flow01,1,63,416,0.070145862628663735
flow01,1,64,415,0.04307903754330427
flow01,1,65,414,-0.0073479467377853599
flow01,1,66,413,0.05319547465071206
flow01,1,67,413,0.0061495406794557558
flow01,1,68,411,0.00082743682844612493
flow01,1,69,410,0.01070633124164715
flow01,1,70,409,-0.095526889190497899
flow01,1,71,409,-0.089553914784616204
flow01,1,72,407,-0.11347089909527079
flow01,1,73,407,-0.08309327566125585
flow01,1,74,405,-0.019760764696987392
flow01,1,75,405,-0.011436524479475017
flow01,1,76,404,0.00075592939033634226
flow01,1,77,404,0.071186488649264704
flow01,1,78,402,-0.070281029152486504
flow01,1,79,401,-0.094275695219828218
flow01,1,80,400,-0.01982458266963914
flow01,1,81,399,0.0033266447221363673
flow01,1,82,398,-0.042746096345794966
flow01,1,83,398,-0.025995158296012337
flow01,1,84,396,-0.055399862871019633
flow01,1,85,395,-0.021549924241596883
flow01,1,86,394,0.016293205410503542
flow01,1,87,393,-0.066439896327225953
flow01,1,88,392,-0.061195582869577908
flow01,1,89,391,-0.057982849880991109
flow01,1,90,390,-0.042535260915267513
flow01,1,91,390,-0.0022799275079863246
flow01,1,92,388,0.003751546808368146
flow01,1,93,387,-0.0026824189891784468
flow01,1,94,386,-0.030717538114396755
flow01,1,95,386,0.037079410186477244
flow01,1,96,384,0.0083164660465149826
flow01,1,97,383,-0.006316889889747465
flow01,1,98,382,-0.053933124596000852
flow01,1,99,382,-0.013623051896327733
flow01,1,100,381,-0.059007703604317223
flow01,1,101,380,-0.023126552440406321
flow01,1,102,379,-0.11282839604972317
flow01,1,103,378,-0.13353835127568409
flow01,1,104,377,-0.19161359309321985
flow01,1,105,377,-0.087758721348252564
flow01,1,106,375,-0.072289327947982304
flow01,1,107,374,-0.11864329353267891
flow01,1,108,374,-0.13236370632518532
flow01,1,109,372,-0.062046895949818243
flow01,1,110,371,0.021840718297198702
flow01,1,111,371,-0.032122799135298731
flow01,1,112,369,-0.020591294055999791
flow01,1,113,368,0.021251210862983368
flow01,1,114,367,-0.0069553634129268021
flow01,1,115,366,-0.013068127908769399
flow01,1,116,365,-0.036132228934437044
flow01,1,117,364,0.0094493830745691187
flow01,1,118,363,-0.044668734371118193
flow01,1,119,362,0.0084434173073183114
flow01,1,120,361,-0.00054521477186630159
flow01,1,121,360,0.070930137317472455
flow01,1,122,359,-0.02957479567235
flow01,1,123,358,-0.042518698571952021
flow01,1,124,357,-0.029725766687574241
flow01,1,125,356,0.0076335003504577788
flow01,1,126,356,-0.032617328931881309
flow01,1,127,354,-0.0043448588115982661
flow01,1,128,353,-0.06721237640436438
flow01,1,129,352,-0.024915092982616936
flow01,1,130,352,-0.088943403751871708
flow01,1,131,351,-0.086013407015887097
flow01,1,132,351,-0.031545072241823589
flow01,1,133,349,0.033708440237779982
flow01,1,134,348,0.031498299442391492
flow01,1,135,347,0.084517996464166106
flow01,1,136,347,0.035117768688159717
flow01,1,137,345,0.031898055884589611
flow01,1,138,344,0.049138745465415329
flow01,1,139,343,-0.001740494922467158
flow01,1,140,343,0.043733793940402811
flow01,1,141,341,0.090638506629525467
flow01,1,142,341,0.060707776743649564
flow01,1,143,339,0.050026529315981796
flow01,1,144,339,-0.04290296847811044
flow01,1,145,337,0.0017078498673099738
flow01,1,146,336,0.007343477264938226
flow01,1,147,335,0.078837872795036873
flow01,1,148,335,0.019497531233004926
flow01,1,149,334,0.049518648823715108
flow01,1,150,334,0.043040649881727656
flow01,1,151,332,0.050553867751716511
flow01,1,152,331,0.067856964671801204
flow01,1,153,330,0.089177188344719008
flow01,1,154,329,0.16529955293235502
flow01,1,155,328,0.060660726618916361
flow01,1,156,328,0.10414899104431756
flow01,1,157,326,0.086505773836303923
flow01,1,158,325,0.088411630484779027
flow01,1,159,324,0.13013116446182069
flow01,1,160,324,0.1022757768004275
flow01,1,161,322,0.078567940483906487
flow01,1,162,321,0.062168990738799855
flow01,1,163,320,0.042686513002612558
flow01,1,164,319,-0.011417156914233432
flow01,1,165,318,0.046200107805268092
flow01,1,166,317,0.022586035668047667
flow01,1,167,316,0.047965205002384978
flow01,1,168,315,-0.018688784361030834
flow01,1,169,314,0.026526639967898641
flow01,1,170,313,-0.028751754540826256
flow01,1,171,312,-0.043576847700512837
flow01,1,172,311,0.025640490070350856
flow01,1,173,310,-0.058365625580603507
flow01,1,174,309,-0.042073883369870418
flow01,1,175,308,-0.063306175252170138
flow01,1,176,307,-0.023106401899562898
flow01,1,177,306,-0.026925939227039876
flow01,1,178,305,-0.0045596048901282386
flow01,1,179,304,0.034925542491168242
flow01,1,180,303,0.039059404189492393
flow01,1,181,302,-0.061724751283913769
flow01,1,182,302,-0.083989704666470363
flow01,1,183,300,-0.025489476066622861
flow01,1,184,300,-0.019242661873227169
flow01,1,185,298,-0.017479989117267617
flow01,1,186,297,0.0077401398381087205
flow01,1,187,296,0.053584391211412591
flow01,1,188,296,0.040191418922079357
flow01,1,189,294,-0.029126547074472937
flow01,1,190,293,0.043690437743120189
flow01,1,191,292,0.067446419631362844
flow01,1,192,291,0.02768941292812022
flow01,1,193,290,0.060454422892617016
flow01,1,194,289,0.030772999587318398
flow01,1,195,288,0.0091396581799683563
flow01,1,196,287,0.071296308187257129
flow01,1,197,286,-0.012032645541625635
flow01,1,198,285,0.039460829741181876
flow01,1,199,284,0.004311890450290368
flow01,1,200,283,0.056462359688022441
flow03,3,0,468,1
flow03,3,1,462,0.47870575452762276
flow03,3,2,457,0.32542123917654336
flow03,3,3,453,0.31074832293700416
flow03,3,4,449,0.23750921559387622
flow03,3,5,446,0.17855798370085235
flow03,3,6,443,0.20187505855759735
flow03,3,7,440,0.18080163872379615
flow03,3,8,438,0.14205765644321372
flow03,3,9,436,0.14210769112468502
flow03,3,10,434,0.1163589665973057
flow03,3,11,432,0.11622468366869397
flow03,3,12,430,0.12772589691264497
flow03,3,13,428,0.11180575258492759
flow03,3,14,427,0.13484885316349732
flow03,3,15,427,0.1539014273279907
flow03,3,16,427,0.11411975863008018
flow03,3,17,426,0.16703353437149793
flow03,3,18,424,0.089482841913201452
flow03,3,19,423,0.0977898970467415
flow03,3,20,423,0.10341725728389718
flow03,3,21,422,0.0985455818465137
flow03,3,22,421,0.091809784647376227
flow03,3,23,419,0.070962318781184114
flow03,3,24,418,0.049414524734295993
flow03,3,25,417,0.098444984689692788
flow03,3,26,416,0.15166835543321844
flow03,3,27,415,0.11620825662643569
flow03,3,28,414,0.079673184418601009
flow03,3,29,413,0.14753268064299363
flow03,3,30,412,0.16076060282785798
flow03,3,31,411,0.09916445387780802
flow03,3,32,410,0.071104058620511321
flow03,3,33,409,0.058819119682993776
flow03,3,34,408,0.010196723969290887
flow03,3,35,407,-0.032495585547017772
flow03,3,36,406,-0.0093806930925806019
flow03,3,37,405,0.0054950996769925339
flow03,3,38,404,0.0279602279923893
flow03,3,39,403,-0.0074761548037155815
flow03,3,40,402,-0.017651012704741571
flow03,3,41,401,0.02215700248733541
flow03,3,42,400,0.036059661392767534
flow03,3,43,399,0.052160977282909152
flow03,3,44,398,0.076636171061359892
flow03,3,45,397,0.091223441119031412
flow03,3,46,396,0.067025979472937744
flow03,3,47,395,0.065172008061740505
flow03,3,48,395,0.053112255639729204
flow03,3,49,394,0.013721792071727742
flow03,3,50,393,0.087735046557799595
flow03,3,51,393,0.10795803458959216
flow03,3,52,393,0.067662641727787479
flow03,3,53,393,0.043604823842086617
flow03,3,54,393,-3.253261456467242e-05
flow03,3,55,392,-0.019444177917559199
flow03,3,56,391,-0.012547416068530628
flow03,3,57,390,-0.01634193137705172
flow03,3,58,389,-0.046457824496476605
flow03,3,59,388,0.043104893784132715
flow03,3,60,387,0.053965890603505748
flow03,3,61,386,0.00067164109611840355
flow03,3,62,385,0.0016663502065082582
flow03,3,63,384,0.013456883748173956
flow03,3,64,383,0.0084274518139053952
flow03,3,65,382,0.011694370575303363
flow03,3,66,381,0.006045134723575628
flow03,3,67,380,0.059829960289970056
flow03,3,68,380,-0.00015246362756164358
flow03,3,69,380,0.0073587315525707984
flow03,3,70,380,0.021526272186592973
flow03,3,71,379,0.036072668836072609
flow03,3,72,378,0.010767416741768149
flow03,3,73,377,0.034030043156451258
flow03,3,74,376,0.090506568133636597
flow03,3,75,375,0.089106679429404492
flow03,3,76,374,0.022746703499814315
flow03,3,77,373,0.0030282781615806344
flow03,3,78,372,-0.064202847698779944
flow03,3,79,371,-0.026226311331618003
flow03,3,80,370,-0.046496057785628465
flow03,3,81,369,-0.057338428613937016
flow03,3,82,368,-0.031340669573750618
flow03,3,83,367,-0.1385145039758206
flow03,3,84,366,-0.034196599914961143
flow03,3,85,365,-0.042541160108059139
flow03,3,86,364,-0.095199126558524833
flow03,3,87,363,-0.11847763481551839
flow03,3,88,362,-0.12943293226026098
flow03,3,89,361,-0.13366691348809953
flow03,3,90,360,-0.1019746039615415
flow03,3,91,359,-0.050401110434758645
flow03,3,92,358,-0.068779506417794567
flow03,3,93,357,-0.030435634688405509
flow03,3,94,356,-0.049704185428808223
flow03,3,95,355,-0.074229295819658453
flow03,3,96,354,-0.041397206737892663
flow03,3,97,353,-0.026296890165044839
flow03,3,98,352,-0.028029311475682623
flow03,3,99,351,-0.049987311573937786
flow03,3,100,350,-0.039569230458664985
flow03,3,101,349,-0.0083754812843353562
flow03,3,102,348,-0.029136193509333948
flow03,3,103,347,-0.030214378372026476
flow03,3,104,346,-0.059458816845169064
flow03,3,105,345,-0.13891577986160245
flow03,3,106,344,-0.14315854511508902
flow03,3,107,343,-0.17581590454858401
flow03,3,108,342,-0.15106233726069015
flow03,3,109,341,-0.17329080950912248
flow03,3,110,340,-0.044598611785693479
