scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_q1,ri_r_median,ri_r_q3
flow01,1,0,486,2.6500000000000115,2.6500000000000115,0.45760895439720728,0.59773627198990953,0.762345104888831
flow01,1,10,486,9.3500000000000121,0.64999999999998792,0.4561742059681142,0.58064706787256226,0.74556924018438386
flow01,1,20,486,22.750000000000007,2.7500000000000107,0.37064044670365209,0.51184919062747758,0.66454035794648403
flow01,1,30,486,29.450000000000014,0.5499999999999865,0.40042705627366187,0.51243861342913233,0.64412984780448745
flow01,1,40,486,42.850000000000016,2.8500000000000161,0.35721210469592368,0.45222752731976168,0.57421532796064445
flow01,1,50,486,49.550000000000011,0.44999999999998858,0.34004987690793292,0.44646194893394769,0.59430842373945836
flow01,1,60,486,62.95000000000001,2.9500000000000095,0.33387568724607392,0.4354414578398248,0.56938664427647634
flow01,1,70,486,69.65000000000002,0.3499999999999801,0.31879822154469623,0.41840222082577633,0.50482891569757415
flow01,1,80,486,83.050000000000011,3.0500000000000118,0.2959450330937673,0.37793644466804388,0.47063192691223621
flow01,1,90,486,89.750000000000014,0.24999999999998571,0.28141610362940189,0.36265754014477569,0.46480965808674107
flow01,1,100,486,103.15000000000002,3.1500000000000199,0.26535695744023458,0.3289803066993891,0.41472373681601482
flow01,1,110,486,109.84999999999999,0.14999999999999139,0.25581133269906953,0.32409237409596081,0.40240940914780948
flow01,1,120,486,123.25,3.2500000000000142,0.23715191918562151,0.30952565397585841,0.39216625109005671
flow01,1,130,486,129.95000000000002,0.049999999999982898,0.23293010019096641,0.30524187619940302,0.3869824593433856
flow01,1,140,486,136.65000000000001,3.3499999999999943,0.2299502396316383,0.28933446916403049,0.3745424480689506
flow01,1,150,486,150.05000000000001,0.050000000000011299,0.21636209709618059,0.27359721038830881,0.35449852684345651
flow01,1,160,486,156.75000000000003,3.249999999999972,0.20405002277451409,0.26286041853807152,0.33355024138816852
flow01,1,170,486,170.15000000000001,0.1500000000000056,0.19913997826975061,0.26078526564790439,0.326606530042162
flow01,1,180,486,176.85000000000002,3.1499999999999773,0.1912007908144894,0.25342577057895532,0.31894294984445642
flow01,1,190,486,190.25000000000003,0.25000000000002842,0.18895728143653381,0.2391461589818725,0.299874716191466
flow01,1,200,486,196.94999999999999,3.0499999999999829,0.1864131836471678,0.23726928906984721,0.30637527842091611
flow01,1,210,486,210.34999999999999,0.35000000000002268,0.1774307674770311,0.2233912440562289,0.277809724105473
flow01,1,220,486,217.05000000000001,2.9499999999999886,0.17239677776332149,0.21611156577484081,0.2771066713273142
flow01,1,230,486,230.44999999999999,0.450000000000017,0.1735134722428171,0.22033957648949981,0.2744397890855142
flow01,1,240,486,237.15000000000001,2.8499999999999943,0.1679151065286727,0.21311537457722671,0.2766177248125935
flow01,1,250,486,250.55000000000001,0.55000000000001126,0.16450055230610081,0.21593869759323159,0.26958535730939692
flow01,1,260,486,257.25,2.75,0.1602058483021222,0.2053922374775638,0.25939873218477227
flow01,1,270,486,270.65000000000003,0.65000000000003411,0.1541020823822121,0.2016535939021219,0.25501007463124642
flow01,1,280,486,277.35000000000002,2.6499999999999773,0.15189443200755079,0.19693426745845541,0.24334018095959309
flow01,1,290,486,290.75,0.75,0.14388036137770671,0.19167829837648839,0.23618193993815939
flow01,1,300,486,297.45000000000005,2.5499999999999545,0.14783916025178959,0.1861890917784689,0.2331003366412234
flow01,1,310,486,310.85000000000002,0.85000000000002274,0.14397094681711911,0.1793323748254595,0.22697649481350859
flow01,1,320,486,317.55000000000001,2.4499999999999886,0.1416926182735099,0.17811713358219461,0.22595625592487281
flow01,1,330,486,330.95000000000005,0.95000000000004536,0.141140021290204,0.18110954286499109,0.22061204402273951
flow01,1,340,486,337.65000000000003,2.3499999999999654,0.13641034584027931,0.1785836943715241,0.221369644368587
flow01,1,350,486,351.05000000000001,1.0500000000000114,0.13782920925301259,0.17248273407650569,0.21329288428886731
flow01,1,360,486,357.75,2.25,0.1308295803398872,0.17117258384729861,0.2159288349201765
flow01,1,370,486,371.14999999999998,1.1500000000000341,0.13732640773727789,0.17024769025279329,0.21338673200062749
flow01,1,380,486,377.85000000000002,2.1499999999999773,0.13174193021963329,0.16759029995850569,0.21498708524244359
flow01,1,390,486,391.25,1.25,0.1305735626907252,0.1640723529235156,0.20884567455267969
flow01,1,400,486,397.9500000000001,2.0499999999999545,0.13065017885564281,0.1659323506901022,0.2080023424165276
flow01,1,410,486,411.35000000000002,1.3500000000000227,0.1276290695442556,0.1629439522997872,0.2036538396561533
flow01,1,420,486,418.05000000000001,1.9499999999999889,0.13130991886293711,0.1681593748965341,0.21332577022509541
flow01,1,430,486,431.4500000000001,1.4500000000000457,0.12472945407952039,0.1610344683393567,0.20812126270248599
flow01,1,440,486,438.14999999999998,1.8499999999999657,0.12430096992411251,0.1600276407412318,0.2019136294806233
flow01,1,450,486,451.55000000000001,1.5500000000000114,0.1237799005478448,0.16270151151370729,0.2084846173935162
flow01,1,460,486,458.25,1.75,0.1249840938467468,0.15867273709577329,0.2037311557471421
flow01,1,470,486,471.64999999999998,1.6500000000000341,0.1244686752269025,0.16213755660280729,0.20274389941179541
flow01,1,480,486,478.35000000000002,1.6499999999999773,0.124622023725867,0.15927043118157261,0.20398993824384179
flow01,1,490,486,491.75,1.75,0.1241773145464503,0.15546748068340291,0.20175954194799511
flow01,1,500,486,498.4500000000001,1.5499999999999543,0.1232224173374404,0.1575364812906366,0.19964294722326309
flow03,3,0,468,2.6500000000000115,2.6500000000000115,0.41856850872640122,0.57229408315229835,0.79652496407115747
