scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_q1,ri_r_median,ri_r_q3
flow01,1,0,486,2.6500000000000115,2.6500000000000115,0.45760895439720728,0.59773627198990953,0.762345104888831
flow01,1,50,486,49.550000000000011,0.44999999999998858,0.34004987690793292,0.44646194893394769,0.59430842373945836
flow01,1,100,486,103.15000000000002,3.1500000000000199,0.26535695744023458,0.3289803066993891,0.41472373681601482
flow01,1,200,486,196.94999999999999,3.0499999999999829,0.1864131836471678,0.23726928906984721,0.30637527842091611
flow01,1,300,486,297.45000000000005,2.5499999999999545,0.14783916025178959,0.1861890917784689,0.2331003366412234
flow01,1,400,486,397.9500000000001,2.0499999999999545,0.13065017885564281,0.1659323506901022,0.2080023424165276
flow01,1,500,486,498.4500000000001,1.5499999999999543,0.1232224173374404,0.1575364812906366,0.19964294722326309
flow03,3,0,468,2.6500000000000115,2.6500000000000115,0.41856850872640122,0.57229408315229835,0.79652496407115747
flow03,3,50,468,49.550000000000011,0.44999999999998858,0.32326690991429879,0.41917028792259281,0.54731931069739992
flow03,3,100,468,103.15000000000002,3.1500000000000199,0.2478297630571337,0.31851437766238638,0.40117331658781957
flow03,3,200,468,196.94999999999999,3.0499999999999829,0.1818029993286161,0.23328968240879741,0.28910792389449758
flow03,3,300,468,297.45000000000005,2.5499999999999545,0.14283910068088551,0.18495352865488429,0.235271629263723
flow03,3,400,468,397.9500000000001,2.0499999999999545,0.1237212186873029,0.15940023261337161,0.20401367162390269
flow03,3,500,468,498.4500000000001,1.5499999999999543,0.1185141317327813,0.15218691789049699,0.19198507037213239
flow05,5,0,491,2.6500000000000115,2.6500000000000115,0.43247497909124388,0.56226564287445335,0.75432509489488553
flow05,5,50,491,49.550000000000011,0.44999999999998858,0.31484061058646551,0.42612050884617397,0.5420065981858353
flow05,5,100,491,103.15000000000002,3.1500000000000199,0.24828595659427011,0.31726300668726348,0.40676624151640178
flow05,5,200,491,196.94999999999999,3.0499999999999829,0.17623621128810099,0.22130744986632001,0.28037567979530259
flow05,5,300,491,297.45000000000005,2.5499999999999545,0.139807217830657,0.1793397510190004,0.2332769229420841
flow05,5,400,491,397.9500000000001,2.0499999999999545,0.1280352385968471,0.16131354049215069,0.20406257261299471
flow05,5,500,491,498.4500000000001,1.5499999999999543,0.1202808211907308,0.1536347656471854,0.1973616763399817
flow07,7,0,493,2.6500000000000115,2.6500000000000115,0.53368400464951737,0.7157824625698116,0.97045780477260124
flow07,7,50,493,49.550000000000011,0.44999999999998858,0.38746946704571827,0.52522342281830625,0.71956043059422015
flow07,7,100,493,103.15000000000002,3.1500000000000199,0.31812908656985223,0.40455736568266909,0.51988615800884064
flow07,7,200,493,196.94999999999999,3.0499999999999829,0.2171462751230088,0.2814107990281754,0.36050262228124852
flow07,7,300,493,297.45000000000005,2.5499999999999545,0.1702652138621977,0.2207226968397743,0.28100448887689461
flow07,7,400,493,397.9500000000001,2.0499999999999545,0.15819960462371591,0.19919691580287299,0.25294621338345807
flow07,7,500,493,498.4500000000001,1.5499999999999543,0.1498165151982726,0.19267302189274979,0.24192504722400829
flow10,10,0,484,2.6500000000000115,2.6500000000000115,0.43902448481349321,0.57340389422924654,0.77468442105349333
flow10,10,50,484,49.550000000000011,0.44999999999998858,0.33735579844370212,0.41600644946468562,0.52000611524638318
flow10,10,100,484,103.15000000000002,3.1500000000000199,0.2389408835230184,0.32263156718145602,0.41019481438740668
flow10,10,200,484,196.94999999999999,3.0499999999999829,0.18271032485965941,0.23004072255141531,0.29227479827954111
flow10,10,300,484,297.45000000000005,2.5499999999999545,0.1378206456606382,0.18177025062889149,0.2321438865335263
flow10,10,400,484,397.9500000000001,2.0499999999999545,0.12146856063120121,0.1569733753571611,0.1993266388063169
flow10,10,500,484,498.4500000000001,1.5499999999999543,0.1138643053590678,0.14925303797019471,0.19031460721456911
