stride_frames,approx_positions_per_500,n_phase_records,selected_n_min,selected_n_median,selected_n_max,abs_error_pct_median,abs_error_pct_p95,abs_error_pct_max,fraction_within_5pct,fraction_within_10pct
2,250,10,233,243.5,247,0.81934062203215463,1.5932562013029921,1.9704010693990897,1,1
5,100,25,92,98,100,1.1158765386642524,3.5891799397054052,4.8392739790214989,1,1
10,50,50,46,49,50,2.4498612937185267,5.3083804503375678,6.7071064360209851,0.90000000000000002,1
20,25,100,22,24,25,3.1004625740739988,9.9568016121252789,15.980616985505019,0.70999999999999996,0.94999999999999996
25,20,125,17,19,20,3.2352332804255099,10.422925430900058,15.985708076035927,0.66400000000000003,0.93600000000000005
50,10,250,8,10,10,5.058697212445221,12.507376971547915,21.332141446146672,0.49199999999999999,0.85199999999999998
