scan_id,flow_mm_s,ri_tail_base_median,ri_tail_fixed128_median,delta_pct_of_scan_medians
flow01,1,0.268942562232105,0.23532468600060111,-12.500020804624711
flow03,3,0.25632875814502504,0.2242018303185091,-12.53348553592229
flow05,5,0.25664555029926406,0.22330065318823611,-12.992587275386541
flow07,7,0.32317992329725742,0.2973036389150131,-8.0067734772136792
flow10,10,0.25946745609265892,0.22318429460300065,-13.983704174715891
