scan_id,flow_mm_s,stride_frames,phase,n_selected,full_median,subsample_median,error_pct,abs_error_pct
flow01,1,2,0,245,0.26894256223210494,0.27116035079230788,0.82463279214575369,0.82463279214575369
flow01,1,2,1,241,0.26894256223210494,0.26796634091771571,-0.36298505758516941,0.36298505758516941
flow01,1,5,0,99,0.26894256223210494,0.26181552152882831,-2.6500233522449292,2.6500233522449292
flow01,1,5,1,97,0.26894256223210494,0.26897265401391929,0.011188925086679029,0.011188925086679029
flow01,1,5,2,96,0.26894256223210494,0.27498680888140203,2.2474117146547958,2.2474117146547958
flow01,1,5,3,96,0.26894256223210494,0.27086771294031742,0.71582225298761615,0.71582225298761615
flow01,1,5,4,98,0.26894256223210494,0.26886023720710434,-0.030610634596973205,0.030610634596973205
flow01,1,10,0,50,0.26894256223210494,0.26968708266727692,0.27683250616517824,0.27683250616517824
flow01,1,10,1,48,0.26894256223210494,0.26005811612623608,-3.3034734376484951,3.3034734376484951
flow01,1,10,2,49,0.26894256223210494,0.27387026099895911,1.8322495056031445,1.8322495056031445
flow01,1,10,3,49,0.26894256223210494,0.27640216893833219,2.7736802402400711,2.7736802402400711
flow01,1,10,4,50,0.26894256223210494,0.27097831949224382,0.75694871174089828,0.75694871174089828
flow01,1,10,5,49,0.26894256223210494,0.25782121694168553,-4.1352120683751732,4.1352120683751732
flow01,1,10,6,49,0.26894256223210494,0.27494392185111899,2.2314651757629593,2.2314651757629593
flow01,1,10,7,47,0.26894256223210494,0.27783828178791492,3.307665206272826,3.307665206272826
flow01,1,10,8,47,0.26894256223210494,0.2649727160768145,-1.476094420437758,1.476094420437758
flow01,1,10,9,48,0.26894256223210494,0.26838717244081689,-0.20650870084621839,0.20650870084621839
flow01,1,20,0,25,0.26894256223210494,0.27874249936144829,3.6438773573093761,3.6438773573093761
flow01,1,20,1,24,0.26894256223210494,0.25962702002493937,-3.4637664376551891,3.4637664376551891
flow01,1,20,2,25,0.26894256223210494,0.26847618356367969,-0.17341199717683634,0.17341199717683634
flow01,1,20,3,25,0.26894256223210494,0.27470209425468067,2.1415472414533978,2.1415472414533978
flow01,1,20,4,25,0.26894256223210494,0.23703357410436679,-11.864610741753774,11.864610741753774
flow01,1,20,5,24,0.26894256223210494,0.25046961855615468,-6.8687319413606218,6.8687319413606218
flow01,1,20,6,25,0.26894256223210494,0.27422188156019423,1.9629913853252734,1.9629913853252734
flow01,1,20,7,25,0.26894256223210494,0.28328173654965022,5.3316865127395383,5.3316865127395383
flow01,1,20,8,23,0.26894256223210494,0.28358866579073272,5.4458109705922189,5.4458109705922189
flow01,1,20,9,24,0.26894256223210494,0.26644779143747016,-0.92762215616943711,0.92762215616943711
flow01,1,20,10,25,0.26894256223210494,0.25807184963023622,-4.0420201665540008,4.0420201665540008
flow01,1,20,11,24,0.26894256223210494,0.26336067346170833,-2.0754947539985467,2.0754947539985467
flow01,1,20,12,24,0.26894256223210494,0.27656361317812506,2.8337095039062405,2.8337095039062405
flow01,1,20,13,24,0.26894256223210494,0.27707688722071505,3.0245584488742838,3.0245584488742838
flow01,1,20,14,25,0.26894256223210494,0.31192124301342111,15.980616985505019,15.980616985505019
flow01,1,20,15,25,0.26894256223210494,0.26290778133853371,-2.2438920948343792,2.2438920948343792
flow01,1,20,16,24,0.26894256223210494,0.27957922322358753,3.9549935507429455,3.9549935507429455
flow01,1,20,17,22,0.26894256223210494,0.27619992299193263,2.6984798165060933,2.6984798165060933
flow01,1,20,18,24,0.26894256223210494,0.24994118392456982,-7.0652179966726143,7.0652179966726143
flow01,1,20,19,24,0.26894256223210494,0.27124992902887213,0.85794036377769889,0.85794036377769889
flow01,1,25,0,20,0.26894256223210494,0.26031780179352471,-3.2069153974731703,3.2069153974731703
flow01,1,25,1,20,0.26894256223210494,0.27031989692807851,0.51212968469635023,0.51212968469635023
flow01,1,25,2,20,0.26894256223210494,0.2834332489916388,5.3880228697412305,5.3880228697412305
flow01,1,25,3,19,0.26894256223210494,0.26636423408258952,-0.9586910038026073,0.9586910038026073
flow01,1,25,4,19,0.26894256223210494,0.2473283853504821,-8.0367260214354648,8.0367260214354648
flow01,1,25,5,20,0.26894256223210494,0.24886804140302166,-7.464240937720529,7.464240937720529
flow01,1,25,6,20,0.26894256223210494,0.2734731078426319,1.6845773956064909,1.6845773956064909
flow01,1,25,7,20,0.26894256223210494,0.28425651350430647,5.6941345189480135,5.6941345189480135
flow01,1,25,8,20,0.26894256223210494,0.27764348151066709,3.2352332804255099,3.2352332804255099
flow01,1,25,9,20,0.26894256223210494,0.26491883266081906,-1.4961297081022424,1.4961297081022424
flow01,1,25,10,20,0.26894256223210494,0.27800765084676909,3.3706411285100826,3.3706411285100826
flow01,1,25,11,20,0.26894256223210494,0.27197997612758085,1.1293912983749039,1.1293912983749039
flow01,1,25,12,19,0.26894256223210494,0.27538482252425961,2.3954037764371474,2.3954037764371474
flow01,1,25,13,19,0.26894256223210494,0.27775160550309791,3.2754366575084966,3.2754366575084966
flow01,1,25,14,20,0.26894256223210494,0.28128130384511035,4.5878724105992319,4.5878724105992319
flow01,1,25,15,19,0.26894256223210494,0.27390945079738649,1.846821315324193,1.846821315324193
flow01,1,25,16,20,0.26894256223210494,0.26474050022205042,-1.5624384534672584,1.5624384534672584
flow01,1,25,17,19,0.26894256223210494,0.261772104139747,-2.6661670926484442,2.6661670926484442
flow01,1,25,18,20,0.26894256223210494,0.26214653491724738,-2.5269437676407667,2.5269437676407667
flow01,1,25,19,20,0.26894256223210494,0.27294351617862878,1.4876611248579161,1.4876611248579161
flow01,1,25,20,20,0.26894256223210494,0.27314873694034886,1.5639676640746318,1.5639676640746318
flow01,1,25,21,17,0.26894256223210494,0.25975580535401888,-3.4158806259002019,3.4158806259002019
flow01,1,25,22,18,0.26894256223210494,0.26877980417825081,-0.060517774688880852,0.060517774688880852
flow01,1,25,23,18,0.26894256223210494,0.27477694972549782,2.1693804970734378,2.1693804970734378
flow01,1,25,24,19,0.26894256223210494,0.27137944208062409,0.90609676218376001,0.90609676218376001
flow01,1,50,0,10,0.26894256223210494,0.27673731935200063,2.8982980808997412,2.8982980808997412
flow01,1,50,1,10,0.26894256223210494,0.26914908186988673,0.076789495893757317,0.076789495893757317
flow01,1,50,2,10,0.26894256223210494,0.28832304912965878,7.2061806568303366,7.2061806568303366
flow01,1,50,3,9,0.26894256223210494,0.25509887517873597,-5.1474511652125488,5.1474511652125488
flow01,1,50,4,10,0.26894256223210494,0.27639752545770768,2.7719536706015684,2.7719536706015684
flow01,1,50,5,10,0.26894256223210494,0.23969958242505915,-10.873317917529276,10.873317917529276
flow01,1,50,6,10,0.26894256223210494,0.27136568607405864,0.9009819129567439,0.9009819129567439
flow01,1,50,7,10,0.26894256223210494,0.30090622014817303,11.884938423574086,11.884938423574086
flow01,1,50,8,10,0.26894256223210494,0.28461110436294723,5.8259808342719284,5.8259808342719284
flow01,1,50,9,10,0.26894256223210494,0.26843940568400315,-0.18708699133592421,0.18708699133592421
flow01,1,50,10,10,0.26894256223210494,0.27800765084676909,3.3706411285100826,3.3706411285100826
flow01,1,50,11,10,0.26894256223210494,0.25743617482656733,-4.2783809710295229,4.2783809710295229
flow01,1,50,12,10,0.26894256223210494,0.2798628157191565,4.0604407857269811,4.0604407857269811
flow01,1,50,13,10,0.26894256223210494,0.29988936197461746,11.50684350058529,11.50684350058529
flow01,1,50,14,10,0.26894256223210494,0.31435706427426924,16.886320136628395,16.886320136628395
flow01,1,50,15,9,0.26894256223210494,0.25820292415743229,-3.993283170033922,3.993283170033922
flow01,1,50,16,10,0.26894256223210494,0.27904918377651433,3.7579107823354088,3.7579107823354088
flow01,1,50,17,10,0.26894256223210494,0.28200355871972826,4.856425988963144,4.856425988963144
flow01,1,50,18,10,0.26894256223210494,0.26214653491724738,-2.5269437676407667,2.5269437676407667
flow01,1,50,19,10,0.26894256223210494,0.2653572656775135,-1.3331086477480767,1.3331086477480767
flow01,1,50,20,10,0.26894256223210494,0.26406509335833289,-1.813572694961781,1.813572694961781
flow01,1,50,21,8,0.26894256223210494,0.25002936170158152,-7.032431153162289,7.032431153162289
flow01,1,50,22,10,0.26894256223210494,0.25412222041311522,-5.5105973914978001,5.5105973914978001
flow01,1,50,23,10,0.26894256223210494,0.26990828425235214,0.35908114068376795,0.35908114068376795
flow01,1,50,24,10,0.26894256223210494,0.25514465188601265,-5.1304301675330617,5.1304301675330617
flow01,1,50,25,10,0.26894256223210494,0.25583182784729752,-4.874919862439806,4.874919862439806
flow01,1,50,26,10,0.26894256223210494,0.27417810164611867,1.9467128484837244,1.9467128484837244
flow01,1,50,27,10,0.26894256223210494,0.2454550995367053,-8.7332635267783711,8.7332635267783711
flow01,1,50,28,10,0.26894256223210494,0.27417965588635618,1.9472907563554318,1.9472907563554318
flow01,1,50,29,9,0.26894256223210494,0.2442004020257342,-9.1997934432622692,9.1997934432622692
flow01,1,50,30,10,0.26894256223210494,0.2555155794907793,-4.9925094153515888,4.9925094153515888
