bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,68174548.2169392,0.240374418723701,0.478955939996203
5,9,7,7421136.90335925,0.0261659448587406,0.0521367239586017
10,14,12,6477444.54239775,0.0228386107046764,0.0455068734699226
15,19,17,-8961250.24893475,-0.0315961803336174,-0.0629566920320759
20,24,22,23899230.2481772,0.0842655173976217,0.167902517700254
25,29,27,22901533.440097,0.0807477707226947,0.160893262413006
30,34,32,19577168.5748944,0.0690265009380274,0.13753814909657
35,39,37,9950228.13279021,0.0350831852376453,0.0699046930733172
40,44,42,-13510624.2115523,-0.0476366697893177,-0.0949180286254054
45,49,47,8251164.31030077,0.0290925114541425,0.0579680285629131
50,54,52,-3829393.47669272,-0.0135019337142543,-0.0269031596132964
55,59,57,15737006.2165112,0.0554865975746246,0.110559333391848
60,64,62,5601345.73815355,0.0197496024703336,0.0393518972025174
65,69,67,-7524829.22070604,-0.0265315502226226,-0.0528652077201248
70,74,72,12273030.9036797,0.0432730798605721,0.086223395780624
75,79,77,-4427483.53004323,-0.0156107199501539,-0.0311050031340386
80,84,82,-7387569.15281648,-0.0260475894205952,-0.0519008958682767
85,89,87,-3164689.18668078,-0.0111582745113162,-0.0222333220218671
90,94,92,2976167.39244347,0.0104935716582465,0.0209088741812832
95,99,97,4420004.43888758,0.0155843496662849,0.0310524592561772
100,104,102,-1599802.99569508,-0.00564069326780065,-0.0112393139030952
105,109,107,7334553.77751777,0.0258606642358431,0.0515284397306923
110,114,112,-1764832.33213337,-0.0062225648292004,-0.0123987169798744
115,119,117,-3666358.08701639,-0.0129270925447883,-0.0257577648823098
120,124,122,-9140334.58046001,-0.0322276079443429,-0.0642148375803431
125,129,127,-4535669.28175963,-0.0159921685679029,-0.0318650552321125
130,134,132,-2428600.17773452,-0.00856292225329574,-0.0170619756408267
