scan_id,flow_mm_s,n_valid,lateral_width_um_median,lateral_width_um_q1,lateral_width_um_q3,source_area_um2_median,source_area_um2_q1,source_area_um2_q3,z_top_edge_px_median,z_top_edge_px_q1,z_top_edge_px_q3,x4_px_median,x4_px_q1,x4_px_q3
flow01,1,486,177.79999999999998,165.09999999999999,190.5,17875.547656250001,16597.286455078127,19156.883398437501,198.5,195.5,203.5,239.12195384944658,234.80279989043026,243.33406151463754
flow03,3,468,177.79999999999998,165.09999999999999,190.5,17875.215273437501,16596.2062109375,19155.304580078126,193.5,189.25,197.5,243.81222506121861,240.14010126891293,245.89327188787888
flow05,5,491,177.79999999999998,165.09999999999999,190.5,17874.882890625002,16597.535742187501,19155.055292968751,195.5,192.5,201.5,240.76653721401087,237.10727456301291,244.55797470175327
flow07,7,493,165.09999999999999,152.39999999999998,177.79999999999998,16598.865273437499,15317.8619140625,17879.536250000001,199.5,196.5,204.5,238.51385761737745,234.34194772081395,242.52555903831839
flow10,10,484,177.79999999999998,165.09999999999999,190.5,17873.553359375001,16595.873828125001,19156.966494140626,194.5,190.5,201.5,242.04172793916848,238.65258934362407,245.62372505198289
