scan_id,flow_mm_s,n_valid,aggregation_method,ri_volume,delta_pct_vs_primary_within_scan,delta_pct_vs_flow01,rank_desc
flow01,1,486,mean_framewise_RI,0.2721457656472312,1.1910362527006046,0,2
flow03,3,468,mean_framewise_RI,0.26129036734500949,1.9356428189681867,-3.9888176383728906,4
flow05,5,491,mean_framewise_RI,0.26314697937522996,2.5332327283231306,-3.3066052858106589,3
flow07,7,493,mean_framewise_RI,0.3278190289654711,1.4354560211794729,20.45714846447633,1
flow10,10,484,mean_framewise_RI,0.26064315235065949,0.45311896748267722,-4.2266368794001234,5
flow01,1,486,median_of_5_spatial_segment_medians,0.26838717244081689,-0.20650870084621839,0,2
flow03,3,468,median_of_5_spatial_segment_medians,0.2589535484932643,1.023993705284628,-3.5149310087213053,4
flow05,5,491,median_of_5_spatial_segment_medians,0.24825830054048456,-3.2680285120857966,-7.4999381368612266,5
flow07,7,493,median_of_5_spatial_segment_medians,0.32049538999311478,-0.8306621515202971,19.415315969986782,1
flow10,10,484,median_of_5_spatial_segment_medians,0.26140574663986599,0.74702645811385915,-2.6012516684233122,3
flow01,1,486,pooled_area_weighted_raw_ratio,0.2631130397113009,-2.1675715708296859,0,2
flow03,3,468,pooled_area_weighted_raw_ratio,0.25049380707956131,-2.2763544393884922,-4.7961258953892809,5
flow05,5,491,pooled_area_weighted_raw_ratio,0.25212976915885987,-1.7595400096118787,-4.1743543248530557,3
flow07,7,493,pooled_area_weighted_raw_ratio,0.31421378370948316,-2.7743491910935627,19.421593112318654,1
flow10,10,484,pooled_area_weighted_raw_ratio,0.25139510252190367,-3.1111237194511459,-4.4535752398492541,4
flow01,1,486,primary_median_framewise_RI,0.26894256223210494,0,0,2
flow03,3,468,primary_median_framewise_RI,0.25632875814502498,0,-4.690147956645812,5
flow05,5,491,primary_median_framewise_RI,0.256645550299264,0,-4.5723562052734055,4
flow07,7,493,primary_median_framewise_RI,0.32317992329725742,0,20.166893858304256,1
flow10,10,484,primary_median_framewise_RI,0.25946745609265887,0,-3.5230965529616673,3
flow01,1,486,ratio_of_mean_raw_means,0.26080034555467374,-3.0274927887406089,0,2
flow03,3,468,ratio_of_mean_raw_means,0.24825830773925298,-3.1484763801671951,-4.8090572076299161,5
flow05,5,491,ratio_of_mean_raw_means,0.2501278263925551,-2.5395818860326438,-4.0922181830013242,3
flow07,7,493,ratio_of_mean_raw_means,0.31268237325832937,-3.2482061174550485,19.89338917220843,1
flow10,10,484,ratio_of_mean_raw_means,0.24922949540860048,-3.9457590706104924,-4.4366697910097539,4
flow01,1,486,ratio_of_median_raw_means,0.26742714659502764,-0.56347185231672392,0,2
flow03,3,468,ratio_of_median_raw_means,0.25252183592666499,-1.4851717169425511,-5.5735967190100464,5
flow05,5,491,ratio_of_median_raw_means,0.25405286067324623,-1.0102219278668747,-5.0010950990082046,4
flow07,7,493,ratio_of_median_raw_means,0.32616777846188899,0.92451756722628253,21.965096892655371,1
flow10,10,484,ratio_of_median_raw_means,0.25771027569699967,-0.67722573848786927,-3.6334646731816278,3
