aggregation_method,flow07_value,flow01_value,other4_scan_median,flow07_vs_flow01_pct,flow07_vs_other4_median_pct,flow07_rank_desc,max_abs_within_scan_delta_pct_vs_primary
mean_framewise_RI,0.3278190289654711,0.2721457656472312,0.26221867336011973,20.45714846447633,25.017423345460486,1,2.5332327283231306
median_of_5_spatial_segment_medians,0.32049538999311478,0.26838717244081689,0.26017964756656514,19.415315969986782,23.182344580245566,1,3.2680285120857966
pooled_area_weighted_raw_ratio,0.31421378370948316,0.2631130397113009,0.25176243584038177,19.421593112318654,24.805665571449968,1,3.1111237194511459
primary_median_framewise_RI,0.32317992329725742,0.26894256223210494,0.25805650319596141,20.166893858304256,25.236108873351267,1,0
ratio_of_mean_raw_means,0.31268237325832937,0.26080034555467374,0.24967866090057778,19.89338917220843,25.233919522998288,1,3.9457590706104924
ratio_of_median_raw_means,0.32616777846188899,0.26742714659502764,0.25588156818512298,21.965096892655371,27.468258372528009,1,1.4851717169425511
