scan_id,flow_mm_s,signal_metric,geometry_metric,spearman,pearson,n
flow01,1,ri_tail,lateral_width_um,0.23945782617155839,0.25203016617798224,486
flow01,1,ri_tail,source_area_um2,0.24400922283861212,0.25205962524048642,486
flow01,1,ri_tail,x4_px,0.19033363545693538,0.19833020275355542,486
flow01,1,ri_tail,z_top_edge_px,-0.21038789064906047,-0.19051815420428586,486
flow01,1,source_mean_raw,lateral_width_um,-0.34202634489433809,-0.3604290692056249,486
flow01,1,source_mean_raw,source_area_um2,-0.34561547298036166,-0.36043051855834907,486
flow01,1,source_mean_raw,x4_px,-0.22658459978754225,-0.22530480148024845,486
flow01,1,source_mean_raw,z_top_edge_px,0.2317384435572388,0.22039441327217646,486
flow01,1,tail_mean_raw,lateral_width_um,-0.36103743658631188,-0.33062994295866638,486
flow01,1,tail_mean_raw,source_area_um2,-0.35534339787942837,-0.33058772438356743,486
flow01,1,tail_mean_raw,x4_px,-0.14561404577077183,-0.1286214925252793,486
flow01,1,tail_mean_raw,z_top_edge_px,0.10768013742641323,0.15736988115951181,486
flow03,3,ri_tail,lateral_width_um,0.24829910365131633,0.23780711167375032,468
flow03,3,ri_tail,source_area_um2,0.23964864025575097,0.23776921167989276,468
flow03,3,ri_tail,x4_px,0.20108905551073725,0.19628483764568203,468
flow03,3,ri_tail,z_top_edge_px,-0.15624664618403619,-0.17501133011032083,468
flow03,3,source_mean_raw,lateral_width_um,-0.36492740743761942,-0.32313497222219034,468
flow03,3,source_mean_raw,source_area_um2,-0.35437673906797662,-0.32308413406921882,468
flow03,3,source_mean_raw,x4_px,-0.25741214158868925,-0.26476734614607972,468
flow03,3,source_mean_raw,z_top_edge_px,0.24315745546792261,0.26040875047451428,468
flow03,3,tail_mean_raw,lateral_width_um,-0.32992613868170639,-0.28197144022226661,468
flow03,3,tail_mean_raw,source_area_um2,-0.32382973415189675,-0.28195335394998466,468
flow03,3,tail_mean_raw,x4_px,-0.15356776135324507,-0.23071257343218671,468
flow03,3,tail_mean_raw,z_top_edge_px,0.22994184413058746,0.29932144053095683,468
flow05,5,ri_tail,lateral_width_um,0.17989955963362261,0.18780520331416861,491
flow05,5,ri_tail,source_area_um2,0.16665004006220441,0.18770741486961759,491
flow05,5,ri_tail,x4_px,0.35828210615484801,0.35475664885713371,491
flow05,5,ri_tail,z_top_edge_px,-0.3469011023772291,-0.33046116074052645,491
flow05,5,source_mean_raw,lateral_width_um,-0.29427829110907544,-0.3115792222732659,491
flow05,5,source_mean_raw,source_area_um2,-0.28022403828729059,-0.31147689222334002,491
flow05,5,source_mean_raw,x4_px,-0.35044066089871606,-0.35337061556009103,491
flow05,5,source_mean_raw,z_top_edge_px,0.32312085783730743,0.32780383207364161,491
flow05,5,tail_mean_raw,lateral_width_um,-0.3665739861211047,-0.31321631119611515,491
flow05,5,tail_mean_raw,source_area_um2,-0.35909890045570964,-0.31316530416962585,491
flow05,5,tail_mean_raw,x4_px,-0.14440629269151584,-0.12996193530915931,491
flow05,5,tail_mean_raw,z_top_edge_px,0.088126686681285316,0.11310998635661128,491
flow07,7,ri_tail,lateral_width_um,0.16586298009435435,0.14269401425151898,493
flow07,7,ri_tail,source_area_um2,0.16346502501936039,0.14266855751275057,493
flow07,7,ri_tail,x4_px,0.21409059378402401,0.2106077745236053,493
flow07,7,ri_tail,z_top_edge_px,-0.24244389366800556,-0.25075004211343271,493
flow07,7,source_mean_raw,lateral_width_um,-0.28296700070902731,-0.22105106278420791,493
flow07,7,source_mean_raw,source_area_um2,-0.27352763566087357,-0.22104376182064364,493
flow07,7,source_mean_raw,x4_px,-0.21915162322638537,-0.26391890859194345,493
flow07,7,source_mean_raw,z_top_edge_px,0.22408757443754732,0.30907909414087353,493
flow07,7,tail_mean_raw,lateral_width_um,-0.35275172228707175,-0.27068967824920259,493
flow07,7,tail_mean_raw,source_area_um2,-0.33884226651373506,-0.27066793418022217,493
flow07,7,tail_mean_raw,x4_px,-0.10525985828156155,-0.11838940734464974,493
flow07,7,tail_mean_raw,z_top_edge_px,0.062672307445741371,0.14840045201183003,493
flow10,10,ri_tail,lateral_width_um,0.23533667241998832,0.22253708802680566,484
flow10,10,ri_tail,source_area_um2,0.2370155873518944,0.22256264971348402,484
flow10,10,ri_tail,x4_px,0.2029308600942322,0.21865586352742664,484
flow10,10,ri_tail,z_top_edge_px,-0.2090454908810119,-0.20938976620335742,484
flow10,10,source_mean_raw,lateral_width_um,-0.34261689379434773,-0.33429606187290184,484
flow10,10,source_mean_raw,source_area_um2,-0.34394175082373457,-0.33431213944763183,484
flow10,10,source_mean_raw,x4_px,-0.27510348571743409,-0.2792561005466811,484
flow10,10,source_mean_raw,z_top_edge_px,0.27902982991995329,0.28803240729275165,484
flow10,10,tail_mean_raw,lateral_width_um,-0.33395534188351472,-0.29448662323575275,484
flow10,10,tail_mean_raw,source_area_um2,-0.33316234204119299,-0.29445884639256736,484
flow10,10,tail_mean_raw,x4_px,-0.19590127710485458,-0.23256276813774479,484
flow10,10,tail_mean_raw,z_top_edge_px,0.1857336865727281,0.29023152154931753,484
