geometry_metric,flow07_median,flow01_median,other4_scan_median,flow07_minus_flow01,flow07_minus_other4_median,flow07_vs_flow01_pct,flow07_vs_other4_median_pct
lateral_width_um,165.09999999999999,177.79999999999998,177.79999999999998,-12.699999999999989,-12.699999999999989,-7.142857142857137,-7.142857142857137
source_area_um2,16598.865273437499,17875.547656250001,17875.049082031252,-1276.6823828125016,-1276.1838085937525,-7.1420602454444122,-7.1394702343873613
z_top_edge_px,199.5,198.5,195,1,4.5,0.50377833753148615,2.3076923076923079
x4_px,238.51385761737745,239.12195384944658,241.40413257658969,-0.60809623206912988,-2.8902749592122348,-0.25430380702392258,-1.1972765040777604
