bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,16722596.2857012,0.0286957181070639,0.686170655976624
5,9,7,17562153.4113999,0.0301363852261061,0.720619820079396
10,14,12,2340687.98391563,0.00401658459102233,0.0960443810231374
15,19,17,-18395924.8439589,-0.0315671241846789,-0.754831582477965
20,24,22,2520041.76086216,0.0043243529145987,0.103403722639518
25,29,27,7706257.13682907,0.013223818758818,0.316207329553482
30,34,32,4111692.2589628,0.0070556006968296,0.168713190601803
35,39,37,5933443.09388541,0.0101816971191266,0.243464260595262
40,44,42,9760287.42201661,0.0167485031463442,0.400489416144791
45,49,47,-518042.275983315,-0.00088895258039985,-0.0212565921141706
50,54,52,6000613.38431862,0.0102969603047295,0.246220428445114
55,59,57,32085380.655033,0.0550580198735009,1.31654477063162
