scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D128_F07_V01,128,7,real_matched,detrended_51,real_L_R_common,493,W100,0.37031581189108004,493,ok,0.36566146340965749,ok,42,0,0.37031581189108004,1,ok,101,False,0.36755305102208358,ok,42
D128_F07_V01,128,7,real_matched,detrended_51,real_L_R_common,493,W500,0.43367138160144919,493,ok,0.43907919496903425,ok,42,0,0.43367138160144919,1,ok,101,False,0.45363736315469716,ok,42
D128_F07_V01,128,7,real_matched,detrended_51,real_L_R_common,493,C100,0.33710371179678894,493,ok,0.32424658146510449,ok,42,0,0.33710371179678894,1,ok,101,False,0.32244448954296634,ok,42
D128_F07_V01,128,7,left,detrended_51,real_L_R_common,493,W100,0.086090683407574184,493,ok,0.092851200816232188,ok,42,-39,0.11310998353472175,8,ok,101,False,0.086636793167647164,ok,42
D128_F07_V01,128,7,left,detrended_51,real_L_R_common,493,W500,0.135695806198146,493,ok,0.13586359019915831,ok,42,0,0.135695806198146,1,ok,101,False,0.13077927539483028,ok,42
D128_F07_V01,128,7,left,detrended_51,real_L_R_common,493,C100,0.07516744540103272,493,ok,0.071266821506076522,ok,42,-39,0.1224252902184127,7,ok,101,False,0.075620985548141575,ok,42
D128_F07_V01,128,7,right,detrended_51,real_L_R_common,493,W100,0.036662248146381853,493,ok,0.052799999151256063,ok,42,22,0.10669837945495622,19,ok,101,False,0.056602399524372377,ok,42
D128_F07_V01,128,7,right,detrended_51,real_L_R_common,493,W500,0.067733476294521852,493,ok,0.077333192889149624,ok,42,4,0.10362072074784306,8,ok,101,False,0.090088019932954455,ok,42
D128_F07_V01,128,7,right,detrended_51,real_L_R_common,493,C100,0.031880463634258685,493,ok,0.059167822310544224,ok,42,22,0.10082461728703702,25,ok,101,False,0.063912989705151524,ok,42
D128_F10_V01,128,10,real_matched,detrended_51,real_L_R_common,484,W100,0.32092406318079902,484,ok,0.3365668316651132,ok,42,0,0.32092406318079902,1,ok,101,False,0.32237642833351121,ok,42
D128_F10_V01,128,10,real_matched,detrended_51,real_L_R_common,484,W500,0.34910448362642715,484,ok,0.37963812001815261,ok,42,0,0.34910448362642715,1,ok,101,False,0.37009814909344063,ok,42
D128_F10_V01,128,10,real_matched,detrended_51,real_L_R_common,484,C100,0.34115335738867858,484,ok,0.36510810054084386,ok,42,0,0.34115335738867858,1,ok,101,False,0.36171419676692673,ok,42
D128_F10_V01,128,10,left,detrended_51,real_L_R_common,484,W100,0.040820506139910444,484,ok,0.033415709994064811,ok,42,-5,0.12072767036540973,23,ok,101,False,0.027277932266834032,ok,42
D128_F10_V01,128,10,left,detrended_51,real_L_R_common,484,W500,0.033740567395086858,484,ok,0.043214895352042509,ok,42,26,0.1165625065607352,25,ok,101,False,0.038520338777843319,ok,42
D128_F10_V01,128,10,left,detrended_51,real_L_R_common,484,C100,0.044829329821578404,484,ok,0.040847469647711361,ok,42,-34,0.1231057629125462,24,ok,101,False,0.024010072234142719,ok,42
D128_F10_V01,128,10,right,detrended_51,real_L_R_common,484,W100,0.16356546464915286,484,ok,0.15826809964606273,ok,42,0,0.16356546464915286,1,ok,101,False,0.15592041025843792,ok,42
D128_F10_V01,128,10,right,detrended_51,real_L_R_common,484,W500,0.15047456502584317,484,ok,0.15332277480185533,ok,42,0,0.15047456502584317,1,ok,101,False,0.16022905221673697,ok,42
D128_F10_V01,128,10,right,detrended_51,real_L_R_common,484,C100,0.13754505786378296,484,ok,0.12773171947471418,ok,42,0,0.13754505786378296,1,ok,101,False,0.13504586903942983,ok,42
