scan_id,diameter_um,flow_mm_s,mode,support,pair,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak
D128_F10_V01,128,10,detrended_101,real_all,C16,16,0,0.1534366142674301,0.051172268734796494,0.26643075030648578,16,0,0,0.1534366142674301,ok,,,,,,,,,,,,
D128_F10_V01,128,10,detrended_101,real_all,W100,,,,,,,,,,,0.34589301825027069,484,ok,0.38183723172172984,ok,42,0,0.34589301825027069,1,ok,101,False
D128_F10_V01,128,10,detrended_101,real_all,W500,,,,,,,,,,,0.35975263761527176,484,ok,0.41082346070594661,ok,42,0,0.35975263761527176,1,ok,101,False
D128_F10_V01,128,10,detrended_101,real_all,C100,,,,,,,,,,,0.34934835301222539,484,ok,0.39574039484620332,ok,42,0,0.34934835301222539,1,ok,101,False
D235_F01_V01,235,1,detrended_31,real_all,C16,16,0,0.11114102409965383,-0.0146691493831535,0.19289476239082562,15,1,0,0.11114102409965383,ok,,,,,,,,,,,,
D235_F01_V01,235,1,detrended_31,real_all,W100,,,,,,,,,,,0.15181370277432496,448,ok,0.15935024068762269,ok,42,0,0.15181370277432496,1,ok,101,False
D235_F01_V01,235,1,detrended_31,real_all,W500,,,,,,,,,,,0.25693099355168469,448,ok,0.2713606543142264,ok,42,0,0.25693099355168469,1,ok,101,False
D235_F01_V01,235,1,detrended_31,real_all,C100,,,,,,,,,,,0.23099779768440432,448,ok,0.23793777001715188,ok,42,0,0.23099779768440432,1,ok,101,False
D235_F01_V01,235,1,detrended_101,real_all,C16,16,0,0.26228837715869091,0.14245577303295254,0.32064291189463318,16,0,0,0.26228837715869091,ok,,,,,,,,,,,,
D235_F01_V01,235,1,detrended_101,real_all,W100,,,,,,,,,,,0.34626176482884341,448,ok,0.48448782504697468,ok,42,-2,0.36915633567121842,2,ok,101,False
D235_F01_V01,235,1,detrended_101,real_all,W500,,,,,,,,,,,0.43962174367938245,448,ok,0.61074142437763712,ok,42,0,0.43962174367938245,1,ok,101,False
D235_F01_V01,235,1,detrended_101,real_all,C100,,,,,,,,,,,0.50833843176365323,448,ok,0.70767429952893746,ok,42,-2,0.5173542523893373,2,ok,101,False
D235_F03_V01,235,3,detrended_31,real_all,C16,16,0,0.069743074304317781,0.0089648741136385338,0.12802977110331307,16,0,0,0.069743074304317781,ok,,,,,,,,,,,,
D235_F03_V01,235,3,detrended_31,real_all,W100,,,,,,,,,,,0.21908134382024139,448,ok,0.20747494277573106,ok,42,0,0.21908134382024139,1,ok,101,False
D235_F03_V01,235,3,detrended_31,real_all,W500,,,,,,,,,,,0.28535325006394446,448,ok,0.28018902320110933,ok,42,-1,0.30476683008247635,2,ok,101,False
D235_F03_V01,235,3,detrended_31,real_all,C100,,,,,,,,,,,0.20160572340366684,448,ok,0.20352262921757228,ok,42,0,0.20160572340366684,1,ok,101,False
D235_F03_V01,235,3,detrended_101,real_all,C16,16,0,0.16987837613854687,0.11391782364928979,0.2678323420295029,16,0,0,0.16987837613854687,ok,,,,,,,,,,,,
D235_F03_V01,235,3,detrended_101,real_all,W100,,,,,,,,,,,0.34621093729016644,448,ok,0.45094477707435165,ok,42,0,0.34621093729016644,1,ok,101,False
D235_F03_V01,235,3,detrended_101,real_all,W500,,,,,,,,,,,0.41331119192240601,448,ok,0.51452030920259473,ok,42,-1,0.43207230772005317,2,ok,101,False
D235_F03_V01,235,3,detrended_101,real_all,C100,,,,,,,,,,,0.40897378779351051,448,ok,0.56269761315323286,ok,42,0,0.40897378779351051,1,ok,101,False
D235_F05_V01,235,5,detrended_31,real_all,C16,16,0,0.11015532636526858,0.036991528052012411,0.16021091914134244,16,0,0,0.11015532636526858,ok,,,,,,,,,,,,
D235_F05_V01,235,5,detrended_31,real_all,W100,,,,,,,,,,,0.21689486287646587,424,ok,0.21503427557553526,ok,42,-1,0.23469521590267053,2,ok,101,False
D235_F05_V01,235,5,detrended_31,real_all,W500,,,,,,,,,,,0.29413846732579535,424,ok,0.2851739934743675,ok,42,0,0.29413846732579535,1,ok,101,False
D235_F05_V01,235,5,detrended_31,real_all,C100,,,,,,,,,,,0.24183496473011959,424,ok,0.24281788174413155,ok,42,-1,0.24518779776100705,2,ok,101,False
D235_F05_V01,235,5,detrended_101,real_all,C16,16,0,0.19012398871747377,0.14194622767241405,0.22664613103825282,16,0,0,0.19012398871747377,ok,,,,,,,,,,,,
D235_F05_V01,235,5,detrended_101,real_all,W100,,,,,,,,,,,0.30881515555059863,424,ok,0.34939222775770878,ok,42,-1,0.31004154921156674,2,ok,101,False
D235_F05_V01,235,5,detrended_101,real_all,W500,,,,,,,,,,,0.39356963499972447,424,ok,0.44258394572221821,ok,42,0,0.39356963499972447,1,ok,101,False
D235_F05_V01,235,5,detrended_101,real_all,C100,,,,,,,,,,,0.34780613105338898,424,ok,0.38723236154640267,ok,42,0,0.34780613105338898,1,ok,101,False
D235_F07_V01,235,7,detrended_31,real_all,C16,16,0,0.070000084264519258,-0.026199348502060335,0.17580392720330401,14,2,0,0.070000084264519258,ok,,,,,,,,,,,,
D235_F07_V01,235,7,detrended_31,real_all,W100,,,,,,,,,,,0.18855974205862308,444,ok,0.18664277121573269,ok,42,-47,0.22001992688087041,2,ok,101,False
D235_F07_V01,235,7,detrended_31,real_all,W500,,,,,,,,,,,0.24693320583156003,444,ok,0.23552114528561366,ok,42,0,0.24693320583156003,1,ok,101,False
D235_F07_V01,235,7,detrended_31,real_all,C100,,,,,,,,,,,0.2214289690302412,444,ok,0.21310116066066379,ok,42,0,0.2214289690302412,1,ok,101,False
D235_F07_V01,235,7,detrended_101,real_all,C16,16,0,0.18786866643558109,0.093035027205085455,0.3410764188579124,16,0,0,0.18786866643558109,ok,,,,,,,,,,,,
D235_F07_V01,235,7,detrended_101,real_all,W100,,,,,,,,,,,0.37211460839069038,444,ok,0.48110364853469462,ok,42,0,0.37211460839069038,1,ok,101,False
D235_F07_V01,235,7,detrended_101,real_all,W500,,,,,,,,,,,0.4137318579780993,444,ok,0.51987506350311585,ok,42,-1,0.41956436035578204,2,ok,101,False
D235_F07_V01,235,7,detrended_101,real_all,C100,,,,,,,,,,,0.46785864054243503,444,ok,0.62585926281788673,ok,42,0,0.46785864054243503,1,ok,101,False
D235_F10_V01,235,10,detrended_31,real_all,C16,16,0,0.13083455137482003,0.024473943299730589,0.25124477484244528,16,0,0,0.13083455137482003,ok,,,,,,,,,,,,
D235_F10_V01,235,10,detrended_31,real_all,W100,,,,,,,,,,,0.28114292644015304,461,ok,0.23462200492232527,ok,42,0,0.28114292644015304,1,ok,101,False
D235_F10_V01,235,10,detrended_31,real_all,W500,,,,,,,,,,,0.29293434019906078,461,ok,0.23786805821450133,ok,42,0,0.29293434019906078,1,ok,101,False
D235_F10_V01,235,10,detrended_31,real_all,C100,,,,,,,,,,,0.34947687503334596,461,ok,0.30558261716522017,ok,42,0,0.34947687503334596,1,ok,101,False
D235_F10_V01,235,10,detrended_101,real_all,C16,16,0,0.28096563827701426,0.19296446866980707,0.3889463238549476,16,0,0,0.28096563827701426,ok,,,,,,,,,,,,
