diameter_um,mode,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,detrended_51,1,0,25,12.5,background_real_tail_covariation.csv,rho,5,0,-0.0050397414285849318,-0.10014954168837352,0.033596392309908921,1,4,0,-0.0050397414285849318,-0.0017086403525125823,-0.10014954168837352,-0.028700838721680368,0.033596392309908921
128,detrended_51,2,25,50,37.5,background_real_tail_covariation.csv,rho,5,0,0.01624898336242071,0.006386851273135841,0.037073985412709461,5,0,0,0.010510970652185663,0.006386851273135841,0.037073985412709461,0.01624898336242071,0.025270440411721704
128,detrended_51,3,50,75,62.5,background_real_tail_covariation.csv,rho,5,0,-0.023445632361387338,-0.074389596730488658,0.0075827581210461447,1,4,0,-0.01145811061812177,-0.074389596730488658,-0.023445632361387338,0.0075827581210461447,-0.048438546820853128
128,detrended_51,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.018288697977930993,-0.088908352745686287,0.055066252239111407,3,2,0,-0.088908352745686287,0.022703124885331296,0.018288697977930993,0.055066252239111407,-0.046581112904518905
128,detrended_51,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,0.040876450285936484,-0.027872576414741241,0.062155762092461764,3,2,0,-0.027872576414741241,-0.018720326479181024,0.041807331697578193,0.040876450285936484,0.062155762092461764
128,detrended_51,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,0.014228324696085761,-0.017164044396083801,0.032538873130525531,3,2,0,0.014228324696085761,0.026601605061618201,0.032538873130525531,-0.0097951340199814701,-0.017164044396083801
128,detrended_51,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,-0.016193922064226533,-0.071364485486749937,0.039151658840150212,1,4,0,-0.027177868738918736,0.039151658840150212,-0.004517647655167845,-0.016193922064226533,-0.071364485486749937
128,detrended_51,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,0.019278638866276093,-0.027628552148822101,0.038914831758870921,3,2,0,-0.027628552148822101,0.038914831758870921,0.019278638866276093,0.020701939072165273,-0.00584032380505356
128,detrended_51,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,0.029759580787754522,0.018877732788545955,0.063951192924962763,5,0,0,0.063951192924962763,0.050475882833182863,0.018877732788545955,0.029759580787754522,0.023612477102283567
128,detrended_51,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.04562670293686192,-0.025279222752572602,0.071261591583425057,4,1,0,0.054216944928869359,0.04562670293686192,0.071261591583425057,0.031523843555390667,-0.025279222752572602
128,detrended_51,11,250,275,262.5,background_real_tail_covariation.csv,rho,5,0,-0.022443390003440068,-0.07763067234675218,0.013426977985194995,2,3,0,-0.022443390003440068,-0.045002350800325608,0.0015990340710943139,0.013426977985194995,-0.07763067234675218
128,detrended_51,12,275,300,287.5,background_real_tail_covariation.csv,rho,5,0,0.04467828867129639,0.015323799143675286,0.11810725136317078,5,0,0,0.049838070477500392,0.038912409250905694,0.11810725136317078,0.015323799143675286,0.04467828867129639
128,detrended_51,13,300,325,312.5,background_real_tail_covariation.csv,rho,5,0,-0.019959933559850089,-0.073958031766885438,0.071257123153829816,2,3,0,0.0067872947808760671,-0.019959933559850089,0.071257123153829816,-0.073958031766885438,-0.02842089791073639
128,detrended_51,14,325,350,337.5,background_real_tail_covariation.csv,rho,5,0,-0.0080635115828228254,-0.080737242519229369,0.071523454691620261,2,3,0,0.071523454691620261,-0.0080635115828228254,-0.018262173109796567,0.029953021485904844,-0.080737242519229369
128,detrended_51,15,350,375,362.5,background_real_tail_covariation.csv,rho,5,0,0.032180055391685794,-0.0049058953116858919,0.11244693539388617,4,1,0,0.032180055391685794,0.0057135006740751263,0.11244693539388617,-0.0049058953116858919,0.1056621686490552
128,detrended_51,16,375,400,387.5,background_real_tail_covariation.csv,rho,5,0,0.013825526473353113,-0.022859477465211782,0.083367376822091929,3,2,0,0.013825526473353113,0.083367376822091929,0.052640985829179004,-0.022859477465211782,-0.0051504709239000553
128,detrended_51,17,400,425,412.5,background_real_tail_covariation.csv,rho,5,0,-0.010970506666194068,-0.027569763064026611,0.0068882974355323921,1,4,0,-0.027569763064026611,-0.010970506666194068,-0.0027122400858633875,0.0068882974355323921,-0.012717956490530209
128,detrended_51,18,425,450,437.5,background_real_tail_covariation.csv,rho,5,0,0.032803000901563913,-0.047439183710241646,0.076159679324470139,4,1,0,0.073383904694297564,-0.047439183710241646,0.076159679324470139,0.032803000901563913,0.017217202172894908
128,detrended_51,19,450,475,462.5,background_real_tail_covariation.csv,rho,5,0,-0.0044910433323599244,-0.1116254984457879,0.046028055506365156,2,3,0,0.046028055506365156,-0.0044910433323599244,-0.1116254984457879,-0.056512211538966531,0.012260133235035142
128,detrended_51,20,475,500,487.5,background_real_tail_covariation.csv,rho,5,0,0.023010138755267823,-0.057541171656711958,0.10064150907657887,4,1,0,0.023952151833333497,0.0091746429999868609,0.023010138755267823,-0.057541171656711958,0.10064150907657887
128,raw,1,0,25,12.5,background_real_tail_covariation.csv,rho,5,0,0.011533314046068338,-0.065407600624075565,0.042023100957550762,3,2,0,0.011533314046068338,0.042023100957550762,-0.065407600624075565,-0.00041010605472767658,0.023545966278536265
128,raw,2,25,50,37.5,background_real_tail_covariation.csv,rho,5,0,0.04612726687498786,0.030492417522371324,0.057784666741106987,5,0,0,0.050192624372151176,0.032993490790160548,0.030492417522371324,0.04612726687498786,0.057784666741106987
128,raw,3,50,75,62.5,background_real_tail_covariation.csv,rho,5,0,-0.026545157357903051,-0.045063310431469841,0.059652153953111908,2,3,0,0.0082120365600823128,-0.026545157357903051,-0.03417928892286138,0.059652153953111908,-0.045063310431469841
128,raw,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.0024107402635188493,-0.074793347932068058,0.071512881736630396,3,2,0,-0.074793347932068058,0.059103264766596927,0.0024107402635188493,0.071512881736630396,-0.016559513181492725
128,raw,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,0.078344677764800821,0.0071137593909174979,0.1122084023117965,5,0,0,0.018524921472344857,0.0071137593909174979,0.1122084023117965,0.078344677764800821,0.10810173486511045
128,raw,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,0.031977182110239158,0.0053863743525941477,0.073781737241739156,5,0,0,0.053855218498839237,0.073781737241739156,0.031977182110239158,0.023797167454063614,0.0053863743525941477
128,raw,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,0.031850866619560249,-0.0017347063514701346,0.11154208485538986,4,1,0,0.072262482427811928,0.11154208485538986,0.031850866619560249,0.015722134169876244,-0.0017347063514701346
128,raw,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,0.044350727226462591,0.0094363858697001507,0.11186578344365426,5,0,0,0.0094363858697001507,0.11186578344365426,0.044350727226462591,0.028794252145821094,0.046217382308006164
128,raw,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,0.084850010153255356,0.043605373885313575,0.10966931584400982,5,0,0,0.084850010153255356,0.10966931584400982,0.06663578053545198,0.087690188560654941,0.043605373885313575
128,raw,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.080297263295698376,0.048881781190978045,0.12808946303145544,5,0,0,0.066857971246294459,0.12808946303145544,0.10954259802376069,0.080297263295698376,0.048881781190978045
