scan_id,diameter_um,flow_mm_s,extension,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F07_V01,128,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.15252564796574614,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.169481205042331,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.20039301860327646,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.055078702032155827,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.050615475472909906,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.13699437909579079,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.1067033440713846,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.041616688297465558,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.16318998286041064,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.028913767180947108,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.12104039886837181,493,ok
D128_F07_V01,128,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.14070598884099764,493,ok
D128_F10_V01,128,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.25691575012222007,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.15174705997550217,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.10399201288468118,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.25224736217080346,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.1353833451482489,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.096323234598348448,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.15787260096121525,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.11766612864819465,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.1398642076575411,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.15397747687556809,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.05496398804012833,484,ok
D128_F10_V01,128,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.1120882173947864,484,ok
D235_F01_V01,235,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.20531490318064979,448,ok
