scan_id,diameter_um,flow_mm_s,region,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s1,real_mad,486,486,14,37344671.480354972,6213380.275411671,200573238.38571367,486,0,0
D128_F01_V01,128,1,s1,left_mean,486,486,14,20106829.645047583,10047327.382361725,45844785.571075499,486,0,0
D128_F01_V01,128,1,s1,left_median,486,486,14,14211334.68843965,3669031.0147324931,36219671.371405639,486,0,0
D128_F01_V01,128,1,s1,left_mad,486,486,14,8896590.4181875587,2614289.4081097641,23806730.131227784,486,0,0
D128_F01_V01,128,1,s1,right_mean,486,486,14,20573564.513154272,8833721.9440458659,49100527.147651426,486,0,0
D128_F01_V01,128,1,s1,right_median,486,486,14,14006056.12836244,4085206.716422535,37404881.668217041,486,0,0
D128_F01_V01,128,1,s1,right_mad,486,486,14,8750363.3116044849,2529952.2727976739,26005717.72034014,486,0,0
D128_F01_V01,128,1,s1,bg_mean,486,486,14,20622756.357821081,12825660.839842703,37129860.515350334,486,0,0
D128_F01_V01,128,1,s1,bg_median,486,486,14,14136212.770716509,4818067.9486741405,25324299.387559187,486,0,0
D128_F01_V01,128,1,s1,bg_mad,486,486,14,9510247.0389376618,3201772.0958932415,19482367.856730748,486,0,0
D128_F01_V01,128,1,s2,z_local,486,486,14,7.3024439955882521,1.1378625512597362,31.558370816191164,486,0,0
D128_F01_V01,128,1,s2,real_minus_bg_mean,486,486,14,198421541.48971379,35540487.916075982,505046496.46362299,486,0,0
D128_F01_V01,128,1,s2,signed_asymmetry,486,486,14,0.0029239605384071689,-0.71839280220367419,0.76372574535119175,244,242,0
D128_F01_V01,128,1,s2,real_mean,486,486,14,219617930.55933774,56105704.984526098,522659366.09352255,486,0,0
D128_F01_V01,128,1,s2,real_median,486,486,14,122381186.56805649,33709047.498325691,349090151.44407481,486,0,0
D128_F01_V01,128,1,s2,real_mad,486,486,14,90510286.349325001,24961749.037625894,294625121.70828563,486,0,0
D128_F01_V01,128,1,s2,left_mean,486,486,14,20739755.036389846,11389441.61831658,47569677.447831966,486,0,0
D128_F01_V01,128,1,s2,left_median,486,486,14,14613250.595451675,5439032.6350636156,29886874.685904965,486,0,0
D128_F01_V01,128,1,s2,left_mad,486,486,14,9649944.4870864302,4497646.2147469437,21294698.358962215,486,0,0
D128_F01_V01,128,1,s2,right_mean,486,486,14,20634078.853493385,10236899.594839023,41415239.278656326,486,0,0
D128_F01_V01,128,1,s2,right_median,486,486,14,14321254.693945698,4908908.8993088668,31211855.690851782,486,0,0
D128_F01_V01,128,1,s2,right_mad,486,486,14,9525768.4524379037,3892005.391351779,25019210.263119601,486,0,0
D128_F01_V01,128,1,s2,bg_mean,486,486,14,20721104.083382644,11419944.04708703,38821995.395064309,486,0,0
D128_F01_V01,128,1,s2,bg_median,486,486,14,14582821.725869188,7215689.9155963277,25998461.804031972,486,0,0
D128_F01_V01,128,1,s2,bg_mad,486,486,14,9825391.8052009605,4544224.1519807959,20495688.231161073,486,0,0
D128_F01_V01,128,1,s3,z_local,486,486,14,6.1726949574467138,1.112445940478445,19.39231846182058,486,0,0
D128_F01_V01,128,1,s3,real_minus_bg_mean,486,486,14,173360163.34785336,36064334.826140828,437335260.02777869,486,0,0
D128_F01_V01,128,1,s3,signed_asymmetry,486,486,14,-0.019336962387925996,-0.64127666089987001,0.81522253877140993,229,257,0
D128_F01_V01,128,1,s3,real_mean,486,486,14,195605465.46710643,57098575.492828779,456513149.32028687,486,0,0
D128_F01_V01,128,1,s3,real_median,486,486,14,105836001.58491099,26527284.811942559,312430173.91479349,486,0,0
D128_F01_V01,128,1,s3,real_mad,486,486,14,78655590.429250792,17037211.460573245,230512005.10949385,486,0,0
D128_F01_V01,128,1,s3,left_mean,486,486,14,21038869.281632036,13126315.975125423,56782944.645119235,486,0,0
D128_F01_V01,128,1,s3,left_median,486,486,14,14455634.493309211,6871776.3632938331,30068257.789428473,486,0,0
D128_F01_V01,128,1,s3,left_mad,486,486,14,9797934.79152596,4747979.4483979009,21433168.768495917,486,0,0
D128_F01_V01,128,1,s3,right_mean,486,486,14,21615422.430983096,11198229.656909641,41405597.55280371,486,0,0
D128_F01_V01,128,1,s3,right_median,486,486,14,14959160.584057061,6636765.3779645981,28287004.876964729,486,0,0
D128_F01_V01,128,1,s3,right_mad,486,486,14,9970882.8813633732,4133266.3583577913,18647127.45273019,486,0,0
D128_F01_V01,128,1,s3,bg_mean,486,486,14,21404084.581175011,14218487.489513978,49092365.603658825,486,0,0
D128_F01_V01,128,1,s3,bg_median,486,486,14,14768711.780673541,8742429.0408205483,24544706.39055036,486,0,0
D128_F01_V01,128,1,s3,bg_mad,486,486,14,10021652.46158395,6434273.6985062789,18364385.369815286,486,0,0
D128_F01_V01,128,1,s4,z_local,486,486,14,5.9283377523124408,0.52824938693494616,23.065634728606025,486,0,0
D128_F01_V01,128,1,s4,real_minus_bg_mean,486,486,14,165199806.79152364,50330518.791742682,476049616.36924374,486,0,0
D128_F01_V01,128,1,s4,signed_asymmetry,486,486,14,0.0036778532901337001,-0.74955131587718737,0.73757871736520852,244,242,0
D128_F01_V01,128,1,s4,real_mean,486,486,14,188524239.26137179,71364366.422805414,493578134.33840293,486,0,0
D128_F01_V01,128,1,s4,real_median,486,486,14,107817309.79617837,29845140.13979071,301694926.46810639,486,0,0
D128_F01_V01,128,1,s4,real_mad,486,486,14,79272734.092428133,22906022.849015526,242357091.5731312,486,0,0
D128_F01_V01,128,1,s4,left_mean,486,486,14,22151380.279494073,11762254.314463673,42175189.486765139,486,0,0
D128_F01_V01,128,1,s4,left_median,486,486,14,15238378.846384503,6318475.6728754463,30098767.23100106,486,0,0
D128_F01_V01,128,1,s4,left_mad,486,486,14,10151502.566065395,4269413.8189494628,19228115.42582579,486,0,0
D128_F01_V01,128,1,s4,right_mean,486,486,14,21990192.921253547,12292758.217500074,55744725.71103128,486,0,0
D128_F01_V01,128,1,s4,right_median,486,486,14,15576416.390228434,6953061.095217091,31978016.864507508,486,0,0
D128_F01_V01,128,1,s4,right_mad,486,486,14,10127586.387704283,4685861.1386524336,21346169.498087682,486,0,0
D128_F01_V01,128,1,s4,bg_mean,486,486,14,22236385.826888219,13679138.567401063,41670327.617922157,486,0,0
D128_F01_V01,128,1,s4,bg_median,486,486,14,15483344.048164215,8167871.2574845143,23804789.192452941,486,0,0
D128_F01_V01,128,1,s4,bg_mad,486,486,14,10393922.809452508,5411732.0820964407,18056734.145429596,486,0,0
D128_F01_V01,128,1,s5,z_local,486,486,14,5.4513930922038583,0.7722914564255603,29.581392433056894,486,0,0
D128_F01_V01,128,1,s5,real_minus_bg_mean,486,486,14,147524475.82487392,26190873.387106627,898957790.14628255,486,0,0
D128_F01_V01,128,1,s5,signed_asymmetry,486,486,14,-0.021170140836478887,-0.81744238765354382,0.81567197264658642,230,256,0
D128_F01_V01,128,1,s5,real_mean,486,486,14,170756721.3848201,49644380.959502958,920158075.94577014,486,0,0
D128_F01_V01,128,1,s5,real_median,486,486,14,100783298.35348207,26020419.011316407,331376238.83018011,486,0,0
D128_F01_V01,128,1,s5,real_mad,486,486,14,69354507.090058595,21173681.142277416,222499662.7212984,486,0,0
D128_F01_V01,128,1,s5,left_mean,486,486,14,22255135.743671075,11262706.581987305,39615972.374198318,486,0,0
D128_F01_V01,128,1,s5,left_median,486,486,14,15505578.82970345,6602308.7923672097,31843859.785813708,486,0,0
