diameter_um,pair,side,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,C100,left,crossed_controls.csv,rho,5,0,0.023950723977574646,-0.019882057060234257,0.085611675092283707,3,2,0,0.023950723977574646,-0.0093237729988290448,0.085611675092283707,0.0292059449236921,-0.019882057060234257
128,C100,right,crossed_controls.csv,rho,5,0,-0.0063960466903696059,-0.0341267770047037,0.050612818280113006,2,3,0,0.021395633959926972,-0.029284743354288403,-0.0063960466903696059,0.050612818280113006,-0.0341267770047037
128,W100,left,crossed_controls.csv,rho,5,0,0.020566527403541458,-0.019410447102204003,0.077202619359994062,4,1,0,0.020566527403541458,0.0043394626522245848,0.077202619359994062,0.059413005049666671,-0.019410447102204003
128,W100,right,crossed_controls.csv,rho,5,0,-0.01429671375305838,-0.040430977168877232,0.05190071027455511,2,3,0,0.030890194509173123,-0.040430977168877232,-0.036317002800238481,0.05190071027455511,-0.01429671375305838
128,W500,left,crossed_controls.csv,rho,5,0,-0.030138011948133123,-0.048918907695208222,0.056990430393332056,2,3,0,-0.048918907695208222,-0.030138011948133123,-0.038184252394593783,0.019583509052020047,0.056990430393332056
128,W500,right,crossed_controls.csv,rho,5,0,0.035798250252641488,-0.046726743250292711,0.091933981726961933,3,2,0,0.091933981726961933,-0.046726743250292711,-0.021365313587671263,0.058269205993333115,0.035798250252641488
235,C100,left,crossed_controls.csv,rho,5,0,-0.010055000818473362,-0.076822427836096427,-0.0084341427275626407,0,5,0,-0.076822427836096427,-0.010055000818473362,-0.0090625961928677418,-0.0084341427275626407,-0.033725471271039524
235,C100,right,crossed_controls.csv,rho,5,0,0.028393710771323178,-0.012011268876220373,0.082348106798910137,4,1,0,0.051991603931542396,0.082348106798910137,0.023872142758490138,-0.012011268876220373,0.028393710771323178
235,W100,left,crossed_controls.csv,rho,5,0,-0.00036151271790785364,-0.080805780309667119,0.032629173577223267,2,3,0,-0.02592470118199066,-0.080805780309667119,0.032629173577223267,0.00094152905758561594,-0.00036151271790785364
235,W100,right,crossed_controls.csv,rho,5,0,0.024040247130536412,-0.0043341017939377826,0.082307582049863215,4,1,0,0.082307582049863215,-0.0043341017939377826,0.045291086704827913,0.018831609396041681,0.024040247130536412
235,W500,left,crossed_controls.csv,rho,5,0,-0.056105204776292453,-0.086647588125787614,-0.028987530424055937,0,5,0,-0.028987530424055937,-0.086647588125787614,-0.056105204776292453,-0.068248516929707459,-0.053425353388068114
235,W500,right,crossed_controls.csv,rho,5,0,0.086724038845340287,0.014258348207790712,0.11038556730076804,5,0,0,0.10076103229654611,0.025690210710354315,0.086724038845340287,0.11038556730076804,0.014258348207790712
285,C100,left,crossed_controls.csv,rho,5,0,0.012708072270302918,-0.063598120198714664,0.024675157105088209,3,2,0,0.012708072270302918,-0.0081268808677734672,0.018972313058738768,0.024675157105088209,-0.063598120198714664
285,C100,right,crossed_controls.csv,rho,5,0,-0.0079042192445457869,-0.047681795646017891,0.019369619560107024,2,3,0,-0.039451997623901607,0.019369619560107024,0.015584723887594271,-0.047681795646017891,-0.0079042192445457869
285,W100,left,crossed_controls.csv,rho,5,0,0.010215351918082104,-0.080098305683751675,0.013162863937571895,3,2,0,0.010215351918082104,-0.014041764995627672,0.010771087241196256,0.013162863937571895,-0.080098305683751675
285,W100,right,crossed_controls.csv,rho,5,0,-0.033675289132255613,-0.052980800419625738,0.021615376926598474,1,4,0,-0.037981038332371306,-0.015378076256445798,0.021615376926598474,-0.052980800419625738,-0.033675289132255613
285,W500,left,crossed_controls.csv,rho,5,0,-0.030690314561436526,-0.063039479834258644,0.011384632424394024,2,3,0,0.011384632424394024,-0.063039479834258644,-0.030690314561436526,0.0079711981892367639,-0.04581814562327529
285,W500,right,crossed_controls.csv,rho,5,0,-0.051165270934967616,-0.14731484503120856,-0.028959224981608432,0,5,0,-0.14731484503120856,-0.062057091967195228,-0.039545092540100336,-0.028959224981608432,-0.051165270934967616
