scan_id,diameter_um,flow_mm_s,offset,dx_pixel,dz_pixel,support,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,baseline,0,0,all_available,source,486,14,184920154.60033482,78701322.74503012,429152853.16946644,486,0,0
D128_F01_V01,128,1,baseline,0,0,all_available,tail100,486,14,82092144.726601571,38249559.666736521,145731623.03861338,486,0,0
D128_F01_V01,128,1,baseline,0,0,all_available,tail500,486,14,43311305.943663433,27348818.596215826,60150273.061019488,486,0,0
D128_F01_V01,128,1,baseline,0,0,all_available,RI100,486,14,0.45046060387848441,0.24294598326724479,0.94832411826858309,486,0,0
D128_F01_V01,128,1,baseline,0,0,all_available,RI500,486,14,0.23532468600060119,0.10826794115773264,0.44000770225185187,486,0,0
D128_F01_V01,128,1,baseline,0,0,five_position_common,source,486,14,184920154.60033482,78701322.74503012,429152853.16946644,486,0,0
D128_F01_V01,128,1,baseline,0,0,five_position_common,tail100,486,14,82092144.726601571,38249559.666736521,145731623.03861338,486,0,0
D128_F01_V01,128,1,baseline,0,0,five_position_common,tail500,486,14,43311305.943663433,27348818.596215826,60150273.061019488,486,0,0
D128_F01_V01,128,1,baseline,0,0,five_position_common,RI100,486,14,0.45046060387848441,0.24294598326724479,0.94832411826858309,486,0,0
D128_F01_V01,128,1,baseline,0,0,five_position_common,RI500,486,14,0.23532468600060119,0.10826794115773264,0.44000770225185187,486,0,0
D128_F01_V01,128,1,xp,1,0,all_available,source,486,14,183511256.57973406,73900593.917042226,397106583.84226257,486,0,0
D128_F01_V01,128,1,xp,1,0,all_available,tail100,486,14,81334033.323473185,36337174.281060733,136108698.56361952,486,0,0
D128_F01_V01,128,1,xp,1,0,all_available,tail500,486,14,43165106.046470895,26476233.346737165,58182321.668509476,486,0,0
D128_F01_V01,128,1,xp,1,0,all_available,RI100,486,14,0.44781690323303713,0.2488546978847351,0.92006073117287757,486,0,0
D128_F01_V01,128,1,xp,1,0,all_available,RI500,486,14,0.23646303439734906,0.11819723811333774,0.44816168389020689,486,0,0
D128_F01_V01,128,1,xp,1,0,five_position_common,source,486,14,183511256.57973406,73900593.917042226,397106583.84226257,486,0,0
D128_F01_V01,128,1,xp,1,0,five_position_common,tail100,486,14,81334033.323473185,36337174.281060733,136108698.56361952,486,0,0
D128_F01_V01,128,1,xp,1,0,five_position_common,tail500,486,14,43165106.046470895,26476233.346737165,58182321.668509476,486,0,0
D128_F01_V01,128,1,xp,1,0,five_position_common,RI100,486,14,0.44781690323303713,0.2488546978847351,0.92006073117287757,486,0,0
D128_F01_V01,128,1,xp,1,0,five_position_common,RI500,486,14,0.23646303439734906,0.11819723811333774,0.44816168389020689,486,0,0
D128_F01_V01,128,1,xm,-1,0,all_available,source,486,14,177428778.52991587,82174280.8243673,455746484.48539066,486,0,0
D128_F01_V01,128,1,xm,-1,0,all_available,tail100,486,14,80546587.889219791,39716237.814432189,145098979.27353668,486,0,0
D128_F01_V01,128,1,xm,-1,0,all_available,tail500,486,14,42612463.529284954,27644941.893757399,60440564.716995031,486,0,0
D128_F01_V01,128,1,xm,-1,0,all_available,RI100,486,14,0.45773198198335663,0.22113859500172772,0.96941523462809909,486,0,0
D128_F01_V01,128,1,xm,-1,0,all_available,RI500,486,14,0.24082271566365132,0.097581293983421399,0.44259045170421069,486,0,0
D128_F01_V01,128,1,xm,-1,0,five_position_common,source,486,14,177428778.52991587,82174280.8243673,455746484.48539066,486,0,0
D128_F01_V01,128,1,xm,-1,0,five_position_common,tail100,486,14,80546587.889219791,39716237.814432189,145098979.27353668,486,0,0
D128_F01_V01,128,1,xm,-1,0,five_position_common,tail500,486,14,42612463.529284954,27644941.893757399,60440564.716995031,486,0,0
D128_F01_V01,128,1,xm,-1,0,five_position_common,RI100,486,14,0.45773198198335663,0.22113859500172772,0.96941523462809909,486,0,0
D128_F01_V01,128,1,xm,-1,0,five_position_common,RI500,486,14,0.24082271566365132,0.097581293983421399,0.44259045170421069,486,0,0
D128_F01_V01,128,1,zp,0,1,all_available,source,486,14,188844232.99192104,80410454.231926188,464591544.90159023,486,0,0
D128_F01_V01,128,1,zp,0,1,all_available,tail100,486,14,78494666.182565123,38150304.467297278,136476114.12108147,486,0,0
D128_F01_V01,128,1,zp,0,1,all_available,tail500,486,14,42150936.948542677,27090638.888235189,57980086.097195089,486,0,0
D128_F01_V01,128,1,zp,0,1,all_available,RI100,486,14,0.42122922765859161,0.17959234398721449,0.84147283896697433,486,0,0
D128_F01_V01,128,1,zp,0,1,all_available,RI500,486,14,0.2255313783815206,0.090848083128238791,0.39692581230715923,486,0,0
D128_F01_V01,128,1,zp,0,1,five_position_common,source,486,14,188844232.99192104,80410454.231926188,464591544.90159023,486,0,0
D128_F01_V01,128,1,zp,0,1,five_position_common,tail100,486,14,78494666.182565123,38150304.467297278,136476114.12108147,486,0,0
D128_F01_V01,128,1,zp,0,1,five_position_common,tail500,486,14,42150936.948542677,27090638.888235189,57980086.097195089,486,0,0
D128_F01_V01,128,1,zp,0,1,five_position_common,RI100,486,14,0.42122922765859161,0.17959234398721449,0.84147283896697433,486,0,0
D128_F01_V01,128,1,zp,0,1,five_position_common,RI500,486,14,0.2255313783815206,0.090848083128238791,0.39692581230715923,486,0,0
D128_F01_V01,128,1,zm,0,-1,all_available,source,486,14,179518413.26466602,77316906.525004685,392071702.52814817,486,0,0
D128_F01_V01,128,1,zm,0,-1,all_available,tail100,486,14,86314385.591000408,39580981.386541158,152864144.79604974,486,0,0
D128_F01_V01,128,1,zm,0,-1,all_available,tail500,486,14,44470063.608329982,27839765.962113444,62173594.818794668,486,0,0
D128_F01_V01,128,1,zm,0,-1,all_available,RI100,486,14,0.4848629135477478,0.27110183740789451,1.0750124363166496,486,0,0
D128_F01_V01,128,1,zm,0,-1,all_available,RI500,486,14,0.24870518740789099,0.13078359817617022,0.48705202426970379,486,0,0
D128_F01_V01,128,1,zm,0,-1,five_position_common,source,486,14,179518413.26466602,77316906.525004685,392071702.52814817,486,0,0
D128_F01_V01,128,1,zm,0,-1,five_position_common,tail100,486,14,86314385.591000408,39580981.386541158,152864144.79604974,486,0,0
D128_F01_V01,128,1,zm,0,-1,five_position_common,tail500,486,14,44470063.608329982,27839765.962113444,62173594.818794668,486,0,0
D128_F01_V01,128,1,zm,0,-1,five_position_common,RI100,486,14,0.4848629135477478,0.27110183740789451,1.0750124363166496,486,0,0
D128_F01_V01,128,1,zm,0,-1,five_position_common,RI500,486,14,0.24870518740789099,0.13078359817617022,0.48705202426970379,486,0,0
D128_F03_V01,128,3,baseline,0,0,all_available,source,468,32,188715323.1745643,62181293.843998581,453648458.58642107,468,0,0
D128_F03_V01,128,3,baseline,0,0,all_available,tail100,468,32,80983728.733307019,39955806.261068031,159701237.70834273,468,0,0
D128_F03_V01,128,3,baseline,0,0,all_available,tail500,468,32,42341295.337262824,26322984.725532059,67026219.436174043,468,0,0
D128_F03_V01,128,3,baseline,0,0,all_available,RI100,468,32,0.43393715374042613,0.17670599474432483,0.75509981220470024,468,0,0
D128_F03_V01,128,3,baseline,0,0,all_available,RI500,468,32,0.22420183031850904,0.096022638057956952,0.43264302762823414,468,0,0
D128_F03_V01,128,3,baseline,0,0,five_position_common,source,468,32,188715323.1745643,62181293.843998581,453648458.58642107,468,0,0
D128_F03_V01,128,3,baseline,0,0,five_position_common,tail100,468,32,80983728.733307019,39955806.261068031,159701237.70834273,468,0,0
D128_F03_V01,128,3,baseline,0,0,five_position_common,tail500,468,32,42341295.337262824,26322984.725532059,67026219.436174043,468,0,0
D128_F03_V01,128,3,baseline,0,0,five_position_common,RI100,468,32,0.43393715374042613,0.17670599474432483,0.75509981220470024,468,0,0
D128_F03_V01,128,3,baseline,0,0,five_position_common,RI500,468,32,0.22420183031850904,0.096022638057956952,0.43264302762823414,468,0,0
D128_F03_V01,128,3,xp,1,0,all_available,source,468,32,188260582.97206172,54213943.592456385,454865557.159307,468,0,0
D128_F03_V01,128,3,xp,1,0,all_available,tail100,468,32,80229439.730609566,38671025.218811177,154018801.85697103,468,0,0
D128_F03_V01,128,3,xp,1,0,all_available,tail500,468,32,41962130.24011147,25531293.854370732,65783536.35023614,468,0,0
D128_F03_V01,128,3,xp,1,0,all_available,RI100,468,32,0.43453434631536414,0.17519749308593796,0.75463659381635506,468,0,0
D128_F03_V01,128,3,xp,1,0,all_available,RI500,468,32,0.22568159558139883,0.095542994017209823,0.47093592833418763,468,0,0
D128_F03_V01,128,3,xp,1,0,five_position_common,source,468,32,188260582.97206172,54213943.592456385,454865557.159307,468,0,0
D128_F03_V01,128,3,xp,1,0,five_position_common,tail100,468,32,80229439.730609566,38671025.218811177,154018801.85697103,468,0,0
D128_F03_V01,128,3,xp,1,0,five_position_common,tail500,468,32,41962130.24011147,25531293.854370732,65783536.35023614,468,0,0
D128_F03_V01,128,3,xp,1,0,five_position_common,RI100,468,32,0.43453434631536414,0.17519749308593796,0.75463659381635506,468,0,0
D128_F03_V01,128,3,xp,1,0,five_position_common,RI500,468,32,0.22568159558139883,0.095542994017209823,0.47093592833418763,468,0,0
D128_F03_V01,128,3,xm,-1,0,all_available,source,468,32,183116525.76844895,66215949.344399281,461009625.28202426,468,0,0
D128_F03_V01,128,3,xm,-1,0,all_available,tail100,468,32,79091630.17177771,41553101.41514346,160975614.97181141,468,0,0
D128_F03_V01,128,3,xm,-1,0,all_available,tail500,468,32,41850330.580703989,27368302.498974398,66692997.721367642,468,0,0
D128_F03_V01,128,3,xm,-1,0,all_available,RI100,468,32,0.43575906035352791,0.1760180176377853,0.81668767168853917,468,0,0
D128_F03_V01,128,3,xm,-1,0,all_available,RI500,468,32,0.22854842468791059,0.090128639294616578,0.43840791086851899,468,0,0
D128_F03_V01,128,3,xm,-1,0,five_position_common,source,468,32,183116525.76844895,66215949.344399281,461009625.28202426,468,0,0
D128_F03_V01,128,3,xm,-1,0,five_position_common,tail100,468,32,79091630.17177771,41553101.41514346,160975614.97181141,468,0,0
D128_F03_V01,128,3,xm,-1,0,five_position_common,tail500,468,32,41850330.580703989,27368302.498974398,66692997.721367642,468,0,0
D128_F03_V01,128,3,xm,-1,0,five_position_common,RI100,468,32,0.43575906035352791,0.1760180176377853,0.81668767168853917,468,0,0
D128_F03_V01,128,3,xm,-1,0,five_position_common,RI500,468,32,0.22854842468791059,0.090128639294616578,0.43840791086851899,468,0,0
D128_F03_V01,128,3,zp,0,1,all_available,source,468,32,193069010.88697839,64425137.420598067,457680859.53885275,468,0,0
D128_F03_V01,128,3,zp,0,1,all_available,tail100,468,32,76561424.438763857,41941151.602187514,149737710.62051928,468,0,0
D128_F03_V01,128,3,zp,0,1,all_available,tail500,468,32,40895495.82918255,26318034.991067775,63966080.89838773,468,0,0
D128_F03_V01,128,3,zp,0,1,all_available,RI100,468,32,0.39966300606149341,0.16168054437441992,0.73147473097249704,468,0,0
D128_F03_V01,128,3,zp,0,1,all_available,RI500,468,32,0.21513356784539506,0.089035033491494622,0.42611600790517318,468,0,0
D128_F03_V01,128,3,zp,0,1,five_position_common,source,468,32,193069010.88697839,64425137.420598067,457680859.53885275,468,0,0
D128_F03_V01,128,3,zp,0,1,five_position_common,tail100,468,32,76561424.438763857,41941151.602187514,149737710.62051928,468,0,0
D128_F03_V01,128,3,zp,0,1,five_position_common,tail500,468,32,40895495.82918255,26318034.991067775,63966080.89838773,468,0,0
D128_F03_V01,128,3,zp,0,1,five_position_common,RI100,468,32,0.39966300606149341,0.16168054437441992,0.73147473097249704,468,0,0
D128_F03_V01,128,3,zp,0,1,five_position_common,RI500,468,32,0.21513356784539506,0.089035033491494622,0.42611600790517318,468,0,0
D128_F03_V01,128,3,zm,0,-1,all_available,source,468,32,183493928.54396027,59510441.722120717,443694754.97511554,468,0,0
D128_F03_V01,128,3,zm,0,-1,all_available,tail100,468,32,84185455.261708245,40267736.094075426,163759311.95005673,468,0,0
D128_F03_V01,128,3,zm,0,-1,all_available,tail500,468,32,43541084.332619399,26727117.623785399,68760863.41981259,468,0,0
D128_F03_V01,128,3,zm,0,-1,all_available,RI100,468,32,0.46489294009652726,0.17968011165988232,0.80646489103981134,468,0,0
D128_F03_V01,128,3,zm,0,-1,all_available,RI500,468,32,0.23973266004079108,0.10025412181797441,0.4491164382308831,468,0,0
D128_F03_V01,128,3,zm,0,-1,five_position_common,source,468,32,183493928.54396027,59510441.722120717,443694754.97511554,468,0,0
D128_F03_V01,128,3,zm,0,-1,five_position_common,tail100,468,32,84185455.261708245,40267736.094075426,163759311.95005673,468,0,0
D128_F03_V01,128,3,zm,0,-1,five_position_common,tail500,468,32,43541084.332619399,26727117.623785399,68760863.41981259,468,0,0
D128_F03_V01,128,3,zm,0,-1,five_position_common,RI100,468,32,0.46489294009652726,0.17968011165988232,0.80646489103981134,468,0,0
D128_F03_V01,128,3,zm,0,-1,five_position_common,RI500,468,32,0.23973266004079108,0.10025412181797441,0.4491164382308831,468,0,0
D128_F05_V01,128,5,baseline,0,0,all_available,source,491,9,192075186.15168616,70399516.856417835,409286174.42691511,491,0,0
D128_F05_V01,128,5,baseline,0,0,all_available,tail100,491,9,79408151.457878381,41280886.871134326,155772135.05677515,491,0,0
D128_F05_V01,128,5,baseline,0,0,all_available,tail500,491,9,42088839.342979915,27806670.638125647,62364712.441803485,491,0,0
D128_F05_V01,128,5,baseline,0,0,all_available,RI100,491,9,0.42123103493531716,0.19899697170247993,0.91019534260594881,491,0,0
D128_F05_V01,128,5,baseline,0,0,all_available,RI500,491,9,0.22330065318823616,0.11398722649826207,0.45100030764504795,491,0,0
D128_F05_V01,128,5,baseline,0,0,five_position_common,source,491,9,192075186.15168616,70399516.856417835,409286174.42691511,491,0,0
D128_F05_V01,128,5,baseline,0,0,five_position_common,tail100,491,9,79408151.457878381,41280886.871134326,155772135.05677515,491,0,0
D128_F05_V01,128,5,baseline,0,0,five_position_common,tail500,491,9,42088839.342979915,27806670.638125647,62364712.441803485,491,0,0
D128_F05_V01,128,5,baseline,0,0,five_position_common,RI100,491,9,0.42123103493531716,0.19899697170247993,0.91019534260594881,491,0,0
D128_F05_V01,128,5,baseline,0,0,five_position_common,RI500,491,9,0.22330065318823616,0.11398722649826207,0.45100030764504795,491,0,0
D128_F05_V01,128,5,xp,1,0,all_available,source,491,9,191254886.21115839,66001712.112791985,392704614.27824575,491,0,0
D128_F05_V01,128,5,xp,1,0,all_available,tail100,491,9,78534067.423385844,38987297.235159092,145284863.60631156,491,0,0
D128_F05_V01,128,5,xp,1,0,all_available,tail500,491,9,41876566.88273561,26868099.977663346,59952599.272848122,491,0,0
D128_F05_V01,128,5,xp,1,0,all_available,RI100,491,9,0.42693616401118312,0.19791080916458628,0.91192132247650493,491,0,0
D128_F05_V01,128,5,xp,1,0,all_available,RI500,491,9,0.22543504343879095,0.11383359290439006,0.45073106823572401,491,0,0
D128_F05_V01,128,5,xp,1,0,five_position_common,source,491,9,191254886.21115839,66001712.112791985,392704614.27824575,491,0,0
D128_F05_V01,128,5,xp,1,0,five_position_common,tail100,491,9,78534067.423385844,38987297.235159092,145284863.60631156,491,0,0
D128_F05_V01,128,5,xp,1,0,five_position_common,tail500,491,9,41876566.88273561,26868099.977663346,59952599.272848122,491,0,0
D128_F05_V01,128,5,xp,1,0,five_position_common,RI100,491,9,0.42693616401118312,0.19791080916458628,0.91192132247650493,491,0,0
D128_F05_V01,128,5,xp,1,0,five_position_common,RI500,491,9,0.22543504343879095,0.11383359290439006,0.45073106823572401,491,0,0
D128_F05_V01,128,5,xm,-1,0,all_available,source,491,9,186671228.39301214,71565616.818447188,413727768.00475419,491,0,0
D128_F05_V01,128,5,xm,-1,0,all_available,tail100,491,9,77281623.459222302,42157564.397033565,156182538.19210881,491,0,0
D128_F05_V01,128,5,xm,-1,0,all_available,tail500,491,9,41522026.676933311,28045903.432229847,61375802.389118157,491,0,0
D128_F05_V01,128,5,xm,-1,0,all_available,RI100,491,9,0.42880234853915727,0.20414566543925347,0.92478966307756327,491,0,0
D128_F05_V01,128,5,xm,-1,0,all_available,RI500,491,9,0.22762458484162265,0.10954462537884611,0.46885807039569127,491,0,0
D128_F05_V01,128,5,xm,-1,0,five_position_common,source,491,9,186671228.39301214,71565616.818447188,413727768.00475419,491,0,0
D128_F05_V01,128,5,xm,-1,0,five_position_common,tail100,491,9,77281623.459222302,42157564.397033565,156182538.19210881,491,0,0
D128_F05_V01,128,5,xm,-1,0,five_position_common,tail500,491,9,41522026.676933311,28045903.432229847,61375802.389118157,491,0,0
