scan_id,diameter_um,flow_mm_s,mode,support,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D235_F01_V01,235,1,detrended_51,real_all,W100,0.24619252799692723,448,ok,0.24527921401177588,ok,42,-2,0.26043004627605237,2,ok,101,False,0.24890030115524708,ok,42
D235_F01_V01,235,1,detrended_51,real_all,W500,0.33998536204905688,448,ok,0.35083251842211205,ok,42,0,0.33998536204905688,1,ok,101,False,0.36859738889378446,ok,42
D235_F01_V01,235,1,detrended_51,real_all,C100,0.39241701973925625,448,ok,0.39210583513723413,ok,42,-2,0.39770666104211694,2,ok,101,False,0.37970818011447838,ok,42
D235_F03_V01,235,3,raw,real_all,W100,0.21562578073784933,448,ok,0.36971852671818811,ok,42,-1,0.23761967397861208,2,ok,101,False,,,
D235_F03_V01,235,3,raw,real_all,W500,0.31178158771916714,448,ok,0.42481991818412129,ok,42,-1,0.35311960397614039,2,ok,101,False,,,
D235_F03_V01,235,3,raw,real_all,C100,0.37539116968142694,448,ok,0.50568574094025953,ok,42,0,0.37539116968142694,1,ok,101,False,,,
D235_F03_V01,235,3,detrended_51,real_all,W100,0.25799815011656796,448,ok,0.2390157689347065,ok,42,0,0.25799815011656796,1,ok,101,False,0.23524898961086954,ok,42
D235_F03_V01,235,3,detrended_51,real_all,W500,0.32820670645012101,448,ok,0.31419976074783146,ok,42,-1,0.34453608194858815,2,ok,101,False,0.31133344926753953,ok,42
D235_F03_V01,235,3,detrended_51,real_all,C100,0.3042269175368118,448,ok,0.32794685789859829,ok,42,0,0.3042269175368118,1,ok,101,False,0.31677639108693534,ok,42
D235_F05_V01,235,5,raw,real_all,W100,0.29377208932549337,424,ok,0.33452640700400782,ok,42,-1,0.30720286281659054,2,ok,101,False,,,
D235_F05_V01,235,5,raw,real_all,W500,0.3740112247227273,424,ok,0.37516900876021142,ok,42,0,0.3740112247227273,1,ok,101,False,,,
D235_F05_V01,235,5,raw,real_all,C100,0.38570587448146659,424,ok,0.41399302632201929,ok,42,0,0.38570587448146659,1,ok,101,False,,,
D235_F05_V01,235,5,detrended_51,real_all,W100,0.28455510714342497,424,ok,0.28401756583492671,ok,42,-1,0.28516622396194424,2,ok,101,False,0.26927437178748093,ok,42
D235_F05_V01,235,5,detrended_51,real_all,W500,0.37201275780486248,424,ok,0.35569446092355328,ok,42,0,0.37201275780486248,1,ok,101,False,0.34603521102442047,ok,42
D235_F05_V01,235,5,detrended_51,real_all,C100,0.31275536463882364,424,ok,0.27708259031587934,ok,42,0,0.31275536463882364,1,ok,101,False,0.27181717709286823,ok,42
D235_F07_V01,235,7,raw,real_all,W100,0.29683006363453773,444,ok,0.40037786799140207,ok,42,-1,0.31534561732567873,3,ok,101,False,,,
D235_F07_V01,235,7,raw,real_all,W500,0.35584751566185607,444,ok,0.40624225505632672,ok,42,-1,0.39879330690581727,2,ok,101,False,,,
D235_F07_V01,235,7,raw,real_all,C100,0.39167301321155279,444,ok,0.51684442281616294,ok,42,-1,0.39386589696925112,2,ok,101,False,,,
D235_F07_V01,235,7,detrended_51,real_all,W100,0.26885517043200452,444,ok,0.2492339919454539,ok,42,0,0.26885517043200452,1,ok,101,False,0.23415996507398296,ok,42
D235_F07_V01,235,7,detrended_51,real_all,W500,0.32119183053452915,444,ok,0.29907305063197642,ok,42,-1,0.32503473564350205,2,ok,101,False,0.30408399619007509,ok,42
D235_F07_V01,235,7,detrended_51,real_all,C100,0.32423145818034615,444,ok,0.3137402244691409,ok,42,0,0.32423145818034615,1,ok,101,False,0.30196922982756164,ok,42
D235_F10_V01,235,10,raw,real_all,W100,0.32472787045077905,461,ok,0.36295432499871905,ok,42,0,0.32472787045077905,1,ok,101,False,,,
D235_F10_V01,235,10,raw,real_all,W500,0.38730009027094758,461,ok,0.395582347987671,ok,42,0,0.38730009027094758,1,ok,101,False,,,
D235_F10_V01,235,10,raw,real_all,C100,0.50765098336540382,461,ok,0.58221461365376692,ok,42,0,0.50765098336540382,1,ok,101,False,,,
D235_F10_V01,235,10,detrended_51,real_all,W100,0.37388206639269184,461,ok,0.2797797409825809,ok,42,0,0.37388206639269184,1,ok,101,False,0.28827030532347259,ok,42
D235_F10_V01,235,10,detrended_51,real_all,W500,0.40743290116263842,461,ok,0.29395113932210964,ok,42,0,0.40743290116263842,1,ok,101,False,0.3039420149731169,ok,42
D235_F10_V01,235,10,detrended_51,real_all,C100,0.48562640145051222,461,ok,0.37021180826864974,ok,42,0,0.48562640145051222,1,ok,101,False,0.3751116421648657,ok,42
D285_F01_V01,285,1,raw,real_all,W100,0.39274200481707977,453,ok,0.26447463415905964,ok,42,0,0.39274200481707977,1,ok,101,False,,,
D285_F01_V01,285,1,raw,real_all,W500,0.68581695561486189,453,ok,0.3347407898531608,ok,42,0,0.68581695561486189,1,ok,101,False,,,
D285_F01_V01,285,1,raw,real_all,C100,0.49965029828562252,453,ok,0.35244286366885219,ok,42,0,0.49965029828562252,1,ok,101,False,,,
D285_F01_V01,285,1,detrended_51,real_all,W100,0.31717149804628997,453,ok,0.2170531979718619,ok,42,1,0.32588867867345894,2,ok,101,False,0.24241006249640654,ok,42
D285_F01_V01,285,1,detrended_51,real_all,W500,0.3585297848730235,453,ok,0.27847579184679661,ok,42,0,0.3585297848730235,1,ok,101,False,0.30324282886094456,ok,42
