scan_id,diameter_um,flow_mm_s,offset,n_common,baseline_common_C16,C16_change,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D128_F01_V01,128,1,baseline,486,0.16380209619412242,0,16,0,0.16380209619412242,0.049942600749761978,0.33769526793961674,16,0,0,0.16380209619412242,ok
D128_F01_V01,128,1,xp,486,0.16380209619412242,0.011521380160881695,16,0,0.17532347635500412,0.029803537196560509,0.35216024865452283,16,0,0,0.17532347635500412,ok
D128_F01_V01,128,1,xm,486,0.16380209619412242,0.0013180310410228768,16,0,0.1651201272351453,0.073079101800582691,0.34240061108876085,16,0,0,0.1651201272351453,ok
D128_F01_V01,128,1,zp,486,0.16380209619412242,0.0085791256405835792,16,0,0.172381221834706,0.062812420134563646,0.25542276726731961,16,0,0,0.172381221834706,ok
D128_F01_V01,128,1,zm,486,0.16380209619412242,0.020881366259060702,16,0,0.18468346245318312,0.090162702457472654,0.3188847800182078,16,0,0,0.18468346245318312,ok
D128_F03_V01,128,3,baseline,468,0.1506984096427027,0,16,0,0.1506984096427027,0.012577106953993325,0.24178735181058447,16,0,0,0.1506984096427027,ok
D128_F03_V01,128,3,xp,468,0.1506984096427027,0.016558082888980696,16,0,0.1672564925316834,0.036740438505432176,0.22994674177258922,16,0,0,0.1672564925316834,ok
D128_F03_V01,128,3,xm,468,0.1506984096427027,-0.0082907587264938187,16,0,0.14240765091620888,-0.0095841011579960271,0.22967638671854013,15,1,0,0.14240765091620888,ok
D128_F03_V01,128,3,zp,468,0.1506984096427027,-0.018861244875389982,16,0,0.13183716476731272,0.0052633877232731085,0.25621018643637056,16,0,0,0.13183716476731272,ok
D128_F03_V01,128,3,zm,468,0.1506984096427027,0.007194623209863138,16,0,0.15789303285256584,0.038084000433701068,0.22780839173692366,16,0,0,0.15789303285256584,ok
D128_F05_V01,128,5,baseline,491,0.15203803659141071,0,16,0,0.15203803659141071,0.060178798893584844,0.33000386855509467,16,0,0,0.15203803659141071,ok
D128_F05_V01,128,5,xp,491,0.15203803659141071,0.014937679240309615,16,0,0.16697571583172033,0.059619038528946601,0.3393354524959642,16,0,0,0.16697571583172033,ok
D128_F05_V01,128,5,xm,491,0.15203803659141071,-0.010454228200177329,16,0,0.14158380839123338,0.035115522505345685,0.31062508648746612,16,0,0,0.14158380839123338,ok
D128_F05_V01,128,5,zp,491,0.15203803659141071,-0.020006871219256206,16,0,0.13203116537215451,0.051703955104466008,0.24805863193439576,16,0,0,0.13203116537215451,ok
D128_F05_V01,128,5,zm,491,0.15203803659141071,-0.0065896932853385104,16,0,0.1454483433060722,0.068617428001788314,0.29751206334550806,16,0,0,0.1454483433060722,ok
D128_F07_V01,128,7,baseline,493,0.1424681488875999,0,16,0,0.1424681488875999,0.028913767180947108,0.28246060890084884,16,0,0,0.1424681488875999,ok
D128_F07_V01,128,7,xp,493,0.1424681488875999,0.016024027247447781,16,0,0.15849217613504768,0.046199537200441718,0.31012825423159096,16,0,0,0.15849217613504768,ok
D128_F07_V01,128,7,xm,493,0.1424681488875999,-0.001484461274811999,16,0,0.1409836876127879,0.030180028514251184,0.27465133291466248,16,0,0,0.1409836876127879,ok
D128_F07_V01,128,7,zp,493,0.1424681488875999,-0.014647691627052845,16,0,0.12782045726054705,-0.0068056276032192704,0.24417270346045133,15,1,0,0.12782045726054705,ok
D128_F07_V01,128,7,zm,493,0.1424681488875999,0.0082009133630372988,16,0,0.1506690622506372,0.0030973959160602504,0.26753646220605398,16,0,0,0.1506690622506372,ok
D128_F10_V01,128,10,baseline,484,0.15286226842553513,0,16,0,0.15286226842553513,0.05496398804012833,0.25691575012222007,16,0,0,0.15286226842553513,ok
D128_F10_V01,128,10,xp,484,0.15286226842553513,0.0081855850489083726,16,0,0.1610478534744435,0.064822219686798382,0.26681738200888522,16,0,0,0.1610478534744435,ok
D128_F10_V01,128,10,xm,484,0.15286226842553513,-0.01185453097021541,16,0,0.14100773745531972,0.042895278350565474,0.26241462029835921,16,0,0,0.14100773745531972,ok
D128_F10_V01,128,10,zp,484,0.15286226842553513,-0.031221718664129275,16,0,0.12164054976140586,0.051601880180734069,0.27144542637049596,16,0,0,0.12164054976140586,ok
D128_F10_V01,128,10,zm,484,0.15286226842553513,0.014172956062202424,16,0,0.16703522448773755,0.059077855931810072,0.25081575185959365,16,0,0,0.16703522448773755,ok
D235_F01_V01,235,1,baseline,448,0.18218801676042404,0,16,0,0.18218801676042404,0.066397567834125856,0.2590150311681213,16,0,0,0.18218801676042404,ok
D235_F01_V01,235,1,xp,448,0.18218801676042404,-0.013628819751707461,16,0,0.16855919700871658,0.084971526204840664,0.26843007221468546,16,0,0,0.16855919700871658,ok
D235_F01_V01,235,1,xm,448,0.18218801676042404,-0.0063099514148828029,16,0,0.17587806534554123,0.04480946553189899,0.24466532926628021,16,0,0,0.17587806534554123,ok
D235_F01_V01,235,1,zp,448,0.18218801676042404,0.0028199243148816777,16,0,0.18500794107530572,0.065255302591449349,0.23729594524327141,16,0,0,0.18500794107530572,ok
D235_F01_V01,235,1,zm,448,0.18218801676042404,-0.0030209838847325421,16,0,0.1791670328756915,0.081317865455249549,0.2319117469538077,16,0,0,0.1791670328756915,ok
D235_F03_V01,235,3,baseline,448,0.12170066149577605,0,16,0,0.12170066149577605,0.0569390387061086,0.19222896625795635,16,0,0,0.12170066149577605,ok
D235_F03_V01,235,3,xp,448,0.12170066149577605,0.008629906342371152,16,0,0.1303305678381472,0.039470145318359809,0.18184077300676918,16,0,0,0.1303305678381472,ok
