scan_id,diameter_um,flow_mm_s,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F03_V01,128,3,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.18271097419926327,468,ok
D128_F03_V01,128,3,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.097698591315502556,468,ok
D128_F03_V01,128,3,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.11325529736906045,468,ok
D128_F03_V01,128,3,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.17135523216618789,468,ok
D128_F03_V01,128,3,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.1148404728615911,468,ok
D128_F03_V01,128,3,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.023026889320377022,468,ok
D128_F03_V01,128,3,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.024444710916835116,468,ok
D128_F03_V01,128,3,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.18476778891080217,468,ok
D128_F03_V01,128,3,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.08686840081701977,468,ok
D128_F03_V01,128,3,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.084304133598829961,468,ok
D128_F03_V01,128,3,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.01944077664827858,468,ok
D128_F03_V01,128,3,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.22841098741067506,468,ok
D128_F03_V01,128,3,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.24731897143307216,468,ok
D128_F03_V01,128,3,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.19288373887326657,468,ok
D128_F03_V01,128,3,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.19477186899641177,468,ok
D128_F03_V01,128,3,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.22069426047364024,468,ok
D128_F03_V01,128,3,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.19781592589612221,468,ok
D128_F03_V01,128,3,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.14774521839788601,468,ok
D128_F03_V01,128,3,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14353698634579826,468,ok
D128_F03_V01,128,3,detrended_101,real_all,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.1828244705337374,468,ok
D128_F03_V01,128,3,detrended_101,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.11193849920655491,468,ok
D128_F03_V01,128,3,detrended_101,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.074111961503701113,468,ok
D128_F03_V01,128,3,detrended_101,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.028663964293632386,468,ok
D128_F03_V01,128,3,detrended_101,real_all,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.24076166484632849,468,ok
D128_F03_V01,128,3,detrended_101,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.16624504859490721,468,ok
D128_F03_V01,128,3,detrended_101,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.16393420264488451,468,ok
D128_F03_V01,128,3,detrended_101,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.063651098497464559,468,ok
D128_F05_V01,128,5,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.3230285442056649,491,ok
D128_F05_V01,128,5,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.2117143772662321,491,ok
D128_F05_V01,128,5,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.15863514275169779,491,ok
D128_F05_V01,128,5,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.19910903196351754,491,ok
D128_F05_V01,128,5,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.27131640348724312,491,ok
D128_F05_V01,128,5,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.10366002157974044,491,ok
D128_F05_V01,128,5,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.10417860309334334,491,ok
D128_F05_V01,128,5,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14800447538721248,491,ok
D128_F05_V01,128,5,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.15254284884843197,491,ok
D128_F05_V01,128,5,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.077319256194156749,491,ok
D128_F05_V01,128,5,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.094993347736471223,491,ok
D128_F05_V01,128,5,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.033730025019401214,491,ok
D128_F05_V01,128,5,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.2206747456701004,491,ok
D128_F05_V01,128,5,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.1067290286037629,491,ok
D128_F05_V01,128,5,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.10660602370250202,491,ok
D128_F05_V01,128,5,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.048128635003209741,491,ok
D128_F05_V01,128,5,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.32194297015775569,491,ok
D128_F05_V01,128,5,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.23346065424074158,491,ok
D128_F05_V01,128,5,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.22426480856371736,491,ok
D128_F05_V01,128,5,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.20022895961501128,491,ok
D128_F05_V01,128,5,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.26311720124952104,491,ok
D128_F05_V01,128,5,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.085864747195698296,491,ok
D128_F05_V01,128,5,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.13190878457794122,491,ok
D128_F05_V01,128,5,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.13078955001705123,491,ok
