scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,1,0,25,12.5,tail_mean,486,14,101052600.01667538,32581628.595307559,258368815.89215544,486,0,0
D128_F01_V01,128,1,1,0,25,12.5,RI,486,14,0.53978573468205782,0.2211568859670649,1.5186065311449102,486,0,0
D128_F01_V01,128,1,2,25,50,37.5,tail_mean,486,14,84257267.161502212,31297526.908217959,188826418.0450246,486,0,0
D128_F01_V01,128,1,2,25,50,37.5,RI,486,14,0.46815841647567691,0.22859368895428644,1.2042888488863064,486,0,0
D128_F01_V01,128,1,3,50,75,62.5,tail_mean,486,14,73214927.882659376,34179235.035026602,251515385.0030596,486,0,0
D128_F01_V01,128,1,3,50,75,62.5,RI,486,14,0.39721655056807359,0.12419399013095631,1.8770718379269591,486,0,0
D128_F01_V01,128,1,4,75,100,87.5,tail_mean,486,14,62068398.539010644,27230419.740521047,159475661.6066567,486,0,0
D128_F01_V01,128,1,4,75,100,87.5,RI,486,14,0.33862765904609193,0.13229249411436281,0.82016148851439064,486,0,0
D128_F01_V01,128,1,5,100,125,112.5,tail_mean,486,14,53300126.549722508,23742809.841829285,98027918.178056121,486,0,0
D128_F01_V01,128,1,5,100,125,112.5,RI,486,14,0.28891609486315861,0.11202531141444862,0.62194681302730959,486,0,0
D128_F01_V01,128,1,6,125,150,137.5,tail_mean,486,14,47872404.144579321,25454123.116394036,109992275.13781086,486,0,0
D128_F01_V01,128,1,6,125,150,137.5,RI,486,14,0.2629677757830729,0.08701563620946165,0.88893924276244163,486,0,0
D128_F01_V01,128,1,7,150,175,162.5,tail_mean,486,14,43353203.334883764,24915178.367014769,113393221.4935175,486,0,0
D128_F01_V01,128,1,7,150,175,162.5,RI,486,14,0.23437774079955298,0.089550113128758269,0.71425782207842092,486,0,0
D128_F01_V01,128,1,8,175,200,187.5,tail_mean,486,14,38778198.279459715,18128235.327758495,71578947.471324906,486,0,0
D128_F01_V01,128,1,8,175,200,187.5,RI,486,14,0.21116899893927832,0.053146625471078707,0.49832970368654922,486,0,0
D128_F01_V01,128,1,9,200,225,212.5,tail_mean,486,14,36155222.656226516,19737359.541508634,59439746.934826501,486,0,0
D128_F01_V01,128,1,9,200,225,212.5,RI,486,14,0.19669640761525559,0.074053562713130669,0.53692607540244319,486,0,0
D128_F01_V01,128,1,10,225,250,237.5,tail_mean,486,14,33758113.014672726,18688895.461404629,58788467.799884088,486,0,0
D128_F01_V01,128,1,10,225,250,237.5,RI,486,14,0.18649626664099606,0.059917327511185968,0.40223304094762102,486,0,0
D128_F01_V01,128,1,11,250,275,262.5,tail_mean,486,14,32048715.555273425,17259260.256708227,59328784.654609591,486,0,0
D128_F01_V01,128,1,11,250,275,262.5,RI,486,14,0.17308978227336536,0.070323033802573806,0.43286644845457894,486,0,0
D128_F01_V01,128,1,12,275,300,287.5,tail_mean,486,14,29648371.328849554,15457300.503907701,46625925.221019462,486,0,0
D128_F01_V01,128,1,12,275,300,287.5,RI,486,14,0.16329770667247373,0.066818323853733444,0.36075876005838792,486,0,0
D128_F01_V01,128,1,13,300,325,312.5,tail_mean,486,14,28065498.802213319,16312530.565175889,43995182.309716426,486,0,0
D128_F01_V01,128,1,13,300,325,312.5,RI,486,14,0.1526348648813457,0.058912566765971411,0.35198295379655054,486,0,0
D128_F01_V01,128,1,14,325,350,337.5,tail_mean,486,14,27081102.755857982,15591016.617424859,44232742.512030266,486,0,0
D128_F01_V01,128,1,14,325,350,337.5,RI,486,14,0.14706474213650444,0.063115245546188026,0.322350436623217,486,0,0
D128_F01_V01,128,1,15,350,375,362.5,tail_mean,486,14,26349964.37254981,14185381.813496662,41315660.241788879,486,0,0
D128_F01_V01,128,1,15,350,375,362.5,RI,486,14,0.14466168864012269,0.053913187345369561,0.33727248791525932,486,0,0
D128_F01_V01,128,1,16,375,400,387.5,tail_mean,486,14,26230717.497278176,13853127.279512048,40524116.569953933,486,0,0
D128_F01_V01,128,1,16,375,400,387.5,RI,486,14,0.13894311017821642,0.063412083449477144,0.3466096227625543,486,0,0
