scan_id,diameter_um,flow_mm_s,mode,support,pair,mean_mean_rho,actual_q_q_rho,actual_q_minus_mean,theoretical_q_q_rho,theoretical_scale_error,n_pairs,status
D128_F01_V01,128,1,raw,real_all,W100,0.37058117129103674,0.37052681151977634,-5.4359771260392709e-05,0.37058117129103674,0,486,ok
D128_F01_V01,128,1,raw,real_all,W500,0.42115248464663141,0.42115938415606063,6.8995094292256809e-06,0.42115248464663141,0,486,ok
D128_F01_V01,128,1,raw,real_all,C100,0.3773556532463368,0.37729282589532243,-6.2827351014371757e-05,0.3773556532463368,0,486,ok
D128_F01_V01,128,1,detrended_51,real_all,W100,0.37412003944839023,0.3741381245663114,1.8085117921173843e-05,0.37412003944839023,0,486,ok
D128_F01_V01,128,1,detrended_51,real_all,W500,0.44109803093463545,0.44110900742834347,1.097649370801479e-05,0.44109803093463545,0,486,ok
D128_F01_V01,128,1,detrended_51,real_all,C100,0.34577739330885066,0.34578007834184327,2.685032992610914e-06,0.34577739330885066,0,486,ok
D128_F03_V01,128,3,raw,real_all,W100,0.32654736998116463,0.32657897888490112,3.1608903736490834e-05,0.32654736998116463,0,468,ok
D128_F03_V01,128,3,raw,real_all,W500,0.32805406105927054,0.3280309982665443,-2.3062792726236125e-05,0.32805406105927054,0,468,ok
D128_F03_V01,128,3,raw,real_all,C100,0.32945796466522598,0.32953136756390294,7.3402898676966366e-05,0.32945796466522598,0,468,ok
D128_F03_V01,128,3,detrended_51,real_all,W100,0.34702342857560198,0.34697730293750018,-4.6125638101801592e-05,0.34702342857560198,0,468,ok
D128_F03_V01,128,3,detrended_51,real_all,W500,0.35028304675591732,0.35029036365062721,7.3168947098967152e-06,0.35028304675591732,0,468,ok
D128_F03_V01,128,3,detrended_51,real_all,C100,0.32550798538842424,0.32547754707881454,-3.0438309609692737e-05,0.32550798538842424,0,468,ok
D128_F05_V01,128,5,raw,real_all,W100,0.35429133056033996,0.35411594869928498,-0.00017538186105497955,0.35429133056033996,0,491,ok
D128_F05_V01,128,5,raw,real_all,W500,0.43083902479575109,0.43065989199315907,-0.00017913280259201914,0.43083902479575109,0,491,ok
D128_F05_V01,128,5,raw,real_all,C100,0.35828060895015201,0.35826215837286185,-1.8450577290163306e-05,0.35828060895015201,0,491,ok
D128_F05_V01,128,5,detrended_51,real_all,W100,0.39968497813807558,0.39971873699778054,3.3758859704968724e-05,0.39968497813807558,0,491,ok
