diameter_um,mode,pair,source_table,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10,region,side,offset
128,detrended_51,C100,whole_coupling.csv,rho0,5,0,0.34115335738867858,0.32550798538842424,0.36283115078167394,5,0,0,0.34577739330885066,0.32550798538842424,0.36283115078167394,0.33710371179678894,0.34115335738867858,,,
128,detrended_51,C100,whole_coupling.csv,specificity,5,0,0.3447143925227199,0.29371324641070962,0.36510810054084386,5,0,0,0.3447143925227199,0.29371324641070962,0.35053214202822397,0.32424658146510449,0.36510810054084386,,,
128,detrended_51,C100,whole_coupling.csv,matched_specificity,5,0,0.3313763564445264,0.2820699931632622,0.36171419676692673,5,0,0,0.35317302778374371,0.2820699931632622,0.3313763564445264,0.32244448954296634,0.36171419676692673,,,
128,detrended_51,C100,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,detrended_51,C100,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
128,detrended_51,W100,whole_coupling.csv,rho0,5,0,0.37031581189108004,0.32092406318079902,0.39968497813807558,5,0,0,0.37412003944839023,0.34702342857560198,0.39968497813807558,0.37031581189108004,0.32092406318079902,,,
128,detrended_51,W100,whole_coupling.csv,specificity,5,0,0.36566146340965749,0.31567828031339346,0.40350737704235934,5,0,0,0.38169388199780657,0.31567828031339346,0.40350737704235934,0.36566146340965749,0.3365668316651132,,,
128,detrended_51,W100,whole_coupling.csv,matched_specificity,5,0,0.36755305102208358,0.31402828841254871,0.38567559340662327,5,0,0,0.38074514036414053,0.31402828841254871,0.38567559340662327,0.36755305102208358,0.32237642833351121,,,
128,detrended_51,W100,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,detrended_51,W100,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
128,detrended_51,W500,whole_coupling.csv,rho0,5,0,0.43367138160144919,0.34910448362642715,0.44109803093463545,5,0,0,0.44109803093463545,0.35028304675591732,0.43616941495554823,0.43367138160144919,0.34910448362642715,,,
128,detrended_51,W500,whole_coupling.csv,specificity,5,0,0.43907919496903425,0.34030929900670481,0.44641038040161679,5,0,0,0.44472397026650834,0.34030929900670481,0.44641038040161679,0.43907919496903425,0.37963812001815261,,,
128,detrended_51,W500,whole_coupling.csv,matched_specificity,5,0,0.42581229441023821,0.33294708118702693,0.45363736315469716,5,0,0,0.44788441777138327,0.33294708118702693,0.42581229441023821,0.45363736315469716,0.37009814909344063,,,
128,detrended_51,W500,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,detrended_51,W500,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
128,raw,C100,whole_coupling.csv,rho0,5,0,0.34497625759595524,0.30621672707927777,0.3773556532463368,5,0,0,0.3773556532463368,0.32945796466522598,0.35828060895015201,0.30621672707927777,0.34497625759595524,,,
128,raw,C100,whole_coupling.csv,specificity,5,0,0.37361727816076651,0.26972623446439054,0.37609283854536157,5,0,0,0.37457070795280795,0.31629356783739376,0.37361727816076651,0.26972623446439054,0.37609283854536157,,,
128,raw,C100,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,raw,C100,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
128,raw,W100,whole_coupling.csv,rho0,5,0,0.33229166061605842,0.32654736998116463,0.37058117129103674,5,0,0,0.37058117129103674,0.32654736998116463,0.35429133056033996,0.33229166061605842,0.3301647865194583,,,
128,raw,W100,whole_coupling.csv,specificity,5,0,0.35173129926093771,0.30594321768216881,0.37462827451174907,5,0,0,0.37462827451174907,0.30594321768216881,0.36737408186020043,0.30703403640730614,0.35173129926093771,,,
128,raw,W100,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,raw,W100,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
128,raw,W500,whole_coupling.csv,rho0,5,0,0.40341716989366888,0.32805406105927054,0.43083902479575109,5,0,0,0.42115248464663141,0.32805406105927054,0.43083902479575109,0.40341716989366888,0.37827319984526292,,,
128,raw,W500,whole_coupling.csv,specificity,5,0,0.39716832281664793,0.30303160619982106,0.45582265805164002,5,0,0,0.45582265805164002,0.30303160619982106,0.44391488170162685,0.37229194000705851,0.39716832281664793,,,
128,raw,W500,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
128,raw,W500,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
235,detrended_51,C100,whole_coupling.csv,rho0,5,0,0.32423145818034615,0.3042269175368118,0.48562640145051222,5,0,0,0.39241701973925625,0.3042269175368118,0.31275536463882364,0.32423145818034615,0.48562640145051222,,,
235,detrended_51,C100,whole_coupling.csv,specificity,5,0,0.32794685789859829,0.27708259031587934,0.39210583513723413,5,0,0,0.39210583513723413,0.32794685789859829,0.27708259031587934,0.3137402244691409,0.37021180826864974,,,
235,detrended_51,C100,whole_coupling.csv,matched_specificity,5,0,0.31677639108693534,0.27181717709286823,0.37970818011447838,5,0,0,0.37970818011447838,0.31677639108693534,0.27181717709286823,0.30196922982756164,0.3751116421648657,,,
235,detrended_51,C100,whole_coupling.csv,peak_lag,5,0,0,-2,0,0,1,4,-2,0,0,0,0,,,
235,detrended_51,C100,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,2,1,1,1,1,,,
235,detrended_51,W100,whole_coupling.csv,rho0,5,0,0.26885517043200452,0.24619252799692723,0.37388206639269184,5,0,0,0.24619252799692723,0.25799815011656796,0.28455510714342497,0.26885517043200452,0.37388206639269184,,,
235,detrended_51,W100,whole_coupling.csv,specificity,5,0,0.2492339919454539,0.2390157689347065,0.28401756583492671,5,0,0,0.24527921401177588,0.2390157689347065,0.28401756583492671,0.2492339919454539,0.2797797409825809,,,
235,detrended_51,W100,whole_coupling.csv,matched_specificity,5,0,0.24890030115524708,0.23415996507398296,0.28827030532347259,5,0,0,0.24890030115524708,0.23524898961086954,0.26927437178748093,0.23415996507398296,0.28827030532347259,,,
235,detrended_51,W100,whole_coupling.csv,peak_lag,5,0,0,-2,0,0,2,3,-2,0,-1,0,0,,,
235,detrended_51,W100,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,2,1,2,1,1,,,
235,detrended_51,W500,whole_coupling.csv,rho0,5,0,0.33998536204905688,0.32119183053452915,0.40743290116263842,5,0,0,0.33998536204905688,0.32820670645012101,0.37201275780486248,0.32119183053452915,0.40743290116263842,,,
235,detrended_51,W500,whole_coupling.csv,specificity,5,0,0.31419976074783146,0.29395113932210964,0.35569446092355328,5,0,0,0.35083251842211205,0.31419976074783146,0.35569446092355328,0.29907305063197642,0.29395113932210964,,,
235,detrended_51,W500,whole_coupling.csv,matched_specificity,5,0,0.31133344926753953,0.3039420149731169,0.36859738889378446,5,0,0,0.36859738889378446,0.31133344926753953,0.34603521102442047,0.30408399619007509,0.3039420149731169,,,
235,detrended_51,W500,whole_coupling.csv,peak_lag,5,0,0,-1,0,0,2,3,0,-1,0,-1,0,,,
235,detrended_51,W500,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,1,2,1,2,1,,,
235,raw,C100,whole_coupling.csv,rho0,5,0,0.39167301321155279,0.37539116968142694,0.51008406344556023,5,0,0,0.51008406344556023,0.37539116968142694,0.38570587448146659,0.39167301321155279,0.50765098336540382,,,
235,raw,C100,whole_coupling.csv,specificity,5,0,0.51684442281616294,0.41399302632201929,0.60631531382252757,5,0,0,0.60631531382252757,0.50568574094025953,0.41399302632201929,0.51684442281616294,0.58221461365376692,,,
235,raw,C100,whole_coupling.csv,peak_lag,5,0,0,-2,0,0,2,3,-2,0,0,-1,0,,,
235,raw,C100,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,2,1,1,2,1,,,
235,raw,W100,whole_coupling.csv,rho0,5,0,0.29377208932549337,0.21562578073784933,0.32472787045077905,5,0,0,0.23027615965595219,0.21562578073784933,0.29377208932549337,0.29683006363453773,0.32472787045077905,,,
235,raw,W100,whole_coupling.csv,specificity,5,0,0.36563241554662118,0.33452640700400782,0.40037786799140207,5,0,0,0.36563241554662118,0.36971852671818811,0.33452640700400782,0.40037786799140207,0.36295432499871905,,,
235,raw,W100,whole_coupling.csv,peak_lag,5,0,-1,-2,0,0,4,1,-2,-1,-1,-1,0,,,
235,raw,W100,whole_coupling.csv,zero_lag_rank,5,0,2,1,3,5,0,0,2,2,2,3,1,,,
235,raw,W500,whole_coupling.csv,rho0,5,0,0.35584751566185607,0.31178158771916714,0.38730009027094758,5,0,0,0.32697020864518361,0.31178158771916714,0.3740112247227273,0.35584751566185607,0.38730009027094758,,,
235,raw,W500,whole_coupling.csv,specificity,5,0,0.40624225505632672,0.37516900876021142,0.44699288418115357,5,0,0,0.44699288418115357,0.42481991818412129,0.37516900876021142,0.40624225505632672,0.395582347987671,,,
235,raw,W500,whole_coupling.csv,peak_lag,5,0,0,-1,0,0,2,3,0,-1,0,-1,0,,,
235,raw,W500,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,1,2,1,2,1,,,
285,detrended_51,C100,whole_coupling.csv,rho0,5,0,0.33601827724343497,0.22183742335902024,0.42078610553026968,5,0,0,0.42012934861809098,0.22183742335902024,0.33601827724343497,0.29513468010165073,0.42078610553026968,,,
285,detrended_51,C100,whole_coupling.csv,specificity,5,0,0.29600837140663422,0.25680441108082241,0.41767623047758923,5,0,0,0.29600837140663422,0.25680441108082241,0.29680260471709202,0.28379512432967924,0.41767623047758923,,,
285,detrended_51,C100,whole_coupling.csv,matched_specificity,5,0,0.30150055183743685,0.26501051108443074,0.40091248364127441,5,0,0,0.28156746766196694,0.26501051108443074,0.30150055183743685,0.30861012457787107,0.40091248364127441,,,
285,detrended_51,C100,whole_coupling.csv,peak_lag,5,0,0,0,1,1,0,4,0,0,0,1,0,,,
285,detrended_51,C100,whole_coupling.csv,zero_lag_rank,5,0,1,1,2,5,0,0,1,1,1,2,1,,,
285,detrended_51,W100,whole_coupling.csv,rho0,5,0,0.22928497994187977,0.2003444456447302,0.31717149804628997,5,0,0,0.31717149804628997,0.2003444456447302,0.22799809119776163,0.22928497994187977,0.25952167765251671,,,
285,detrended_51,W100,whole_coupling.csv,specificity,5,0,0.2170531979718619,0.21179563708235144,0.24433929508210955,5,0,0,0.2170531979718619,0.22802607818729764,0.21179563708235144,0.21335519142293413,0.24433929508210955,,,
285,detrended_51,W100,whole_coupling.csv,matched_specificity,5,0,0.2223759935918328,0.2148474660163584,0.25182805718183754,5,0,0,0.24241006249640654,0.21712972790017798,0.2148474660163584,0.2223759935918328,0.25182805718183754,,,
285,detrended_51,W100,whole_coupling.csv,peak_lag,5,0,0,0,1,2,0,3,1,1,0,0,0,,,
285,detrended_51,W100,whole_coupling.csv,zero_lag_rank,5,0,1,1,4,5,0,0,2,4,1,1,1,,,
285,detrended_51,W500,whole_coupling.csv,rho0,5,0,0.28733370987447399,0.24010875983557273,0.3585297848730235,5,0,0,0.3585297848730235,0.27000212184519917,0.28733370987447399,0.24010875983557273,0.31982355557276509,,,
285,detrended_51,W500,whole_coupling.csv,specificity,5,0,0.27978107789421169,0.21728391618158993,0.30749357110608105,5,0,0,0.27847579184679661,0.29011293400246974,0.27978107789421169,0.21728391618158993,0.30749357110608105,,,
285,detrended_51,W500,whole_coupling.csv,matched_specificity,5,0,0.29581847507251557,0.2215531344712543,0.32043506539662792,5,0,0,0.30324282886094456,0.27451013243469441,0.29581847507251557,0.2215531344712543,0.32043506539662792,,,
285,detrended_51,W500,whole_coupling.csv,peak_lag,5,0,0,0,0,0,0,5,0,0,0,0,0,,,
285,detrended_51,W500,whole_coupling.csv,zero_lag_rank,5,0,1,1,1,5,0,0,1,1,1,1,1,,,
