scan_id,diameter_um,flow_mm_s,module,region,metric,reason,n_positions
D128_F01_V01,128,1,local_background,t13,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t13,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t13,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t14,z_local,ok,486
D128_F01_V01,128,1,local_background,t14,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t14,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t14,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t15,z_local,ok,486
D128_F01_V01,128,1,local_background,t15,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t15,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t15,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t16,z_local,ok,486
D128_F01_V01,128,1,local_background,t16,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t16,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t16,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t17,z_local,ok,486
D128_F01_V01,128,1,local_background,t17,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t17,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t17,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t18,z_local,ok,486
D128_F01_V01,128,1,local_background,t18,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t18,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t18,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t19,z_local,ok,486
D128_F01_V01,128,1,local_background,t19,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t19,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t19,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t20,z_local,ok,486
D128_F01_V01,128,1,local_background,t20,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,t20,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,t20,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,tail100,z_local,ok,486
D128_F01_V01,128,1,local_background,tail100,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,tail100,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,tail100,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,tail500,z_local,ok,486
D128_F01_V01,128,1,local_background,tail500,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,tail500,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,tail500,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,position_integral,xp,validity,ok,486
D128_F01_V01,128,1,position_integral,xp,validity,invalid_geometry,14
D128_F01_V01,128,1,position_integral,xm,validity,ok,486
D128_F01_V01,128,1,position_integral,xm,validity,invalid_geometry,14
D128_F01_V01,128,1,position_integral,zp,validity,ok,486
D128_F01_V01,128,1,position_integral,zp,validity,invalid_geometry,14
D128_F01_V01,128,1,position_integral,zm,validity,ok,486
D128_F01_V01,128,1,position_integral,zm,validity,invalid_geometry,14
