scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,13,300,325,312.5,False,-0.02094256819466633,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,14,325,350,337.5,False,0.026495860831953946,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,15,350,375,362.5,False,0.021201727411902169,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,16,375,400,387.5,False,0.077200002843585538,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,17,400,425,412.5,False,0.078300509106698668,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,18,425,450,437.5,False,0.11855814045291126,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,19,450,475,462.5,False,-0.0043913910441435097,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,20,475,500,487.5,False,-0.028785679166453644,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.27337315789822791,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.33769526793961674,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.16278840938247024,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18169662773056866,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,5,100,125,112.5,False,0.23288058739975773,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,6,125,150,137.5,False,0.16801060016647698,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,7,150,175,162.5,False,0.1586697040622094,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,8,175,200,187.5,False,0.10773743611760253,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,9,200,225,212.5,False,0.14677646683765264,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,10,225,250,237.5,False,0.11861277323175574,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,11,250,275,262.5,False,0.17254855533568295,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,12,275,300,287.5,False,0.13120483300561084,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,13,300,325,312.5,False,-0.0046239809431252556,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,14,325,350,337.5,False,0.14414789009383605,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,15,350,375,362.5,False,0.11697079857984949,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,16,375,400,387.5,False,0.098512318247442957,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,17,400,425,412.5,False,0.056899081815949153,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,18,425,450,437.5,False,0.079179075009975508,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,19,450,475,462.5,False,0.035860693172197276,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,20,475,500,487.5,False,-0.062672881635222263,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.17727853283371919,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1648157830057746,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.15207205191785805,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14355009279723951,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,5,100,125,112.5,False,0.14550161139059495,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,6,125,150,137.5,False,0.080856512603977596,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,7,150,175,162.5,False,0.065132303339705988,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,8,175,200,187.5,False,0.096873947673781671,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,9,200,225,212.5,False,0.065999092867805281,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,10,225,250,237.5,False,0.088643386703575619,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,11,250,275,262.5,False,0.094695616937760824,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,12,275,300,287.5,False,0.069720879233760732,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,13,300,325,312.5,False,-0.010360198926652941,486,ok
