scan_id,diameter_um,flow_mm_s,source_bin,tail_bin,in_C16,real_matched_rho,left_rho,right_rho,control_rho,excess_cell,real_minus_L,real_minus_R,n_common,status
D128_F01_V01,128,1,1,3,False,-0.032380115329101483,0.020007294149043519,-0.0056963484222519525,0.0071554728633957832,-0.039535588192497265,-0.052387409478145006,-0.026683766906849531,486,ok
D128_F01_V01,128,1,1,9,False,0.0098693113482565473,0.035434030745599199,0.0075621513481138837,0.02149809104685654,-0.011628779698599993,-0.025564719397342651,0.0023071600001426636,486,ok
D128_F01_V01,128,1,1,10,False,-0.034798866649712781,-0.013667019840503314,0.034155289959276192,0.010244135059386438,-0.045043001709099223,-0.021131846809209466,-0.068954156608988973,486,ok
D128_F01_V01,128,1,1,11,False,-0.032032740280115005,0.014835873096836026,0.035967151284564548,0.025401512190700287,-0.057434252470815295,-0.046868613376951029,-0.06799989156467956,486,ok
D128_F01_V01,128,1,1,13,False,0.011411426888067266,0.0016712001404993581,0.028582001884402346,0.015126601012450853,-0.0037151741243835867,0.009740226747567908,-0.017170574996335078,486,ok
D128_F01_V01,128,1,1,16,False,0.0010662361091764308,0.10684642702249843,0.017674733070924466,0.06226058004671145,-0.06119434393753502,-0.105780190913322,-0.016608496961748036,486,ok
D128_F01_V01,128,1,1,17,False,-0.00040989369003110879,0.0074351206703725066,0.12382534146205228,0.065630231066212394,-0.066040124756243504,-0.0078450143604036158,-0.12423523515208339,486,ok
D128_F01_V01,128,1,1,18,False,-0.041719097944289116,0.035812582397316543,0.0098643053649245197,0.022838443881120531,-0.064557541825409653,-0.077531680341605652,-0.051583403309213634,486,ok
D128_F01_V01,128,1,1,19,False,-0.051238911909331844,0.018017954918344081,-0.0040322068490860705,0.006992874034629005,-0.058231785943960848,-0.069256866827675928,-0.047206705060245775,486,ok
D128_F01_V01,128,1,2,13,False,-0.02094256819466633,0.090654800842790456,0.075881854616940733,0.083268327729865588,-0.10421089592453192,-0.11159736903745679,-0.096824422811607067,486,ok
D128_F01_V01,128,1,2,19,False,-0.0043913910441435097,-0.031493358569782227,0.096852930256079245,0.032679785843148512,-0.037071176887292022,0.027101967525638718,-0.10124432130022276,486,ok
D128_F01_V01,128,1,2,20,False,-0.028785679166453644,0.022391063625176566,-0.01795199014002587,0.0022195367425753478,-0.031005215909028994,-0.05117674279163021,-0.010833689026427774,486,ok
D128_F01_V01,128,1,3,13,False,-0.0046239809431252556,0.052451609606905224,-0.058591868210821935,-0.0030701293019583555,-0.0015538516411669001,-0.057075590550030482,0.053967887267696676,486,ok
D128_F01_V01,128,1,3,20,False,-0.062672881635222263,0.014280802858388333,0.053293239308168171,0.033787021083278253,-0.096459902718500523,-0.076953684493610591,-0.11596612094339043,486,ok
D128_F01_V01,128,1,4,13,False,-0.010360198926652941,0.013094211970482522,0.0050881406884953542,0.009091176329488939,-0.019451375256141878,-0.023454410897135465,-0.015448339615148295,486,ok
D128_F01_V01,128,1,4,20,False,0.001823878200437388,0.022543537673325748,0.077862306901184494,0.05020292228725512,-0.04837904408681773,-0.020719659472888362,-0.076038428700747104,486,ok
D128_F01_V01,128,1,5,13,False,0.024936423689489725,0.12954121106385869,0.0057976476245805751,0.067669429344219628,-0.0427330056547299,-0.10460478737436896,0.019138776064909151,486,ok
D128_F01_V01,128,1,5,14,False,0.02267861366403091,-0.0039742836900520488,0.089059844673698652,0.0425427804918233,-0.019864166827792389,0.026652897354082959,-0.066381231009667738,486,ok
