scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status,baseline_common_rho,rho_change
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.27337315789822791,486,ok,0.27337315789822791,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.33769526793961674,486,ok,0.33769526793961674,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.16278840938247024,486,ok,0.16278840938247024,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18169662773056866,486,ok,0.18169662773056866,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.17727853283371919,486,ok,0.17727853283371919,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1648157830057746,486,ok,0.1648157830057746,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.15207205191785805,486,ok,0.15207205191785805,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14355009279723951,486,ok,0.14355009279723951,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.18536493346415131,486,ok,0.18536493346415131,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.20091387711739825,486,ok,0.20091387711739825,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.11851549658338802,486,ok,0.11851549658338802,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.11863211498219586,486,ok,0.11863211498219586,0
