scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,mode,rho,n_pairs,status,support
D128_F03_V01,128,3,12,275,300,287.5,raw,0.094142202838549793,468,ok,real_L_R_common
D128_F03_V01,128,3,12,275,300,287.5,detrended_51,0.038912409250905694,468,ok,real_L_R_common
D128_F03_V01,128,3,13,300,325,312.5,raw,0.017164454219010132,468,ok,real_L_R_common
D128_F03_V01,128,3,13,300,325,312.5,detrended_51,-0.019959933559850089,468,ok,real_L_R_common
D128_F03_V01,128,3,14,325,350,337.5,raw,0.044785016724036827,468,ok,real_L_R_common
D128_F03_V01,128,3,14,325,350,337.5,detrended_51,-0.0080635115828228254,468,ok,real_L_R_common
D128_F03_V01,128,3,15,350,375,362.5,raw,0.048321467702080699,468,ok,real_L_R_common
D128_F03_V01,128,3,15,350,375,362.5,detrended_51,0.0057135006740751263,468,ok,real_L_R_common
D128_F03_V01,128,3,16,375,400,387.5,raw,0.15383456391478381,468,ok,real_L_R_common
D128_F03_V01,128,3,16,375,400,387.5,detrended_51,0.083367376822091929,468,ok,real_L_R_common
D128_F03_V01,128,3,17,400,425,412.5,raw,0.050559495156637921,468,ok,real_L_R_common
D128_F03_V01,128,3,17,400,425,412.5,detrended_51,-0.010970506666194068,468,ok,real_L_R_common
D128_F03_V01,128,3,18,425,450,437.5,raw,0.021681132422926665,468,ok,real_L_R_common
D128_F03_V01,128,3,18,425,450,437.5,detrended_51,-0.047439183710241646,468,ok,real_L_R_common
D128_F03_V01,128,3,19,450,475,462.5,raw,0.073701778422287229,468,ok,real_L_R_common
D128_F03_V01,128,3,19,450,475,462.5,detrended_51,-0.0044910433323599244,468,ok,real_L_R_common
D128_F03_V01,128,3,20,475,500,487.5,raw,0.078817269746989452,468,ok,real_L_R_common
D128_F03_V01,128,3,20,475,500,487.5,detrended_51,0.0091746429999868609,468,ok,real_L_R_common
D128_F05_V01,128,5,1,0,25,12.5,raw,-0.065407600624075565,491,ok,real_L_R_common
D128_F05_V01,128,5,1,0,25,12.5,detrended_51,-0.10014954168837352,491,ok,real_L_R_common
D128_F05_V01,128,5,2,25,50,37.5,raw,0.030492417522371324,491,ok,real_L_R_common
D128_F05_V01,128,5,2,25,50,37.5,detrended_51,0.037073985412709461,491,ok,real_L_R_common
D128_F05_V01,128,5,3,50,75,62.5,raw,-0.03417928892286138,491,ok,real_L_R_common
D128_F05_V01,128,5,3,50,75,62.5,detrended_51,-0.023445632361387338,491,ok,real_L_R_common
D128_F05_V01,128,5,4,75,100,87.5,raw,0.0024107402635188493,491,ok,real_L_R_common
D128_F05_V01,128,5,4,75,100,87.5,detrended_51,0.018288697977930993,491,ok,real_L_R_common
D128_F05_V01,128,5,5,100,125,112.5,raw,0.1122084023117965,491,ok,real_L_R_common
D128_F05_V01,128,5,5,100,125,112.5,detrended_51,0.041807331697578193,491,ok,real_L_R_common
D128_F05_V01,128,5,6,125,150,137.5,raw,0.031977182110239158,491,ok,real_L_R_common
D128_F05_V01,128,5,6,125,150,137.5,detrended_51,0.032538873130525531,491,ok,real_L_R_common
D128_F05_V01,128,5,7,150,175,162.5,raw,0.031850866619560249,491,ok,real_L_R_common
D128_F05_V01,128,5,7,150,175,162.5,detrended_51,-0.004517647655167845,491,ok,real_L_R_common
D128_F05_V01,128,5,8,175,200,187.5,raw,0.044350727226462591,491,ok,real_L_R_common
D128_F05_V01,128,5,8,175,200,187.5,detrended_51,0.019278638866276093,491,ok,real_L_R_common
D128_F05_V01,128,5,9,200,225,212.5,raw,0.06663578053545198,491,ok,real_L_R_common
