diameter_um,mode,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01_rho,flow03_rho,flow05_rho,flow07_rho,flow10_rho
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,1,0,25,12.5,False,5,0,0.10317855125450268,0.060228840563975379,0.19359883138837292,5,0,0,0.060228840563975379,0.1373829377948963,0.10317855125450268,0.19359883138837292,0.087179806054598727
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,2,25,50,37.5,False,5,0,0.067185228090156035,-0.03046313790515914,0.1443384641690923,4,1,0,0.034581974552365835,0.1443384641690923,0.097308803868352431,0.067185228090156035,-0.03046313790515914
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,3,50,75,62.5,False,5,0,-0.030180881867649507,-0.058088953897564861,0.076363510034126669,2,3,0,-0.032380115329101483,0.076363510034126669,-0.058088953897564861,0.031009290659685412,-0.030180881867649507
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,4,75,100,87.5,False,5,0,-0.021704712865216538,-0.063279018605135712,0.16161903811687003,2,3,0,-0.021727199455566296,0.16161903811687003,-0.021704712865216538,0.081323346562655413,-0.063279018605135712
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,5,100,125,112.5,False,5,0,0.06333141865857278,-0.012486922059394225,0.10170089249095735,4,1,0,0.041393325660237935,-0.012486922059394225,0.06333141865857278,0.068670728611229304,0.10170089249095735
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,6,125,150,137.5,False,5,0,0.036696260460914266,-0.068800000846717599,0.081176891457095501,3,2,0,0.068306346821887173,0.081176891457095501,-0.017064453104371435,0.036696260460914266,-0.068800000846717599
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,7,150,175,162.5,False,5,0,0.036234012699795981,-0.022345052520758388,0.11469200376300605,4,1,0,0.036234012699795981,0.092223965145442441,0.11469200376300605,0.0051732325090663419,-0.022345052520758388
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,8,175,200,187.5,False,5,0,0.080104879878659274,0.032278898690775,0.10693234351223548,5,0,0,0.032797138575685149,0.080104879878659274,0.10693234351223548,0.032278898690775,0.096612662099695448
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,9,200,225,212.5,False,5,0,0.0098693113482565473,-0.041293744609632241,0.1136482391970605,3,2,0,0.0098693113482565473,0.044441526761058926,0.1136482391970605,-0.0090450894201660609,-0.041293744609632241
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,10,225,250,237.5,False,5,0,0.073419839653102781,-0.034798866649712781,0.12529286208636756,4,1,0,-0.034798866649712781,0.12529286208636756,0.11999778693077999,0.03327775307030565,0.073419839653102781
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,11,250,275,262.5,False,5,0,0.0087579344034966564,-0.032032740280115005,0.073734447507387904,3,2,0,-0.032032740280115005,0.0087579344034966564,0.0092265255653513987,0.073734447507387904,-0.023787768730760054
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,12,275,300,287.5,False,5,0,0.045351716332825989,-0.039289696449554302,0.057288484594151576,4,1,0,0.037353284076734085,-0.039289696449554302,0.045351716332825989,0.056006885039112636,0.057288484594151576
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,13,300,325,312.5,False,5,0,0.086878170374357772,-0.02449318927315456,0.1393644040074711,4,1,0,0.011411426888067266,0.1393644040074711,0.087988736801054027,0.086878170374357772,-0.02449318927315456
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,14,325,350,337.5,False,5,0,0.013894101405468505,-0.031270860480483546,0.019056982674900736,4,1,0,0.019056982674900736,0.014209420442828144,0.013894101405468505,0.0057544030570791591,-0.031270860480483546
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,15,350,375,362.5,False,5,0,0.039168777763473682,-0.025262399192870211,0.056918560180790077,4,1,0,0.02284215059968361,0.039168777763473682,0.056918560180790077,0.055373167669690346,-0.025262399192870211
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,16,375,400,387.5,False,5,0,0.020858917701805563,-0.014370255875529075,0.056579481928786701,4,1,0,0.0010662361091764308,0.056579481928786701,0.036090712300418402,0.020858917701805563,-0.014370255875529075
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,17,400,425,412.5,False,5,0,0.019392742182682599,-0.0019807867390702685,0.11947607573935271,3,2,0,-0.00040989369003110879,0.019392742182682599,0.08345986047463845,0.11947607573935271,-0.0019807867390702685
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,18,425,450,437.5,False,5,0,0.015494420003580747,-0.041719097944289116,0.061669039495066219,4,1,0,-0.041719097944289116,0.061669039495066219,0.015494420003580747,0.036912114321733226,0.0083275738893737392
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,19,450,475,462.5,False,5,0,-0.0467337513352728,-0.072194199443613188,0.021424093702028708,1,4,0,-0.051238911909331844,-0.0467337513352728,-0.037971524170098123,0.021424093702028708,-0.072194199443613188
128,detrended_51,1,0,0.16666666666666666,0.083333333333333329,20,475,500,487.5,False,5,0,0.02939699918349465,-0.060402120915692838,0.061928140241737317,3,2,0,0.043585637452054064,0.02939699918349465,-0.036361359060344677,0.061928140241737317,-0.060402120915692838
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,1,0,25,12.5,False,5,0,0.21582214324251925,0.17177455882909407,0.27921690400077021,5,0,0,0.20445419126391778,0.17177455882909407,0.25092083407049293,0.27921690400077021,0.21582214324251925
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,2,25,50,37.5,False,5,0,0.24312964495196257,0.14651254446869141,0.27104375969247962,5,0,0,0.27104375969247962,0.24312964495196257,0.26577347452726552,0.15348607891183061,0.14651254446869141
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,3,50,75,62.5,False,5,0,0.16486453704846019,0.086426660038309427,0.21833328099747143,5,0,0,0.086426660038309427,0.16843879131890047,0.21833328099747143,0.12473368026104281,0.16486453704846019
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,4,75,100,87.5,False,5,0,0.20337362906407136,0.12930478460286302,0.22330529161028589,5,0,0,0.17701492226843824,0.20620476842818622,0.20337362906407136,0.22330529161028589,0.12930478460286302
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,5,100,125,112.5,False,5,0,0.13662345772111842,0.11327387483546747,0.2004697570254744,5,0,0,0.1361476578481973,0.11327387483546747,0.19028309626838191,0.2004697570254744,0.13662345772111842
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,6,125,150,137.5,False,5,0,0.16485289659624394,0.063065569359073217,0.2291900514967769,5,0,0,0.096661396716576573,0.17667604610188972,0.2291900514967769,0.16485289659624394,0.063065569359073217
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,7,150,175,162.5,False,5,0,0.10085569450636171,0.057479118390638698,0.16609477925241922,5,0,0,0.10085569450636171,0.081791257583502891,0.16609477925241922,0.12931660496083108,0.057479118390638698
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,8,175,200,187.5,False,5,0,0.13612754573392169,0.041990510294173972,0.17177087605984634,5,0,0,0.12754976781203212,0.041990510294173972,0.17177087605984634,0.13612754573392169,0.14079141430578598
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,9,200,225,212.5,False,5,0,0.12915866881206456,0.0077057482870218977,0.13173426082860015,5,0,0,0.12915866881206456,0.086105240596882099,0.13173426082860015,0.13004808900256695,0.0077057482870218977
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,10,225,250,237.5,False,5,0,0.13633119159476526,0.057675030204014786,0.14671955124016117,5,0,0,0.079078894855160453,0.057675030204014786,0.14184285144780073,0.13633119159476526,0.14671955124016117
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,11,250,275,262.5,False,5,0,0.12991218805514962,0.018599610812589366,0.14536997265264556,5,0,0,0.13682063970343405,0.018599610812589366,0.14536997265264556,0.070993317367825978,0.12991218805514962
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,12,275,300,287.5,False,5,0,0.10205796770893254,0.092201525642412532,0.15453642549733199,5,0,0,0.12752483463636269,0.10173398311927018,0.15453642549733199,0.092201525642412532,0.10205796770893254
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,13,300,325,312.5,False,5,0,0.034845769672046945,-0.02094256819466633,0.14619342179926575,4,1,0,-0.02094256819466633,0.044853949560986463,0.034845769672046945,0.14619342179926575,0.030449855006269552
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,14,325,350,337.5,False,5,0,0.056131372532966323,0.012971480566813069,0.05874417060975308,5,0,0,0.026495860831953946,0.056131372532966323,0.058361621986990145,0.05874417060975308,0.012971480566813069
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,15,350,375,362.5,False,5,0,0.073443065047487363,0.021201727411902169,0.11274018241655125,5,0,0,0.021201727411902169,0.045663638014197844,0.079072200963447276,0.11274018241655125,0.073443065047487363
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,16,375,400,387.5,False,5,0,0.077200002843585538,-0.077801154201240036,0.12822914391710333,4,1,0,0.077200002843585538,0.11775883440049841,0.022390294574802582,0.12822914391710333,-0.077801154201240036
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,17,400,425,412.5,False,5,0,0.055500342602572562,-0.015359964166833497,0.084398451688039999,4,1,0,0.078300509106698668,-0.015359964166833497,0.084398451688039999,0.055376328956256209,0.055500342602572562
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,18,425,450,437.5,False,5,0,0.08934319517240745,0.038360952988361362,0.13101685497360183,5,0,0,0.11855814045291126,0.08934319517240745,0.038360952988361362,0.073275208514153603,0.13101685497360183
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,19,450,475,462.5,False,5,0,-0.0043913910441435097,-0.028089164333303714,0.080227291482033655,2,3,0,-0.0043913910441435097,-0.028089164333303714,0.080227291482033655,0.015909781478127275,-0.014006802941413803
128,detrended_51,2,0.16666666666666666,0.33333333333333331,0.25,20,475,500,487.5,False,5,0,-0.028785679166453644,-0.044301301744574709,0.064587927437623455,1,4,0,-0.028785679166453644,-0.044301301744574709,-0.013604827016974054,0.064587927437623455,-0.042715193324922365
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,5,0,0.27337315789822791,0.21590430586387677,0.33000386855509467,5,0,0,0.27337315789822791,0.23254836347427932,0.33000386855509467,0.28246060890084884,0.21590430586387677
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,5,0,0.24178735181058447,0.15252564796574614,0.33769526793961674,5,0,0,0.33769526793961674,0.24178735181058447,0.22508694097167495,0.15252564796574614,0.25691575012222007
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,5,0,0.16278840938247024,0.15174705997550217,0.19487414045219739,5,0,0,0.16278840938247024,0.15213849158420453,0.19487414045219739,0.169481205042331,0.15174705997550217
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,5,0,0.18279562465426441,0.10399201288468118,0.20039301860327646,5,0,0,0.18169662773056866,0.18279562465426441,0.18839792346992359,0.20039301860327646,0.10399201288468118
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,5,100,125,112.5,False,5,0,0.15479557042345185,0.081922795023492603,0.23288058739975773,5,0,0,0.23288058739975773,0.15479557042345185,0.17790372301213855,0.097275036699454656,0.081922795023492603
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,6,125,150,137.5,False,5,0,0.16801060016647698,0.1626391414690421,0.21253872066825119,5,0,0,0.16801060016647698,0.1626391414690421,0.21253872066825119,0.16537456935009587,0.16920978035559378
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,7,150,175,162.5,False,5,0,0.11629881390561807,0.097384975478355826,0.16309788006693632,5,0,0,0.1586697040622094,0.11629881390561807,0.097384975478355826,0.10537444902200044,0.16309788006693632
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,8,175,200,187.5,False,5,0,0.12393812585205438,0.10192998091373393,0.15135460157178196,5,0,0,0.10773743611760253,0.12393812585205438,0.10192998091373393,0.15135460157178196,0.12888092737176041
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,9,200,225,212.5,False,5,0,0.086565311658347133,0.032801041783786872,0.16870842938986741,5,0,0,0.14677646683765264,0.043090522687130352,0.16870842938986741,0.086565311658347133,0.032801041783786872
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,10,225,250,237.5,False,5,0,0.12630858313880064,0.091038836807692855,0.16348551372657402,5,0,0,0.11861277323175574,0.091038836807692855,0.12630858313880064,0.16348551372657402,0.13118710442246556
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,11,250,275,262.5,False,5,0,0.11905525182115438,0.0015729733305686303,0.17254855533568295,5,0,0,0.17254855533568295,0.0015729733305686303,0.089458414613339018,0.11905525182115438,0.12500469665813352
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,12,275,300,287.5,False,5,0,0.075870057708606872,0.017447486920875242,0.13120483300561084,5,0,0,0.13120483300561084,0.085278155102234382,0.017447486920875242,0.075870057708606872,0.061868694420093524
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,13,300,325,312.5,False,5,0,0.091237922218947665,-0.0046239809431252556,0.11612761014793752,4,1,0,-0.0046239809431252556,0.091237922218947665,0.019856631992586603,0.11612761014793752,0.10839855416744132
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,14,325,350,337.5,False,5,0,0.094084797610060708,0.055552835248646452,0.14414789009383605,5,0,0,0.14414789009383605,0.094084797610060708,0.055552835248646452,0.075725239950752074,0.1162027781352465
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,15,350,375,362.5,False,5,0,0.079035934939494221,0.020025245436465861,0.12226706025798846,5,0,0,0.11697079857984949,0.12226706025798846,0.058213957505751333,0.020025245436465861,0.079035934939494221
128,detrended_51,3,0.33333333333333331,0.5,0.41666666666666669,16,375,400,387.5,False,5,0,0.074498385501036352,0.06745552265782255,0.098512318247442957,5,0,0,0.098512318247442957,0.06745552265782255,0.074498385501036352,0.068076917867435166,0.07493996750356538
