scan_id,diameter_um,flow_mm_s,frame_lo,frame_hi,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,0,99,source,100,100,0,189482000.52854484,103679002.96671423,299467278.00087625,100,0,0
D128_F01_V01,128,1,0,99,tail100,100,100,0,82788857.334754348,57801546.256343186,117635042.11843,100,0,0
D128_F01_V01,128,1,0,99,tail500,100,100,0,44144677.952415258,36359954.358796611,57419200.910856441,100,0,0
D128_F01_V01,128,1,0,99,RI100,100,100,0,0.44654587769638537,0.26507211526363367,0.77431701171128797,100,0,0
D128_F01_V01,128,1,0,99,RI500,100,100,0,0.23793773511693567,0.15018954715802207,0.36562045437333829,100,0,0
D128_F01_V01,128,1,100,199,source,99,99,1,207219366.99159458,133842993.54158466,429152853.16946644,99,0,0
D128_F01_V01,128,1,100,199,tail100,99,99,1,87000659.991230071,62270143.576287314,134074003.07435629,99,0,0
D128_F01_V01,128,1,100,199,tail500,99,99,1,44042733.217475779,38315363.447816089,54863961.854826309,99,0,0
D128_F01_V01,128,1,100,199,RI100,99,99,1,0.4097030636157718,0.24294598326724479,0.69941380693468869,99,0,0
D128_F01_V01,128,1,100,199,RI500,99,99,1,0.21798443915407631,0.10826794115773264,0.33323022466784247,99,0,0
D128_F01_V01,128,1,200,299,source,97,97,3,171356058.44982851,78701322.74503012,301493574.01337397,97,0,0
D128_F01_V01,128,1,200,299,tail100,97,97,3,73699496.42747359,38249559.666736521,119657530.63742602,97,0,0
D128_F01_V01,128,1,200,299,tail500,97,97,3,40440818.894399323,27348818.596215826,50500892.766755201,97,0,0
D128_F01_V01,128,1,200,299,RI100,97,97,3,0.43854817463111179,0.28050454430561866,0.84735789749471502,97,0,0
D128_F01_V01,128,1,200,299,RI500,97,97,3,0.24157404827368553,0.1447424463348691,0.40280091973921134,97,0,0
D128_F01_V01,128,1,300,399,source,98,98,2,189573724.76420391,140668462.42333901,316651174.06782454,98,0,0
D128_F01_V01,128,1,300,399,tail100,98,98,2,83691140.687616408,60630547.567496181,136228266.82011771,98,0,0
D128_F01_V01,128,1,300,399,tail500,98,98,2,42975057.453669444,36085445.160499632,53735619.558487937,98,0,0
D128_F01_V01,128,1,300,399,RI100,98,98,2,0.43973358139511765,0.28050386066942185,0.75629533449235831,98,0,0
D128_F01_V01,128,1,300,399,RI500,98,98,2,0.22178154837268788,0.14219178790707948,0.32590353104164022,98,0,0
D128_F01_V01,128,1,400,499,source,92,92,8,169337681.33512151,103286429.83840477,269253193.01013225,92,0,0
D128_F01_V01,128,1,400,499,tail100,92,92,8,84901611.028789461,56719709.173659042,145731623.03861338,92,0,0
D128_F01_V01,128,1,400,499,tail500,92,92,8,44386539.346430205,36354070.022271857,60150273.061019488,92,0,0
