scan_id,diameter_um,flow_mm_s,region,side,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s1,left,486,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,426,60,0
D128_F01_V01,128,1,s1,real,486,0,0.0018415704958023185,-0.0007520414777099706,0.0032562679359000482,424,62,0
D128_F01_V01,128,1,s1,right,486,0,0.0018415704958023185,-0.0007520414777099706,0.0032562679359000482,423,63,0
D128_F01_V01,128,1,s2,left,486,0,0.001515653435680449,0.00094870429702455358,0.0019408652896724192,486,0,0
D128_F01_V01,128,1,s2,real,486,0,0.001515653435680449,0.00094870429702455358,0.0019408652896724192,486,0,0
D128_F01_V01,128,1,s2,right,486,0,0.001515653435680449,0.00094870429702455358,0.0019408652896724192,486,0,0
D128_F01_V01,128,1,s3,left,486,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,486,0,0
D128_F01_V01,128,1,s3,real,486,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,486,0,0
D128_F01_V01,128,1,s3,right,486,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,486,0,0
D128_F01_V01,128,1,s36,left,486,0,-0.00057592477277613931,-0.00090417879354251409,-0.0002111980830355676,0,486,0
D128_F01_V01,128,1,s36,real,486,0,-0.00057592477277593971,-0.00090417879354251409,-0.000211198083035368,0,486,0
D128_F01_V01,128,1,s36,right,486,0,-0.00057592477277613931,-0.00090417879354251409,-0.00024767075200956488,0,486,0
D128_F01_V01,128,1,s4,left,486,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,486,0,0
D128_F01_V01,128,1,s4,real,486,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,486,0,0
D128_F01_V01,128,1,s4,right,486,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,486,0,0
D128_F01_V01,128,1,s5,left,486,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,217,269,0
D128_F01_V01,128,1,s5,real,486,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,202,284,0
D128_F01_V01,128,1,s5,right,486,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,218,268,0
D128_F01_V01,128,1,s6,left,486,0,-0.0073539628648321169,-0.0087686603049298463,-0.0066466141447834139,0,486,0
D128_F01_V01,128,1,s6,real,486,0,-0.0073539628648321169,-0.0087686603049298463,-0.0066466141447834139,0,486,0
D128_F01_V01,128,1,s6,right,486,0,-0.0073539628648321169,-0.0087686603049298463,-0.0066466141447834139,0,486,0
D128_F01_V01,128,1,source,left,486,0,5.7169190131478928e-05,-0.00011072748440613208,0.00030255663753261361,340,146,0
D128_F01_V01,128,1,source,real,486,0,4.4254061321056577e-05,-0.00011072748440627345,0.0003283868951538824,333,153,0
D128_F01_V01,128,1,source,right,486,0,7.0084318942042646e-05,-0.00011072748440613208,0.00030255663753261361,349,137,0
D128_F01_V01,128,1,t01,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t01,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.973799150320701e-15,0,486,0
D128_F01_V01,128,1,t01,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-2.1316282072803005e-15,0,486,0
D128_F01_V01,128,1,t02,left,486,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,486,0,0
D128_F01_V01,128,1,t02,real,486,0,2.5579538487363606e-15,2.5579538487363606e-15,2.8421709430404009e-15,486,0,0
D128_F01_V01,128,1,t02,right,486,0,2.5579538487363606e-15,-4.263256414560601e-16,5.6843418860808018e-15,420,48,18
D128_F01_V01,128,1,t03,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t03,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t03,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,486,0
D128_F01_V01,128,1,t04,left,486,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,486,0,0
D128_F01_V01,128,1,t04,real,486,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,486,0,0
D128_F01_V01,128,1,t04,right,486,0,2.5579538487363606e-15,-2.8421709430404008e-16,5.6843418860808018e-15,420,51,15
D128_F01_V01,128,1,t05,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t05,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t05,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,486,0
D128_F01_V01,128,1,t06,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t06,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t06,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,486,0
D128_F01_V01,128,1,t07,left,486,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,469,17,0
D128_F01_V01,128,1,t07,real,486,0,2.5579538487363606e-15,-4.973799150320701e-15,2.8421709430404009e-15,469,17,0
D128_F01_V01,128,1,t07,right,486,0,2.5579538487363606e-15,-5.1159076974727211e-15,5.6843418860808018e-15,403,51,32
D128_F01_V01,128,1,t08,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,74,412,0
D128_F01_V01,128,1,t08,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,74,412,0
D128_F01_V01,128,1,t08,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,1.0231815394945442e-14,74,412,0
D128_F01_V01,128,1,t09,left,486,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,412,74,0
D128_F01_V01,128,1,t09,real,486,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,412,74,0
D128_F01_V01,128,1,t09,right,486,0,2.5579538487363606e-15,-5.1159076974727211e-15,5.6843418860808018e-15,346,118,22
D128_F01_V01,128,1,t10,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t10,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t10,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,486,0
D128_F01_V01,128,1,t11,left,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t11,real,486,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,486,0
D128_F01_V01,128,1,t11,right,486,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,486,0
