scan_id,diameter_um,flow_mm_s,source_bin,tail_bin,in_C16,real_matched_rho,left_rho,right_rho,control_rho,excess_cell,real_minus_L,real_minus_R,n_common,status
D128_F01_V01,128,1,1,1,False,0.060228840563975379,0.020541745413295284,0.081056489104823173,0.05079911725905923,0.0094297233049161489,0.039687095150680099,-0.020827648540847794,486,ok
D128_F01_V01,128,1,1,2,False,0.034581974552365835,0.014225080295098537,-0.021191758403535665,-0.0034833390542185639,0.038065313606584397,0.020356894257267298,0.055773732955901503,486,ok
D128_F01_V01,128,1,1,3,False,-0.032380115329101483,0.020007294149043519,-0.0056963484222519525,0.0071554728633957832,-0.039535588192497265,-0.052387409478145006,-0.026683766906849531,486,ok
D128_F01_V01,128,1,1,4,False,-0.021727199455566296,0.021544062774128511,-0.065374563806656127,-0.021915250516263807,0.0001880510606975111,-0.04327126222969481,0.043647364351089832,486,ok
D128_F01_V01,128,1,1,5,False,0.041393325660237935,-0.019026634245882239,0.080692619196924081,0.030832992475520921,0.010560333184717014,0.060419959906120174,-0.039299293536686146,486,ok
D128_F01_V01,128,1,1,6,False,0.068306346821887173,0.025022792647925167,-0.078846470979754918,-0.026911839165914875,0.095218185987802045,0.043283554173962006,0.14715281780164208,486,ok
D128_F01_V01,128,1,1,7,False,0.036234012699795981,0.032804394562140723,-0.057668813629752756,-0.012432209533806016,0.048666222233601994,0.0034296181376552576,0.093902826329548744,486,ok
D128_F01_V01,128,1,1,8,False,0.032797138575685149,0.037096458260736244,0.019757802390496303,0.028427130325616272,0.0043700082500688769,-0.0042993196850510951,0.013039336185188845,486,ok
D128_F01_V01,128,1,1,9,False,0.0098693113482565473,0.035434030745599199,0.0075621513481138837,0.02149809104685654,-0.011628779698599993,-0.025564719397342651,0.0023071600001426636,486,ok
D128_F01_V01,128,1,1,10,False,-0.034798866649712781,-0.013667019840503314,0.034155289959276192,0.010244135059386438,-0.045043001709099223,-0.021131846809209466,-0.068954156608988973,486,ok
D128_F01_V01,128,1,1,11,False,-0.032032740280115005,0.014835873096836026,0.035967151284564548,0.025401512190700287,-0.057434252470815295,-0.046868613376951029,-0.06799989156467956,486,ok
D128_F01_V01,128,1,1,12,False,0.037353284076734085,-0.031522687928345325,0.015327199526439791,-0.008097744200952767,0.04545102827768685,0.068875972005079417,0.022026084550294294,486,ok
D128_F01_V01,128,1,1,13,False,0.011411426888067266,0.0016712001404993581,0.028582001884402346,0.015126601012450853,-0.0037151741243835867,0.009740226747567908,-0.017170574996335078,486,ok
D128_F01_V01,128,1,1,14,False,0.019056982674900736,0.01434901964063944,0.0040707931528682047,0.0092099063967538228,0.0098470762781469132,0.004707963034261296,0.014986189522032532,486,ok
D128_F01_V01,128,1,1,15,False,0.02284215059968361,-0.04060188359443255,0.07477428198476016,0.017086199195163805,0.0057559514045198053,0.063444034194116164,-0.051932131385076546,486,ok
D128_F01_V01,128,1,1,16,False,0.0010662361091764308,0.10684642702249843,0.017674733070924466,0.06226058004671145,-0.06119434393753502,-0.105780190913322,-0.016608496961748036,486,ok
D128_F01_V01,128,1,1,17,False,-0.00040989369003110879,0.0074351206703725066,0.12382534146205228,0.065630231066212394,-0.066040124756243504,-0.0078450143604036158,-0.12423523515208339,486,ok
D128_F01_V01,128,1,1,18,False,-0.041719097944289116,0.035812582397316543,0.0098643053649245197,0.022838443881120531,-0.064557541825409653,-0.077531680341605652,-0.051583403309213634,486,ok
D128_F01_V01,128,1,1,19,False,-0.051238911909331844,0.018017954918344081,-0.0040322068490860705,0.006992874034629005,-0.058231785943960848,-0.069256866827675928,-0.047206705060245775,486,ok
D128_F01_V01,128,1,1,20,False,0.043585637452054064,0.054074585924138711,0.011948471257261133,0.033011528590699925,0.01057410886135414,-0.010488948472084647,0.031637166194792933,486,ok
D128_F01_V01,128,1,2,1,False,0.20445419126391778,0.028190113193212109,0.10741626112135272,0.06780318715728241,0.13665100410663539,0.17626407807070568,0.097037930142565065,486,ok
D128_F01_V01,128,1,2,2,False,0.27104375969247962,0.02223722059327379,0.014044804264741145,0.018141012429007466,0.25290274726347217,0.24880653909920583,0.25699895542773848,486,ok
D128_F01_V01,128,1,2,3,False,0.086426660038309427,0.014591536066620843,0.013397922225975387,0.013994729146298115,0.072431930892011318,0.071835123971688591,0.073028737812334044,486,ok
D128_F01_V01,128,1,2,4,False,0.17701492226843824,0.049488852338509776,-0.069339973325502707,-0.0099255604934964659,0.1869404827619347,0.12752606992992846,0.24635489559394094,486,ok
D128_F01_V01,128,1,2,5,False,0.1361476578481973,-0.092600655614164071,0.11769539850409394,0.012547371444964935,0.12360028640323237,0.22874831346236135,0.018452259344103356,486,ok
D128_F01_V01,128,1,2,6,False,0.096661396716576573,0.014170704804521591,-0.023190486712742778,-0.0045098909541105934,0.10117128767068717,0.082490691912054978,0.11985188342931935,486,ok
D128_F01_V01,128,1,2,7,False,0.10085569450636171,0.049336204070737834,0.081591995073304405,0.065464099572021123,0.035391594934340589,0.051519490435623878,0.019263699433057307,486,ok
D128_F01_V01,128,1,2,8,False,0.12754976781203212,0.026887458947625068,0.089302375516614255,0.05809491723211966,0.069454850579912464,0.10066230886440705,0.038247392295417862,486,ok
D128_F01_V01,128,1,2,9,False,0.12915866881206456,0.10699570129375204,0.0039135955420744979,0.055454648417913269,0.07370402039415129,0.022162967518312524,0.12524507326999007,486,ok
D128_F01_V01,128,1,2,10,False,0.079078894855160453,-0.053957350175003596,-0.010536203184137987,-0.032246776679570793,0.11132567153473125,0.13303624503016404,0.089615098039298444,486,ok
D128_F01_V01,128,1,2,11,False,0.13682063970343405,-0.056867250562486829,0.088827840862136298,0.015980295149824734,0.12084034455360931,0.19368789026592087,0.047992798841297757,486,ok
D128_F01_V01,128,1,2,12,False,0.12752483463636269,0.00077567617506371753,0.013931734043253444,0.0073537051091585809,0.1201711295272041,0.12674915846129897,0.11359310059310924,486,ok
