scan_id,diameter_um,flow_mm_s,mode,support,region,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D128_F01_V01,128,1,raw,real_all,C16,16,0,0.1899934114911852,0.094509114278090472,0.33854768985346123,16,0,0,0.1899934114911852,ok
D128_F01_V01,128,1,raw,real_all,S1_T1T4,4,0,-0.040174850295019368,-0.14416781070464116,0.048217273914967204,1,3,0,-0.040174850295019368,ok
D128_F01_V01,128,1,raw,real_all,S2_T1T4,4,0,0.17020650702142689,0.091920961937967657,0.24379578602007809,4,0,0,0.17020650702142689,ok
D128_F01_V01,128,1,raw,real_all,S3_T1T4,4,0,0.23057099451462865,0.18840840600685926,0.33854768985346123,4,0,0,0.23057099451462865,ok
D128_F01_V01,128,1,raw,real_all,S4_T1T4,4,0,0.20584639339905117,0.14352709716992054,0.21998662436012931,4,0,0,0.20584639339905117,ok
D128_F01_V01,128,1,raw,real_all,S5_T1T4,4,0,0.16160982281066674,0.13896087638405075,0.19157841697551117,4,0,0,0.16160982281066674,ok
D128_F01_V01,128,1,raw,real_all,S6_T1T4,4,0,0.13875065042250348,0.094509114278090472,0.23401301341562566,4,0,0,0.13875065042250348,ok
D128_F01_V01,128,1,detrended_51,real_all,C16,16,0,0.16380209619412242,0.049942600749761978,0.33769526793961674,16,0,0,0.16380209619412242,ok
D128_F01_V01,128,1,detrended_51,real_all,S1_T1T4,4,0,0.0064273875483997697,-0.032380115329101483,0.060228840563975379,2,2,0,0.0064273875483997697,ok
D128_F01_V01,128,1,detrended_51,real_all,S2_T1T4,4,0,0.19073455676617801,0.086426660038309427,0.27104375969247962,4,0,0,0.19073455676617801,ok
D128_F01_V01,128,1,detrended_51,real_all,S3_T1T4,4,0,0.22753489281439829,0.16278840938247024,0.33769526793961674,4,0,0,0.22753489281439829,ok
D128_F01_V01,128,1,detrended_51,real_all,S4_T1T4,4,0,0.15844391746181632,0.14355009279723951,0.17727853283371919,4,0,0,0.15844391746181632,ok
D128_F01_V01,128,1,detrended_51,real_all,S5_T1T4,4,0,0.15199852422317359,0.11851549658338802,0.20091387711739825,4,0,0,0.15199852422317359,ok
D128_F01_V01,128,1,detrended_51,real_all,S6_T1T4,4,0,0.10062055165598854,0.049942600749761978,0.22287029556308358,4,0,0,0.10062055165598854,ok
D128_F03_V01,128,3,raw,real_all,C16,16,0,0.17705821084005111,0.026331036302591801,0.2546105390875118,16,0,0,0.17705821084005111,ok
D128_F03_V01,128,3,raw,real_all,S1_T1T4,4,0,0.059349638610720776,0.034286294952982924,0.11615956034122163,4,0,0,0.059349638610720776,ok
D128_F03_V01,128,3,raw,real_all,S2_T1T4,4,0,0.19746398253221736,0.17010284717785756,0.2311725369669056,4,0,0,0.19746398253221736,ok
D128_F03_V01,128,3,raw,real_all,S3_T1T4,4,0,0.20522783170998199,0.1880460511289237,0.2546105390875118,4,0,0,0.20522783170998199,ok
D128_F03_V01,128,3,raw,real_all,S4_T1T4,4,0,0.18727871572321697,0.15932877673425469,0.22922250174639194,4,0,0,0.18727871572321697,ok
