scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s4,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s4,right,neff,486,0,37.871864731935403,36.913509728041603,38.365997747227631,486,0,0
D128_F01_V01,128,1,s4,right,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s4,right,sum_w2,486,0,26.2205810546875,25.893310546875,26.89422607421875,486,0,0
D128_F01_V01,128,1,s4,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,left,neff,486,0,31.27529116150512,31.123083701322759,31.365452799806466,486,0,0
D128_F01_V01,128,1,s5,left,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s5,left,sum_w2,486,0,24.288398742675781,24.20928955078125,24.40118408203125,486,0,0
D128_F01_V01,128,1,s5,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,real,neff,486,0,31.268963963973519,31.11397074464757,31.363516443642585,486,0,0
D128_F01_V01,128,1,s5,real,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s5,real,sum_w2,486,0,24.287567138671875,24.210891723632812,24.401687622070312,486,0,0
D128_F01_V01,128,1,s5,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,right,neff,486,0,31.26417568452095,31.123083701322759,31.365787711847595,486,0,0
D128_F01_V01,128,1,s5,right,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s5,right,sum_w2,486,0,24.294113159179688,24.209503173828125,24.401687622070312,486,0,0
D128_F01_V01,128,1,s5,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s6,left,neff,486,0,18.661903546394981,18.524749431417145,18.752371932554247,486,0,0
D128_F01_V01,128,1,s6,left,nonzero_pixels,486,0,32,30,33,486,0,0
D128_F01_V01,128,1,s6,left,sum_w2,486,0,14.497238159179688,14.416534423828125,14.597549438476562,486,0,0
D128_F01_V01,128,1,s6,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,s6,real,neff,486,0,18.65978152323407,18.517960947355625,18.752371932554247,486,0,0
D128_F01_V01,128,1,s6,real,nonzero_pixels,486,0,32,30,33,486,0,0
D128_F01_V01,128,1,s6,real,sum_w2,486,0,14.500640869140625,14.416534423828125,14.597610473632812,486,0,0
D128_F01_V01,128,1,s6,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,s6,right,neff,486,0,18.654709731531891,18.523897156850545,18.752371932554247,486,0,0
D128_F01_V01,128,1,s6,right,nonzero_pixels,486,0,32,30,33,486,0,0
D128_F01_V01,128,1,s6,right,sum_w2,486,0,14.503021240234375,14.416534423828125,14.599700927734375,486,0,0
D128_F01_V01,128,1,s6,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,source,left,neff,486,0,159.11995207103354,157.95724837137783,159.75576673201599,486,0,0
D128_F01_V01,128,1,source,left,nonzero_pixels,486,0,178,177,181,486,0,0
D128_F01_V01,128,1,source,left,sum_w2,486,0,143.72261047363281,143.18952941894531,144.792724609375,486,0,0
D128_F01_V01,128,1,source,left,z_span_pixels,486,0,20,20,20,486,0,0
D128_F01_V01,128,1,source,real,neff,486,0,159.12541009657645,157.95659668271605,159.75053170425448,486,0,0
D128_F01_V01,128,1,source,real,nonzero_pixels,486,0,178,177,181,486,0,0
