scan_id,diameter_um,flow_mm_s,offset,metric,baseline_common_median,offset_common_median,difference,percent_change,n_common
D128_F05_V01,128,5,zp,tail100,79408151.457878381,75688775.908718616,-3719375.5491597652,-4.6838712158319007,491
D128_F05_V01,128,5,zp,tail500,42088839.342979915,40869718.58753778,-1219120.755442135,-2.8965416354382665,491
D128_F05_V01,128,5,zp,RI100,0.42123103493531716,0.3999093927895816,-0.021321642145735564,-5.0617453077762056,491
D128_F05_V01,128,5,zp,RI500,0.22330065318823616,0.21399400236806609,-0.0093066508201700704,-4.1677669488610167,491
D128_F05_V01,128,5,zm,source,192075186.15168616,186711691.78825009,-5363494.3634360731,-2.7923931617072073,491
D128_F05_V01,128,5,zm,tail100,79408151.457878381,82590331.033823028,3182179.5759446472,4.0073714316755211,491
D128_F05_V01,128,5,zm,tail500,42088839.342979915,43390708.037946142,1301868.6949662268,3.0931446798933129,491
D128_F05_V01,128,5,zm,RI100,0.42123103493531716,0.45685374738957241,0.035622712454255245,8.456810989656864,491
D128_F05_V01,128,5,zm,RI500,0.22330065318823616,0.2351822421775758,0.011881588989339636,5.3208930738432691,491
D128_F07_V01,128,7,xp,source,145284801.08129755,144323322.09119773,-961478.99009981751,-0.66178910866374741,493
D128_F07_V01,128,7,xp,tail100,80103132.622097135,80118818.163153544,15685.541056409478,0.019581682442319975,493
D128_F07_V01,128,7,xp,tail500,43169586.410262212,42903586.260996416,-266000.14926579595,-0.61617488464648063,493
D128_F07_V01,128,7,xp,RI100,0.55277147395786985,0.56179464769196552,0.0090231737340956686,1.6323515519875362,493
D128_F07_V01,128,7,xp,RI500,0.29730363891501299,0.30051369319288906,0.0032100542778760732,1.079722498382772,493
D128_F07_V01,128,7,xm,source,145284801.08129755,140907500.67554274,-4377300.4057548046,-3.0129100726134337,493
D128_F07_V01,128,7,xm,tail100,80103132.622097135,78538737.965020671,-1564394.6570764631,-1.9529756276284649,493
D128_F07_V01,128,7,xm,tail500,43169586.410262212,42547943.646603398,-621642.76365881413,-1.4400016663375725,493
D128_F07_V01,128,7,xm,RI100,0.55277147395786985,0.55319129247335486,0.00041981851548500426,0.075947934230231509,493
D128_F07_V01,128,7,xm,RI500,0.29730363891501299,0.30151103971049698,0.0042074007954839843,1.4151864440134583,493
D128_F07_V01,128,7,zp,source,145284801.08129755,148168731.93168941,2883930.8503918648,1.985018962016607,493
D128_F07_V01,128,7,zp,tail100,80103132.622097135,76135975.261374041,-3967157.3607230932,-4.9525620670030062,493
D128_F07_V01,128,7,zp,tail500,43169586.410262212,41971401.181865282,-1198185.2283969298,-2.7755309421081202,493
D128_F07_V01,128,7,zp,RI100,0.55277147395786985,0.51197958111318653,-0.04079189284468332,-7.3795220568477315,493
D128_F07_V01,128,7,zp,RI500,0.29730363891501299,0.28103955189383617,-0.016264087021176821,-5.4705307612551834,493
D128_F07_V01,128,7,zm,source,145284801.08129755,139712461.32471526,-5572339.7565822899,-3.8354595354156524,493
D128_F07_V01,128,7,zm,tail100,80103132.622097135,84802943.99127239,4699811.3691752553,5.8672004643658244,493
D128_F07_V01,128,7,zm,tail500,43169586.410262212,44387548.090991095,1217961.6807288826,2.8213420187860554,493
D128_F07_V01,128,7,zm,RI100,0.55277147395786985,0.60751259849828321,0.054741124540413355,9.9030299354024773,493
D128_F07_V01,128,7,zm,RI500,0.29730363891501299,0.31708488156034864,0.01978124264533565,6.6535487818197554,493
D128_F10_V01,128,10,xp,source,193802290.22788948,192007805.63126993,-1794484.5966195464,-0.92593570205462294,484
D128_F10_V01,128,10,xp,tail100,81778417.836471111,82064253.737504184,285835.90103307366,0.34952486070915162,484
D128_F10_V01,128,10,xp,tail500,43084990.92621392,42931507.579629883,-153483.34658403695,-0.35623390717869241,484
D128_F10_V01,128,10,xp,RI100,0.42980361070057205,0.42873173700526573,-0.0010718736953063135,-0.2493868521856247,484
D128_F10_V01,128,10,xp,RI500,0.2231842946030006,0.2248747793686019,0.0016904847656012967,0.75743894462122652,484
D128_F10_V01,128,10,xm,source,193802290.22788948,187328607.30883402,-6473682.9190554619,-3.3403541885099224,484
D128_F10_V01,128,10,xm,tail100,81778417.836471111,79746386.694068715,-2032031.1424023956,-2.4848012423837345,484
D128_F10_V01,128,10,xm,tail500,43084990.92621392,42332100.279700011,-752890.6465139091,-1.7474545783316686,484
D128_F10_V01,128,10,xm,RI100,0.42980361070057205,0.4343760565080349,0.0045724458074628549,1.0638453688208556,484
D128_F10_V01,128,10,xm,RI500,0.2231842946030006,0.22851757629257297,0.0053332816895723667,2.3896312682123035,484
D128_F10_V01,128,10,zp,source,193802290.22788948,197575387.04824758,3773096.8203580976,1.9468793768749402,484
D128_F10_V01,128,10,zp,tail100,81778417.836471111,77943776.68605426,-3834641.150416851,-4.6890625324701478,484
D128_F10_V01,128,10,zp,tail500,43084990.92621392,41736229.003431261,-1348761.9227826595,-3.1304681602289515,484
D128_F10_V01,128,10,zp,RI100,0.42980361070057205,0.39894448350836487,-0.030859127192207181,-7.1798203700307139,484
D128_F10_V01,128,10,zp,RI500,0.2231842946030006,0.21250328319582582,-0.010681011407174784,-4.7857361227742876,484
D128_F10_V01,128,10,zm,source,193802290.22788948,187851322.26853421,-5950967.9593552649,-3.0706386144134843,484
D128_F10_V01,128,10,zm,tail100,81778417.836471111,85477292.249927938,3698874.4134568274,4.523044724163424,484
D128_F10_V01,128,10,zm,tail500,43084990.92621392,44287657.06052871,1202666.1343147904,2.7913807301815168,484
D128_F10_V01,128,10,zm,RI100,0.42980361070057205,0.46052108386416352,0.030717473163591469,7.1468625201920828,484
D128_F10_V01,128,10,zm,RI500,0.2231842946030006,0.2359894963473203,0.012805201744319705,5.7375012731507615,484
D235_F01_V01,235,1,xp,source,206708139.81254771,205938726.18139523,-769413.63115248084,-0.37222222204225719,448
D235_F01_V01,235,1,xp,tail100,49020707.733170494,48943813.711848445,-76894.021322049201,-0.15686028390409767,448
D235_F01_V01,235,1,xp,tail500,30367929.608438835,30324263.487626076,-43666.120812758803,-0.1437902464072644,448
D235_F01_V01,235,1,xp,RI100,0.23841905035208191,0.23991358162657334,0.001494531274491423,0.62685061125962682,448
D235_F01_V01,235,1,xp,RI500,0.14950431368691941,0.15002337561334073,0.00051906192642131588,0.34718859517879597,448
D235_F01_V01,235,1,xm,source,206708139.81254771,204740999.68260026,-1967140.1299474537,-0.95165102435315096,448
D235_F01_V01,235,1,xm,tail100,49020707.733170494,49190784.881193414,170077.14802291989,0.34694959719611512,448
D235_F01_V01,235,1,xm,tail500,30367929.608438835,30476459.25409862,108529.64565978572,0.35738243291247224,448
D235_F01_V01,235,1,xm,RI100,0.23841905035208191,0.24239864997472255,0.0039795996226406338,1.6691617623523864,448
D235_F01_V01,235,1,xm,RI500,0.14950431368691941,0.15103620991012223,0.0015318962232028221,1.0246501826099834,448
D235_F01_V01,235,1,zp,source,206708139.81254771,201871224.74254224,-4836915.0700054765,-2.339973198148757,448
D235_F01_V01,235,1,zp,tail100,49020707.733170494,47269692.062265903,-1751015.6709045917,-3.5719918211620278,448
D235_F01_V01,235,1,zp,tail500,30367929.608438835,29824040.660543598,-543888.94789523631,-1.790997789141664,448
D235_F01_V01,235,1,zp,RI100,0.23841905035208191,0.23598941234072793,-0.002429638011353985,-1.0190620287120731,448
D235_F01_V01,235,1,zp,RI500,0.14950431368691941,0.14869969034505146,-0.00080462334186795492,-0.53819406412107684,448
D235_F01_V01,235,1,zm,source,206708139.81254771,209555790.9727329,2847651.1601851881,1.3776192668404674,448
D235_F01_V01,235,1,zm,tail100,49020707.733170494,50733034.319161549,1712326.5859910548,3.4930678588150754,448
D235_F01_V01,235,1,zm,tail500,30367929.608438835,30937095.611238502,569166.00279966742,1.8742338056576104,448
D235_F01_V01,235,1,zm,RI100,0.23841905035208191,0.24578878737266019,0.0073697370205782764,3.09108563669519,448
D235_F01_V01,235,1,zm,RI500,0.14950431368691941,0.15001340929936707,0.0005090956124476631,0.34052235677545234,448
D235_F03_V01,235,3,xp,source,215254629.63309839,212648784.41557333,-2605845.2175250649,-1.2105873039603048,448
D235_F03_V01,235,3,xp,tail100,49959401.33967419,49866448.800693512,-92952.538980677724,-0.18605615057052627,448
D235_F03_V01,235,3,xp,tail500,31107807.749594979,31033551.087537233,-74256.662057746202,-0.23870747387756058,448
D235_F03_V01,235,3,xp,RI100,0.23664415643178022,0.2364215645246994,-0.00022259190708082133,-0.094061865053908539,448
D235_F03_V01,235,3,xp,RI500,0.1473377404585276,0.14747053391463766,0.00013279345611005855,0.090128609069742752,448
D235_F03_V01,235,3,xm,source,215254629.63309839,212020588.12308291,-3234041.5100154877,-1.5024259945200309,448
D235_F03_V01,235,3,xm,tail100,49959401.33967419,50142162.571689442,182761.23201525211,0.36581949966265148,448
D235_F03_V01,235,3,xm,tail500,31107807.749594979,31129816.667429619,22008.917834639549,0.070750462429889818,448
D235_F03_V01,235,3,xm,RI100,0.23664415643178022,0.24036053276498676,0.0037163763332065392,1.5704492302888942,448
D235_F03_V01,235,3,xm,RI500,0.1473377404585276,0.15007849566156264,0.0027407552030350446,1.8601854450228306,448
D235_F03_V01,235,3,zp,source,215254629.63309839,209937636.99711576,-5316992.6359826326,-2.4700944388724411,448
D235_F03_V01,235,3,zp,tail100,49959401.33967419,48281497.202047393,-1677904.137626797,-3.3585353159432785,448
D235_F03_V01,235,3,zp,tail500,31107807.749594979,30550910.166936912,-556897.58265806735,-1.7902180286726188,448
D235_F03_V01,235,3,zp,RI100,0.23664415643178022,0.23347796776085838,-0.0031661886709218323,-1.3379534566426454,448
D235_F03_V01,235,3,zp,RI500,0.1473377404585276,0.14742667218039929,8.8931721871687852e-05,0.060359091699740172,448
D235_F03_V01,235,3,zm,source,215254629.63309839,217658406.60793555,2403776.9748371542,1.1167132520840053,448
D235_F03_V01,235,3,zm,tail100,49959401.33967419,51999140.000450246,2039738.6607760563,4.0827924396208521,448
D235_F03_V01,235,3,zm,tail500,31107807.749594979,31658472.523638844,550664.7740438655,1.7701818735556352,448
D235_F03_V01,235,3,zm,RI100,0.23664415643178022,0.2455599453509027,0.0089157889191224804,3.7675931041604755,448
D235_F03_V01,235,3,zm,RI500,0.1473377404585276,0.14889178969502359,0.0015540492364959912,1.0547529992381162,448
D235_F05_V01,235,5,xp,source,214846735.94179559,213349330.3620277,-1497405.5797678828,-0.69696454693803067,424
D235_F05_V01,235,5,xp,tail100,48628569.071338393,48816686.735684499,188117.66434610635,0.38684597951080291,424
D235_F05_V01,235,5,xp,tail500,30592375.634217784,30656342.392771006,63966.758553221822,0.20909379290464308,424
D235_F05_V01,235,5,xp,RI100,0.22835832261995426,0.22972047695732001,0.0013621543373657508,0.59649866128712048,424
D235_F05_V01,235,5,xp,RI500,0.14241669196205986,0.144023594453693,0.0016069024916331442,1.1283105017361497,424
D235_F05_V01,235,5,xm,source,214846735.94179559,212753838.86598951,-2092897.0758060813,-0.97413491837877897,424
D235_F05_V01,235,5,xm,tail100,48628569.071338393,49003656.211330816,375087.13999242336,0.77133081880770205,424
D235_F05_V01,235,5,xm,tail500,30592375.634217784,30704930.799100451,112555.16488266736,0.36791900775686615,424
D235_F05_V01,235,5,xm,RI100,0.22835832261995426,0.23226148767778337,0.0039031650578291166,1.7092282922067903,424
D235_F05_V01,235,5,xm,RI500,0.14241669196205986,0.14463591741268625,0.0022192254506263887,1.5582621812459985,424
D235_F05_V01,235,5,zp,source,214846735.94179559,210115401.26127744,-4731334.6805181503,-2.2021906266241449,424
D235_F05_V01,235,5,zp,tail100,48628569.071338393,46966096.352089182,-1662472.7192492113,-3.4187160983708038,424
D235_F05_V01,235,5,zp,tail500,30592375.634217784,30059952.23753769,-532423.3966800943,-1.740379377679238,424
D235_F05_V01,235,5,zp,RI100,0.22835832261995426,0.22533565033958042,-0.0030226722803738393,-1.3236532155669785,424
D235_F05_V01,235,5,zp,RI500,0.14241669196205986,0.14363902052511099,0.0012223285630511282,0.85827619376018049,424
D235_F05_V01,235,5,zm,source,214846735.94179559,216814476.71457213,1967740.7727765441,0.91588115786391433,424
D235_F05_V01,235,5,zm,tail100,48628569.071338393,51027121.397057325,2398552.3257189319,4.9323933883397677,424
D235_F05_V01,235,5,zm,tail500,30592375.634217784,31194879.846486334,602504.21226854995,1.9694587287776528,424
D235_F05_V01,235,5,zm,RI100,0.22835832261995426,0.23717287897305853,0.0088145563531042692,3.8599672006585504,424
D235_F05_V01,235,5,zm,RI500,0.14241669196205986,0.14402233421851979,0.0016056422564599271,1.1274256088518571,424
D235_F07_V01,235,7,xp,source,214936408.46238989,212647188.37391376,-2289220.0884761214,-1.0650685497411645,444
D235_F07_V01,235,7,xp,tail100,49565733.209910661,49453878.581274644,-111854.62863601744,-0.22566927066793016,444
D235_F07_V01,235,7,xp,tail500,30432370.323021192,30544684.131115943,112313.80809475109,0.36906033576289982,444
D235_F07_V01,235,7,xp,RI100,0.23415256009957408,0.2362216487054645,0.0020690886058904179,0.8836497901242385,444
D235_F07_V01,235,7,xp,RI500,0.14296228599655492,0.14482684851074826,0.0018645625141933408,1.3042338412511625,444
D235_F07_V01,235,7,xm,source,214936408.46238989,212221739.15188786,-2714669.3105020225,-1.2630104550095533,444
D235_F07_V01,235,7,xm,tail100,49565733.209910661,49643928.174063839,78194.964153178036,0.15776012799411784,444
D235_F07_V01,235,7,xm,tail500,30432370.323021192,30552459.864468381,120089.54144718871,0.39461119910316189,444
D235_F07_V01,235,7,xm,RI100,0.23415256009957408,0.23905965272465482,0.004907092625080739,2.0956818165874349,444
D235_F07_V01,235,7,xm,RI500,0.14296228599655492,0.14579097303883345,0.0028286870422785382,1.9786246579372013,444
D235_F07_V01,235,7,zp,source,214936408.46238989,210280002.26915386,-4656406.1932360232,-2.166411091795466,444
D235_F07_V01,235,7,zp,tail100,49565733.209910661,47599034.867477566,-1966698.342433095,-3.9678588715799608,444
D235_F07_V01,235,7,zp,tail500,30432370.323021192,29881259.402903318,-551110.9201178737,-1.8109365595520981,444
D235_F07_V01,235,7,zp,RI100,0.23415256009957408,0.22920867556087479,-0.0049438845386992891,-2.1113946123830067,444
D235_F07_V01,235,7,zp,RI500,0.14296228599655492,0.14341093433424743,0.00044864833769250878,0.31382286213814475,444
D235_F07_V01,235,7,zm,source,214936408.46238989,216754761.79842371,1818353.3360338211,0.84599596180188386,444
D235_F07_V01,235,7,zm,tail100,49565733.209910661,51608080.341501012,2042347.1315903515,4.1204820333051879,444
D235_F07_V01,235,7,zm,tail500,30432370.323021192,31078464.216546323,646093.89352513105,2.1230482103997663,444
D235_F07_V01,235,7,zm,RI100,0.23415256009957408,0.24216405371114777,0.008011493611573689,3.4214845262280189,444
D235_F07_V01,235,7,zm,RI500,0.14296228599655492,0.14509576349910913,0.0021334775025542152,1.4923358896245038,444
D235_F10_V01,235,10,xp,source,220026699.75491247,218726809.63377637,-1299890.1211360991,-0.59078744651628434,461
D235_F10_V01,235,10,xp,tail100,49979061.166687183,50105586.782047518,126525.61536033452,0.25315724706863507,461
D235_F10_V01,235,10,xp,tail500,30712304.123685014,30731350.566755429,19046.443070415407,0.062015676172361769,461
D235_F10_V01,235,10,xp,RI100,0.22888567244423688,0.23030247486807701,0.0014168024238401244,0.61900004867508607,461
D235_F10_V01,235,10,xp,RI500,0.14007813403814831,0.14162182480839339,0.0015436907702450764,1.1020212261141871,461
D235_F10_V01,235,10,xm,source,220026699.75491247,217308168.18751314,-2718531.567399323,-1.235546217994222,461
D235_F10_V01,235,10,xm,tail100,49979061.166687183,50584938.993683413,605877.82699622959,1.2122633215848972,461
D235_F10_V01,235,10,xm,tail500,30712304.123685014,30873673.834569659,161369.71088464558,0.5254236550757484,461
D235_F10_V01,235,10,xm,RI100,0.22888567244423688,0.23331874357086388,0.0044330711266269973,1.9368058643806203,461
D235_F10_V01,235,10,xm,RI500,0.14007813403814831,0.14211020291628773,0.0020320688781394203,1.4506681518087718,461
D235_F10_V01,235,10,zp,source,220026699.75491247,215629201.17063951,-4397498.5842729509,-1.9986204352341421,461
D235_F10_V01,235,10,zp,tail100,49979061.166687183,48340225.394439347,-1638835.772247836,-3.2790447319170095,461
D235_F10_V01,235,10,zp,tail500,30712304.123685014,30115422.389929648,-596881.73375536501,-1.9434612634454083,461
D235_F10_V01,235,10,zp,RI100,0.22888567244423688,0.22420932945563785,-0.004676342988599036,-2.0430911811390584,461
D235_F10_V01,235,10,zp,RI500,0.14007813403814831,0.14020668767855002,0.00012855364040170736,0.091772810427855622,461
D235_F10_V01,235,10,zm,source,220026699.75491247,221963528.33859569,1936828.5836832225,0.88026979718400267,461
D235_F10_V01,235,10,zm,tail100,49979061.166687183,52427109.821741916,2448048.6550547332,4.8981485404260541,461
D235_F10_V01,235,10,zm,tail500,30712304.123685014,31308409.275701575,596105.15201656148,1.9409326946487591,461
D235_F10_V01,235,10,zm,RI100,0.22888567244423688,0.23733869765398949,0.0084530252097526071,3.6931211637163557,461
D235_F10_V01,235,10,zm,RI500,0.14007813403814831,0.14185468528058612,0.0017765512424378072,1.2682573583925585,461
D285_F01_V01,285,1,xp,source,217567134.03221822,217156662.43291911,-410471.59929910302,-0.18866434083666273,453
D285_F01_V01,285,1,xp,tail100,45215322.193180032,45376367.960571557,161045.76739152521,0.35617520694304872,453
D285_F01_V01,285,1,xp,tail500,28861628.697207291,28963359.815051142,101731.11784385145,0.35247878389376952,453
D285_F01_V01,285,1,xp,RI100,0.2049835580654048,0.20669790102966257,0.0017143429642577646,0.83633193824782925,453
D285_F01_V01,285,1,xp,RI500,0.13272170147554466,0.13298242664602855,0.00026072517048389421,0.19644501809821621,453
D285_F01_V01,285,1,xm,source,217567134.03221822,214633446.6084691,-2933687.423749119,-1.3484056021598771,453
D285_F01_V01,285,1,xm,tail100,45215322.193180032,45198746.364442699,-16575.828737333417,-0.036659760305398421,453
D285_F01_V01,285,1,xm,tail500,28861628.697207291,28883385.481854763,21756.784647472203,0.075383079990830298,453
D285_F01_V01,285,1,xm,RI100,0.2049835580654048,0.20771814471134323,0.0027345866459384249,1.3340517023642897,453
D285_F01_V01,285,1,xm,RI500,0.13272170147554466,0.13409517021336001,0.0013734687378153532,1.0348486513853419,453
D285_F01_V01,285,1,zp,source,217567134.03221822,213067445.62954599,-4499688.4026722312,-2.0681838838792164,453
D285_F01_V01,285,1,zp,tail100,45215322.193180032,43530874.359236836,-1684447.8339431956,-3.7253916421218518,453
D285_F01_V01,285,1,zp,tail500,28861628.697207291,28386220.742991604,-475407.95421568677,-1.6471972500349163,453
D285_F01_V01,285,1,zp,RI100,0.2049835580654048,0.20294879323760776,-0.0020347648277970476,-0.99264782356241876,453
D285_F01_V01,285,1,zp,RI500,0.13272170147554466,0.13275593647975026,3.423500420560166e-05,0.025794579051497325,453
D285_F01_V01,285,1,zm,source,217567134.03221822,220299649.22992301,2732515.197704792,1.2559411649464254,453
D285_F01_V01,285,1,zm,tail100,45215322.193180032,46855023.961510994,1639701.7683309615,3.6264294685890412,453
D285_F01_V01,285,1,zm,tail500,28861628.697207291,29420428.771049954,558800.07384266332,1.9361349274676725,453
D285_F01_V01,285,1,zm,RI100,0.2049835580654048,0.20932160286171669,0.0043380447963118907,2.1162891488729727,453
D285_F01_V01,285,1,zm,RI500,0.13272170147554466,0.13372692447610832,0.0010052230005636598,0.75739158659662187,453
D285_F03_V01,285,3,xp,source,223769889.03170121,222145358.39540786,-1624530.6362933517,-0.72598267949411477,474
D285_F03_V01,285,3,xp,tail100,45336020.369953133,45646420.365219183,310399.9952660501,0.6846652898360055,474
D285_F03_V01,285,3,xp,tail500,29272722.233779415,29341853.231056061,69130.997276645154,0.23616183259126841,474
D285_F03_V01,285,3,xp,RI100,0.20164976196524345,0.20369243790568045,0.0020426759404369998,1.0129820737348936,474
D285_F03_V01,285,3,xp,RI500,0.13095530836444219,0.13139328475494638,0.00043797639050419113,0.3344472217081299,474
D285_F03_V01,285,3,xm,source,223769889.03170121,220976320.93575642,-2793568.095944792,-1.2484110833826398,474
D285_F03_V01,285,3,xm,tail100,45336020.369953133,45505057.623480819,169037.253527686,0.37285419440943474,474
D285_F03_V01,285,3,xm,tail500,29272722.233779415,29328304.876135878,55582.642356462777,0.18987862458628083,474
D285_F03_V01,285,3,xm,RI100,0.20164976196524345,0.20486029235532971,0.0032105303900862581,1.5921320009490654,474
D285_F03_V01,285,3,xm,RI500,0.13095530836444219,0.13303372979445283,0.0020784214300106352,1.5871227031335686,474
D285_F03_V01,285,3,zp,source,223769889.03170121,218497288.77992731,-5272600.2517738938,-2.3562599394357884,474
D285_F03_V01,285,3,zp,tail100,45336020.369953133,43749029.209593274,-1586991.1603598595,-3.5005083097493324,474
D285_F03_V01,285,3,zp,tail500,29272722.233779415,28739293.614420306,-533428.61935910955,-1.8222719947226389,474
D285_F03_V01,285,3,zp,RI100,0.20164976196524345,0.19912200249770012,-0.0025277594675433279,-1.2535395246233987,474
D285_F03_V01,285,3,zp,RI500,0.13095530836444219,0.13217246474392216,0.0012171563794799722,0.92944409408184192,474
D285_F03_V01,285,3,zm,source,223769889.03170121,225628484.55522943,1858595.5235282183,0.8305833870547763,474
D285_F03_V01,285,3,zm,tail100,45336020.369953133,47108757.514200941,1772737.1442478076,3.9102178130807119,474
D285_F03_V01,285,3,zm,tail500,29272722.233779415,29800432.738405485,527710.50462606922,1.802738059042267,474
D285_F03_V01,285,3,zm,RI100,0.20164976196524345,0.20634971067597974,0.0046999487107362847,2.3307484546132877,474
D285_F03_V01,285,3,zm,RI500,0.13095530836444219,0.13128499552545347,0.00032968716101128281,0.25175547683319538,474
D285_F05_V01,285,5,xp,source,220536135.55605829,219049187.01316422,-1486948.5428940654,-0.67424258575352447,492
D285_F05_V01,285,5,xp,tail100,45552696.296688199,45769746.466532022,217050.16984382272,0.47648149832922809,492
