scan_id,diameter_um,flow_mm_s,metric,unit,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,source,raw_SV_instrument_units,486,486,14,184920154.60033482,78701322.74503012,429152853.16946644,486,0,0
D128_F01_V01,128,1,tail100,raw_SV_instrument_units,486,486,14,82092144.726601571,38249559.666736521,145731623.03861338,486,0,0
D128_F01_V01,128,1,tail500,raw_SV_instrument_units,486,486,14,43311305.943663433,27348818.596215826,60150273.061019488,486,0,0
D128_F01_V01,128,1,RI100,dimensionless,486,486,14,0.45046060387848441,0.24294598326724479,0.94832411826858309,486,0,0
D128_F01_V01,128,1,RI500,dimensionless,486,486,14,0.23532468600060119,0.10826794115773264,0.44000770225185187,486,0,0
D128_F03_V01,128,3,source,raw_SV_instrument_units,468,468,32,188715323.1745643,62181293.843998581,453648458.58642107,468,0,0
D128_F03_V01,128,3,tail100,raw_SV_instrument_units,468,468,32,80983728.733307019,39955806.261068031,159701237.70834273,468,0,0
D128_F03_V01,128,3,tail500,raw_SV_instrument_units,468,468,32,42341295.337262824,26322984.725532059,67026219.436174043,468,0,0
D128_F03_V01,128,3,RI100,dimensionless,468,468,32,0.43393715374042613,0.17670599474432483,0.75509981220470024,468,0,0
D128_F03_V01,128,3,RI500,dimensionless,468,468,32,0.22420183031850904,0.096022638057956952,0.43264302762823414,468,0,0
D128_F05_V01,128,5,source,raw_SV_instrument_units,491,491,9,192075186.15168616,70399516.856417835,409286174.42691511,491,0,0
D128_F05_V01,128,5,tail100,raw_SV_instrument_units,491,491,9,79408151.457878381,41280886.871134326,155772135.05677515,491,0,0
D128_F05_V01,128,5,tail500,raw_SV_instrument_units,491,491,9,42088839.342979915,27806670.638125647,62364712.441803485,491,0,0
D128_F05_V01,128,5,RI100,dimensionless,491,491,9,0.42123103493531716,0.19899697170247993,0.91019534260594881,491,0,0
D128_F05_V01,128,5,RI500,dimensionless,491,491,9,0.22330065318823616,0.11398722649826207,0.45100030764504795,491,0,0
D128_F07_V01,128,7,source,raw_SV_instrument_units,493,493,7,145284801.08129755,61557905.23008845,396362714.23695558,493,0,0
D128_F07_V01,128,7,tail100,raw_SV_instrument_units,493,493,7,80103132.622097135,34515148.205229886,141719020.12310055,493,0,0
D128_F07_V01,128,7,tail500,raw_SV_instrument_units,493,493,7,43169586.410262212,26818955.412837591,59576623.909768492,493,0,0
D128_F07_V01,128,7,RI100,dimensionless,493,493,7,0.55277147395786985,0.23430293817681447,1.1250743060840211,493,0,0
D128_F07_V01,128,7,RI500,dimensionless,493,493,7,0.29730363891501299,0.12100268550024909,0.51500834027596998,493,0,0
D128_F10_V01,128,10,source,raw_SV_instrument_units,484,484,16,193802290.22788948,66038157.50884039,448026606.52072996,484,0,0
D128_F10_V01,128,10,tail100,raw_SV_instrument_units,484,484,16,81778417.836471111,43909941.235713951,134475456.03922543,484,0,0
D128_F10_V01,128,10,tail500,raw_SV_instrument_units,484,484,16,43084990.92621392,28270490.4579532,57727606.783887573,484,0,0
D128_F10_V01,128,10,RI100,dimensionless,484,484,16,0.42980361070057205,0.16491757444869562,0.82874964259964912,484,0,0
D128_F10_V01,128,10,RI500,dimensionless,484,484,16,0.2231842946030006,0.087048118399679256,0.42809326493048644,484,0,0
