scan_id,frame_index_0based,shape_z,shape_x,crop_first_matlab,crop_last_matlab,expected_transform,best_flip_diagnostic,spearman_identity,spearman_flip_z,spearman_flip_x,spearman_flip_zx
flow07,299,351,500,50,400,identity,identity,0.6547889792410256,-0.004070146436270551,0.020591963372529894,-0.004647644120768568
flow07,349,351,500,50,400,identity,identity,0.665469324530391,0.045538244334287846,-0.039066683130436895,0.03485510268787024
flow07,399,351,500,50,400,identity,identity,0.6680312866716063,0.04518000526450695,-0.037035419788822715,0.03340816349628286
flow07,449,351,500,50,400,identity,identity,0.6509129989349007,0.020844914101501067,-0.030700130650800076,0.016559695968921418
flow07,498,351,500,50,400,identity,identity,0.663845034102641,0.0630582100794826,-0.035399439475491935,0.03349349053476535
flow07,499,351,500,50,400,identity,identity,0.6575783537071904,0.04820673326737488,-0.02879566475738111,0.03611642080439847
flow10,0,351,500,50,400,identity,identity,0.6470128327694455,0.034770737771769644,-0.014911567417246661,0.013543362262248913
flow10,49,351,500,50,400,identity,identity,0.647706455663951,0.01795473867939474,-0.005944108752417925,0.010402789176208994
flow10,99,351,500,50,400,identity,identity,0.6575904731232222,0.03177704465656843,0.00731136911800523,0.033260117794808815
flow10,149,351,500,50,400,identity,identity,0.6501381573254099,0.019830023028021122,-0.0002600204191937652,0.007147647317883977
flow10,199,351,500,50,400,identity,identity,0.6532857342431189,0.024464248526068044,0.0074839016786698844,0.007309133173094724
flow10,249,351,500,50,400,identity,identity,0.6524065845982919,0.011214437660337195,3.0913993936572194e-05,-0.0010270041237615867
flow10,299,351,500,50,400,identity,identity,0.6575790883266732,0.022603086049434656,0.0030087139270232473,0.010025117792172036
flow10,349,351,500,50,400,identity,identity,0.6568067023571261,0.01641622412448066,8.950278048266775e-05,0.003926238311664182
flow10,399,351,500,50,400,identity,identity,0.6614766748659993,0.023214130093013277,0.005497096331759703,0.004421545272660772
flow10,424,351,500,50,400,identity,identity,0.6624254804202241,0.0031429663308258516,0.006880216190564741,0.002065611275397744
flow10,425,351,500,50,400,identity,identity,0.6640119977950053,0.006609610572548363,0.01478653774581253,-0.004243037033846659
flow10,438,351,500,50,400,identity,identity,0.665446531171474,0.024058292450717413,0.01477896165061561,0.0033507123528828094
flow10,439,351,500,50,400,identity,identity,0.6638364859143554,0.009659430232224101,0.017463744352753288,-0.001592977815473766
flow10,441,351,500,50,400,identity,identity,0.6564970250420005,0.006767391040202369,0.005372714248091128,0.002425852460923694
flow10,442,351,500,50,400,identity,identity,0.6669887622007841,0.023240691026135588,0.013574541544707795,0.00794074174101402
flow10,449,351,500,50,400,identity,identity,0.6587444938692123,0.011695893383249339,0.001264421370220182,0.008660317255833305
flow10,499,351,500,50,400,identity,identity,0.6556110962600012,0.03568493971278677,-0.015584465614474062,0.021035709769521713
