file,bytes,sha256,download_url,server_digest_matches,head_1024_bytes_match,tail_1024_bytes_match,head_sha256,tail_sha256,full_redownload,verified_via
formal_sv_d128_v21_full2500_run001_flow05_000_099.zip,438030266,69f222b943f3f5b7e0155178317952b7e0e1a2e43fe8dea52ecb48cd113fdfc5,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_000_099.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,3c1072eeb8e4a37082300d96d51237703ee2ab58d45ac4cf5ea836a4eb4ea91e,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_000_099.zip
formal_sv_d128_v21_full2500_run001_flow05_100_199.zip,435237136,aec6528af71b92a3ed4ebec9a60500a3edbdd6182a6d950e36750aa16dfe8507,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_100_199.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,c56ce1a75e32516c537ec252851590d6db006d0cd1978fa398a91b1617b27081,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_100_199.zip
formal_sv_d128_v21_full2500_run001_flow05_200_299.zip,435326661,f30e9ce409b2bd3ad69bc3f3762c38fdee29722f9d92f96aec05496b6e45d3a9,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_200_299.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,ac19903c85f78b12870ce21eae9d4a2405f542591cd0f0842a6eb78c07e29dbd,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_200_299.zip
formal_sv_d128_v21_full2500_run001_flow05_300_399.zip,435170872,5773bc34f1fa46c59f7dd1cb046e9869dfbc27e81c778550364a17b0ca3967f7,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_300_399.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,9a6c2854526c008cf9ccb3dda80e375f80747b8d5101f1443b11e77c1f54567e,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_300_399.zip
formal_sv_d128_v21_full2500_run001_flow05_400_499.zip,435643147,745fee1ac7f4585b5d38476cd15d3159ddc490cbbea37b035b5ac8c8441f73d2,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_400_499.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,69489032c2b581969434846f83923ee215aaf8d40341b65a90bcf63ba59693e5,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow05_400_499.zip
formal_sv_d128_v21_full2500_run001_flow07_000_099.zip,435468881,9f055a08186204e864c64dcc45fd591ba597665310e5705ac0ca12c865019de0,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_000_099.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,74eea31027c6023664ade52e2c19cf30ad05e3d7426d9817f551fed1b564bba7,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_000_099.zip
formal_sv_d128_v21_full2500_run001_flow07_100_199.zip,434924617,3f7b1f905da719b3ba05892090a2a9a00d1dbd0166b4ab46889773672db5f258,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_100_199.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,6c57180e857430e7262f2873e2229fae33931a075b63a952622a4a064b5e94ea,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_100_199.zip
formal_sv_d128_v21_full2500_run001_flow07_200_299.zip,434209160,e83dc80c3cf57c16719b12f82ef4c6ba21ca99fe884708cceb4dc04f8197e03e,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_200_299.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,a100056047619bc500802dce81234559dffe8397c8b9da5981229928676881d1,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_200_299.zip
formal_sv_d128_v21_full2500_run001_flow07_300_399.zip,436360897,305a82d898427fbb0b7ac86a02d6d5d1047a6bf8a2b2f3b194a740a9c39adc24,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_300_399.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,0a33e50ee070c337241c6c70b5a61174b7d4ea79ad0cb250f46628928fb0223d,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_300_399.zip
formal_sv_d128_v21_full2500_run001_flow07_400_499.zip,436624016,4708274c9c45f4ec165cc100344f16a0476049446a93b0c3d1d0fff8d961930a,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_400_499.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,323dff551bf52c10fb8c54faac37f82acae533e7212460b106bd91c01fd503a7,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow07_400_499.zip
formal_sv_d128_v21_full2500_run001_flow10_000_099.zip,435919235,12b80fcdc0589e27ba6fc9aad1419cdae4c6c1b79e45c2b3818b8cf99b12cc32,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_000_099.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,081fb464af30babe82bf805d3cda23fd31aca99a78d722f97fbae59cbf5da5ce,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_000_099.zip
formal_sv_d128_v21_full2500_run001_flow10_100_199.zip,435254217,f01f80f1bbb39ae0e7a4ff425af70a164a75f8d4e8f12391233510f8e676f1a6,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_100_199.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,a684e9071720711fdfa5d81165228cc336ee0754c3ebf3b60075f68a5a71e881,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_100_199.zip
formal_sv_d128_v21_full2500_run001_flow10_200_299.zip,435111228,7f56d3703af4740f6770376aa5afc53110e9512c37b70f09135eda19bf4ec688,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_200_299.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,ced19765e3ac3cc460b972baff3e2a294f660027f16699c27621150c92ea9b46,False,https://api.github.com/repos/bulbel-magnolia/OCTA-/releases/assets/547271034
formal_sv_d128_v21_full2500_run001_flow10_300_399.zip,435215907,18fb35408e8a2f670190b9d0f6813883e9572b2a4210c4ea9706be099f0199e5,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_300_399.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,09ebb069b327e0c1d48e0217d7af6d2e4597cd5ae53067626f23150460f9c09e,False,https://api.github.com/repos/bulbel-magnolia/OCTA-/releases/assets/547271652
formal_sv_d128_v21_full2500_run001_flow10_400_499.zip,438015639,978c032614b1cb78d24204181efcf4023fa35db5039f7c8cecff56ccd7144327,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow10_400_499.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,98df8c39e055ef0de214dcdc67aa93ae73198adbb7cc0ec7a43190614b7b37de,False,https://api.github.com/repos/bulbel-magnolia/OCTA-/releases/assets/547272562
