scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px,frame_index_0based,bscan_index_matlab_1based,primary_valid,localization_source
flow01,flow01_Bscan000,x_minus_1px,2119335628553.879,1306220922032.0647,0.6163350931458459,1306220922032.0647,15321.185742187501,76199.99999999999,76199.99999999999,138327128.4753244,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,222.87922012319203,234.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,x_plus_1px,2239085617616.3286,1482809169451.5068,0.6622387093129857,1482809169451.507,15321.185742187501,76199.99999999999,76199.99999999999,146143102.45263305,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,224.87922012319203,236.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,z_minus_1px,2192662667363.8984,1425707284953.7063,0.6502173390254076,1425707284953.706,15321.185742187501,76199.99999999999,76199.99999999999,143113118.2834181,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,212.5,128.0,12.7,6.7,231.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,z_plus_1px,2242830772930.4395,1332422161359.4443,0.5940805599071245,1332422161359.4446,15321.185742187501,76199.99999999999,76199.99999999999,146387545.36828795,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,214.5,128.0,12.7,6.7,233.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan000,background_skip_plus_2px,2264728077828.126,1361750849531.1067,0.6012866899398472,1361750849531.1064,15321.185742187501,76199.99999999999,76199.99999999999,147816762.7452036,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.87922012319203,235.87922012319203,213.5,128.0,12.7,6.7,232.6044776119403,0,1,True,direct_candidate_supported
flow01,flow01_Bscan001,x_minus_1px,3281028857132.6226,2245554254342.748,0.6844055179402466,2245554254342.7485,19155.5538671875,95249.99999999999,95250.0,171283424.11194175,True,True,True,True,,True,ok,0.0,500.0,190.5,222.82533600795097,237.82533600795097,213.5,128.0,12.7,6.7,232.6044776119403,1,2,True,short_gap_assisted
flow01,flow01_Bscan001,x_plus_1px,3153368339822.8584,2117084489751.6147,0.6713724061396972,2117084489751.6155,19155.5538671875,95249.99999999999,95250.0,164619011.3679991,True,True,True,True,,True,ok,0.0,500.0,190.5,224.82533600795097,239.82533600795097,213.5,128.0,12.7,6.7,232.6044776119403,1,2,True,short_gap_assisted
flow01,flow01_Bscan001,z_minus_1px,3066086591862.1514,2416503860996.744,0.7881394698409705,2416503860996.7446,19155.5538671875,95249.99999999999,95250.0,160062539.20510247,True,True,True,True,,True,ok,0.0,500.0,190.5,223.82533600795097,238.82533600795097,212.5,128.0,12.7,6.7,231.6044776119403,1,2,True,short_gap_assisted
flow01,flow01_Bscan001,z_plus_1px,3430771396345.8335,2050660099499.8684,0.5977256606732986,2050660099499.8684,19155.5538671875,95249.99999999999,95250.0,179100610.72275087,True,True,True,True,,True,ok,0.0,500.0,190.5,223.82533600795097,238.82533600795097,214.5,128.0,12.7,6.7,233.6044776119403,1,2,True,short_gap_assisted
flow01,flow01_Bscan001,background_skip_plus_2px,3282277618090.1025,2393969188972.152,0.729362189163377,2393969188972.1523,19155.5538671875,95249.99999999999,95250.0,171348614.65491107,True,True,True,True,,True,ok,0.0,500.0,190.5,223.82533600795097,238.82533600795097,213.5,128.0,12.7,6.7,232.6044776119403,1,2,True,short_gap_assisted
flow01,flow01_Bscan002,x_minus_1px,3050770617168.8516,1796691558697.4143,0.5889303996131848,1796691558697.4146,21708.58625,107949.99999999999,107949.99999999999,140532901.68395242,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,221.0608140934919,238.0608140934919,213.5,128.0,12.7,6.7,232.6044776119403,2,3,True,direct_candidate_supported
flow01,flow01_Bscan002,x_plus_1px,3036045047750.2046,1917073924800.758,0.6314379051198085,1917073924800.7585,21708.58625,107949.99999999999,107949.99999999999,139854572.41602755,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,223.0608140934919,240.0608140934919,213.5,128.0,12.7,6.7,232.6044776119403,2,3,True,direct_candidate_supported
flow01,flow01_Bscan002,z_minus_1px,2958815000081.3457,2007810227936.5933,0.6785859298000697,2007810227936.5935,21708.58625,107949.99999999999,107949.99999999999,136296991.7067421,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,222.0608140934919,239.0608140934919,212.5,128.0,12.7,6.7,231.6044776119403,2,3,True,direct_candidate_supported
flow01,flow01_Bscan002,z_plus_1px,3134940177376.1274,1793194159836.925,0.5720026725797961,1793194159836.9253,21708.58625,107949.99999999999,107949.99999999999,144410149.11213425,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,222.0608140934919,239.0608140934919,214.5,128.0,12.7,6.7,233.6044776119403,2,3,True,direct_candidate_supported
flow01,flow01_Bscan002,background_skip_plus_2px,3035465018077.3384,2005074684664.8076,0.6605494290739087,2005074684664.8076,21708.58625,107949.99999999999,107949.99999999999,139827853.51014456,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,222.0608140934919,239.0608140934919,213.5,128.0,12.7,6.7,232.6044776119403,2,3,True,direct_candidate_supported
