diameter_um,metric,n_common_flow_volumes,median_across_flows,min_across_flows,max_across_flows,absolute_range,range_percent_of_median,flow_at_min_mm_s,flow_at_max_mm_s,flow1_value,flow10_value,flow1_to_flow10_percent_difference,values_by_flow_json
128,source_mean_raw,5,154204959.81361899,123276893.01101619,155467660.52228588,32190767.511269689,20.875312668397505,7,3,149475499.77011237,154338856.44940418,3.2536145968881001,"{""1"":149475499.77011237,""3"":155467660.52228588,""5"":154204959.813619,""7"":123276893.01101619,""10"":154338856.44940418}"
128,tail_mean_raw_100um,5,71417104.33005555,69996569.384510368,72395639.028261155,2399069.6437507868,3.3592367910401957,5,1,72395639.028261155,71810269.427337751,-0.8085702519938982,"{""1"":72395639.02826115,""3"":71070096.2128617,""5"":69996569.38451037,""7"":71417104.33005555,""10"":71810269.42733775}"
128,tail_mean_raw_200um,5,57521284.150657237,56014685.492230721,58046859.441810563,2032173.9495798424,3.5329078263573899,5,7,57735989.723156095,57521284.150657237,-0.37187475875683534,"{""1"":57735989.723156095,""3"":56910875.55208073,""5"":56014685.49223072,""7"":58046859.44181056,""10"":57521284.15065724}"
128,tail_mean_raw_300um,5,49249705.73953104,48104364.41014722,49489038.404421635,1384673.9942744151,2.8115375990216021,5,7,49249705.73953104,49328429.264857009,0.15984567652508877,"{""1"":49249705.73953104,""3"":48456393.02751873,""5"":48104364.41014722,""7"":49489038.404421635,""10"":49328429.26485701}"
128,tail_mean_raw_500um,5,39774709.246335611,39176211.170652874,40208950.329087123,1032739.1584342495,2.5964719240012908,5,7,39973806.389386863,39774709.246335611,-0.49806901327293296,"{""1"":39973806.38938686,""3"":39258979.06231113,""5"":39176211.170652874,""7"":40208950.32908712,""10"":39774709.24633561}"
128,ri_tail_100um,5,0.47068195903111443,0.46479240330922622,0.57331493600650796,0.10852253269728174,23.056446208533742,5,7,0.4820855179508291,0.46592826556091776,-3.3515324124628267,"{""1"":0.4820855179508291,""3"":0.4706819590311144,""5"":0.4647924033092262,""7"":0.573314936006508,""10"":0.46592826556091776}"
128,ri_tail_200um,5,0.37404227426518855,0.3703086726001541,0.46504271858914081,0.094734045988986715,25.327096028140968,5,7,0.38844984551514228,0.37404227426518855,-3.7089913707771331,"{""1"":0.3884498455151423,""3"":0.37336217316576453,""5"":0.3703086726001541,""7"":0.4650427185891408,""10"":0.37404227426518855}"
128,ri_tail_300um,5,0.3193150635672396,0.31468877559387143,0.39801500860738426,0.083326233013512829,26.095302890703262,5,7,0.33143218359168181,0.3193150635672396,-3.6559877478194061,"{""1"":0.3314321835916818,""3"":0.31709357014191797,""5"":0.31468877559387143,""7"":0.39801500860738426,""10"":0.3193150635672396}"
128,ri_tail_500um,5,0.25946745609265892,0.25632875814502504,0.32317992329725742,0.066851165152232384,25.764759156677837,3,7,0.268942562232105,0.25946745609265892,-3.5230965529616669,"{""1"":0.268942562232105,""3"":0.25632875814502504,""5"":0.25664555029926406,""7"":0.3231799232972574,""10"":0.2594674560926589}"
235,source_mean_raw,5,183653097.83202252,177876490.24867928,189435690.56708992,11559200.318410635,6.2940404789595252,1,10,177876490.24867928,189435690.56708992,6.4984418695524946,"{""1"":177876490.24867928,""3"":184709761.97986138,""5"":183653097.83202252,""7"":182131252.49924386,""10"":189435690.56708992}"
235,tail_mean_raw_100um,5,50688172.083879545,49572377.954609632,51238962.861048497,1666584.9064388648,3.2879167622793246,1,10,49572377.954609632,51238962.861048497,3.3619224560194665,"{""1"":49572377.95460963,""3"":50962102.859649494,""5"":50254362.31005111,""7"":50688172.083879545,""10"":51238962.8610485}"
235,tail_mean_raw_200um,5,42101220.024023369,41328847.68481192,42316801.896130212,987954.21131829172,2.3466165843995861,1,3,41328847.68481192,42309358.622942351,2.3724613509869577,"{""1"":41328847.68481192,""3"":42316801.89613021,""5"":42101220.02402337,""7"":41950175.69349796,""10"":42309358.62294235}"
235,tail_mean_raw_300um,5,37063096.986265123,36478741.626309104,37419806.115453139,941064.48914403468,2.5390875713726113,1,3,36478741.626309104,37139710.331185162,1.8119284695921518,"{""1"":36478741.626309104,""3"":37419806.11545314,""5"":37063096.98626512,""7"":36962182.54470331,""10"":37139710.33118516}"
235,tail_mean_raw_500um,5,31795299.089069732,31444029.308825307,32226873.339851588,782844.03102628142,2.4621376538502187,1,3,31444029.308825307,31943516.680465519,1.5884967118384639,"{""1"":31444029.308825307,""3"":32226873.339851588,""5"":31795299.08906973,""7"":31695067.24571958,""10"":31943516.68046552}"
235,ri_tail_100um,5,0.2806880363563517,0.27347892088812459,0.28311047688752566,0.0096315559994010758,3.4314095194186294,5,1,0.28311047688752566,0.2774168692334088,-2.0110904113162937,"{""1"":0.28311047688752566,""3"":0.2814567258817756,""5"":0.2734789208881246,""7"":0.2806880363563517,""10"":0.2774168692334088}"
235,ri_tail_200um,5,0.23376365416959491,0.22825631330610921,0.23630795449388306,0.0080516411877738503,3.444351182982623,10,1,0.23630795449388306,0.22825631330610921,-3.4072662534863043,"{""1"":0.23630795449388306,""3"":0.2337636541695949,""5"":0.2302556080705461,""7"":0.23401573804140005,""10"":0.2282563133061092}"
