scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D128_F01_V01,128,1,0,486,2.6500000000000115,2.6500000000000115,0.45760895439720733,0.59773627198990953,0.762345104888831,90281327.673316076
D128_F01_V01,128,1,50,486,49.550000000000011,0.44999999999998863,0.34004987690793298,0.44646194893394775,0.59430842373945847,66922870.480621077
D128_F01_V01,128,1,100,486,103.15000000000002,3.1500000000000199,0.26535695744023469,0.32898030669938916,0.41472373681601482,49870958.002458461
D128_F01_V01,128,1,200,486,196.95000000000002,3.0499999999999829,0.18641318364716786,0.23726928906984723,0.30637527842091616,35772264.050505146
D128_F01_V01,128,1,300,486,297.45000000000005,2.5499999999999545,0.14783916025178961,0.18618909177846898,0.23310033664122348,27591403.302987516
D128_F01_V01,128,1,400,486,397.95000000000005,2.0499999999999545,0.13065017885564287,0.16593235069010226,0.20800234241652768,24915929.995602906
D128_F01_V01,128,1,500,486,498.45000000000005,1.5499999999999545,0.12322241733744048,0.15753648129063663,0.19964294722326315,23222788.83396031
D128_F03_V01,128,3,0,468,2.6500000000000115,2.6500000000000115,0.41856850872640128,0.57229408315229846,0.79652496407115758,88079003.043548971
D128_F03_V01,128,3,50,468,49.550000000000011,0.44999999999998863,0.32326690991429885,0.41917028792259281,0.54731931069739992,62301260.373117365
D128_F03_V01,128,3,100,468,103.15000000000002,3.1500000000000199,0.2478297630571337,0.31851437766238649,0.40117331658781963,49554721.573398948
D128_F03_V01,128,3,200,468,196.95000000000002,3.0499999999999829,0.18180299932861613,0.23328968240879744,0.28910792389449769,35151760.014711812
D128_F03_V01,128,3,300,468,297.45000000000005,2.5499999999999545,0.14283910068088557,0.18495352865488435,0.23527162926372303,28713309.741877209
D128_F03_V01,128,3,400,468,397.95000000000005,2.0499999999999545,0.12372121868730296,0.15940023261337166,0.20401367162390274,24461028.608719241
D128_F03_V01,128,3,500,468,498.45000000000005,1.5499999999999545,0.11851413173278133,0.15218691789049704,0.19198507037213247,23397542.563355595
D128_F05_V01,128,5,0,491,2.6500000000000115,2.6500000000000115,0.43247497909124399,0.56226564287445335,0.75432509489488553,85188843.069548309
D128_F05_V01,128,5,50,491,49.550000000000011,0.44999999999998863,0.31484061058646556,0.42612050884617408,0.5420065981858353,63717722.340389557
D128_F05_V01,128,5,100,491,103.15000000000002,3.1500000000000199,0.24828595659427016,0.31726300668726354,0.40676624151640184,48080602.262877874
D128_F05_V01,128,5,200,491,196.95000000000002,3.0499999999999829,0.17623621128810102,0.22130744986632006,0.28037567979530265,34020368.83253932
D128_F05_V01,128,5,300,491,297.45000000000005,2.5499999999999545,0.13980721783065705,0.17933975101900046,0.23327692294208413,28027696.516853098
D128_F05_V01,128,5,400,491,397.95000000000005,2.0499999999999545,0.12803523859684718,0.16131354049215077,0.20406257261299471,24909712.565259978
D128_F05_V01,128,5,500,491,498.45000000000005,1.5499999999999545,0.12028082119073086,0.15363476564718545,0.19736167633998172,23705815.577341583
D128_F07_V01,128,7,0,493,2.6500000000000115,2.6500000000000115,0.53368400464951748,0.7157824625698116,0.97045780477260135,88828036.442771688
D128_F07_V01,128,7,50,493,49.550000000000011,0.44999999999998863,0.38746946704571839,0.52522342281830625,0.71956043059422015,65267408.296031669
D128_F07_V01,128,7,100,493,103.15000000000002,3.1500000000000199,0.31812908656985223,0.40455736568266915,0.51988615800884064,51647264.997572951
D128_F07_V01,128,7,200,493,196.95000000000002,3.0499999999999829,0.21714627512300883,0.2814107990281754,0.36050262228124857,35021909.142613553
D128_F07_V01,128,7,300,493,297.45000000000005,2.5499999999999545,0.1702652138621977,0.22072269683977438,0.28100448887689466,27932238.311885878
D128_F07_V01,128,7,400,493,397.95000000000005,2.0499999999999545,0.15819960462371596,0.19919691580287308,0.25294621338345818,25620355.608684428
D128_F07_V01,128,7,500,493,498.45000000000005,1.5499999999999545,0.1498165151982726,0.19267302189274982,0.24192504722400832,24401605.651410971
D128_F10_V01,128,10,0,484,2.6500000000000115,2.6500000000000115,0.43902448481349327,0.57340389422924654,0.77468442105349333,90107083.268133014
D128_F10_V01,128,10,50,484,49.550000000000011,0.44999999999998863,0.33735579844370217,0.41600644946468562,0.52000611524638329,65140521.949862152
D128_F10_V01,128,10,100,484,103.15000000000002,3.1500000000000199,0.23894088352301845,0.32263156718145602,0.41019481438740679,48956247.136163972
D128_F10_V01,128,10,200,484,196.95000000000002,3.0499999999999829,0.18271032485965943,0.23004072255141531,0.29227479827954117,35471155.758877993
D128_F10_V01,128,10,300,484,297.45000000000005,2.5499999999999545,0.13782064566063829,0.18177025062889152,0.23214388653352636,28230431.944107611
D128_F10_V01,128,10,400,484,397.95000000000005,2.0499999999999545,0.12146856063120129,0.15697337535716116,0.1993266388063169,24153644.288866527
D128_F10_V01,128,10,500,484,498.45000000000005,1.5499999999999545,0.11386430535906789,0.14925303797019474,0.19031460721456916,22834372.820232183
D235_F01_V01,235,1,0,448,2.8500000000000627,2.8500000000000627,0.30143775978025211,0.35302246121867348,0.41732523687717282,61989801.171053082
D235_F01_V01,235,1,50,448,49.750000000000064,0.249999999999936,0.22850806195992621,0.27733897563959409,0.3424792986431841,49169467.03776627
D235_F01_V01,235,1,100,448,96.650000000000063,3.349999999999937,0.1871972422098685,0.21595803804160019,0.26195225435982739,38826261.016934186
D235_F01_V01,235,1,200,448,197.15000000000009,2.849999999999937,0.13788988583454651,0.16190415464522881,0.1912454040272992,28728906.70806326
D235_F01_V01,235,1,300,448,297.65000000000009,2.3499999999999086,0.1172824880663095,0.13915957855487709,0.1663646125961975,24764419.328972988
D235_F01_V01,235,1,400,448,398.15000000000009,1.8499999999999088,0.1128441884245184,0.1326824168490067,0.15785518252178271,23605477.799722679
D235_F01_V01,235,1,500,448,498.65000000000009,1.3499999999999093,0.1083605266044257,0.12929541274443671,0.15298711633625439,23148676.516975209
D235_F03_V01,235,3,0,448,2.8500000000000627,2.8500000000000627,0.29387315003282011,0.34468246862477447,0.40071713975896578,63651141.201891296
D235_F03_V01,235,3,50,448,49.750000000000064,0.249999999999936,0.23294856823668891,0.2734973616450343,0.3198916396096973,49796703.290093049
D235_F03_V01,235,3,100,448,96.650000000000063,3.349999999999937,0.1834467695577508,0.21788079762977169,0.25756358897144038,40000306.983426414
D235_F03_V01,235,3,200,448,197.15000000000009,2.849999999999937,0.13488250914823691,0.16091550259817131,0.18779546603417219,29597507.887563314
D235_F03_V01,235,3,300,448,297.65000000000009,2.3499999999999086,0.1163369491715508,0.137754103323038,0.1627142941718748,25356846.412895165
D235_F03_V01,235,3,400,448,398.15000000000009,1.8499999999999088,0.11222262861935429,0.13238093617752,0.1550339691173068,24084148.22057955
D235_F03_V01,235,3,500,448,498.65000000000009,1.3499999999999093,0.1076416259148965,0.12828068211508481,0.15074058429666301,23161269.972704746
D235_F05_V01,235,5,0,424,2.8500000000000627,2.8500000000000627,0.28774436003699061,0.34563253687836509,0.4143217683941145,64876509.616073363
D235_F05_V01,235,5,50,424,49.750000000000064,0.249999999999936,0.2235197375345184,0.2605674587480219,0.31393091358354808,48437359.358023509
D235_F05_V01,235,5,100,424,96.650000000000063,3.349999999999937,0.17703842367067621,0.2112787045240809,0.2434960748502053,38598520.200845048
D235_F05_V01,235,5,200,424,197.15000000000009,2.849999999999937,0.13131907173992249,0.1567438314594051,0.1857555287945436,28909799.15020746
D235_F05_V01,235,5,300,424,297.65000000000009,2.3499999999999086,0.11449657170284649,0.13420692537780329,0.1574096546401326,24752640.531970643
D235_F05_V01,235,5,400,424,398.15000000000009,1.8499999999999088,0.1079711644433735,0.1308927742939954,0.15233951442560489,23839845.520179056
D235_F05_V01,235,5,500,424,498.65000000000009,1.3499999999999093,0.1063982096437603,0.12714948396539091,0.14706379342808809,23183692.390640527
D235_F07_V01,235,7,0,444,2.8500000000000627,2.8500000000000627,0.29710376481604711,0.35175746741328251,0.4180692540165693,64336086.550090015
D235_F07_V01,235,7,50,444,49.750000000000064,0.249999999999936,0.22641103548919669,0.2671236034528246,0.32651975054012911,48763895.475991055
D235_F07_V01,235,7,100,444,96.650000000000063,3.349999999999937,0.17943298189466581,0.20903640990778319,0.25080995608973961,37764860.973856106
D235_F07_V01,235,7,200,444,197.15000000000009,2.849999999999937,0.1352056896390017,0.1594014278040701,0.1888380577667457,29303784.102655828
D235_F07_V01,235,7,300,444,297.65000000000009,2.3499999999999086,0.11316189844103711,0.13512143884282479,0.15937718607160109,24861270.913073301
D235_F07_V01,235,7,400,444,398.15000000000009,1.8499999999999088,0.1068191372035299,0.12658584565802991,0.14837721262058651,23053761.779172014
D235_F07_V01,235,7,500,444,498.65000000000009,1.3499999999999093,0.10693848891505391,0.1233973471507952,0.14498592008277669,22664984.78202736
D235_F10_V01,235,10,0,461,2.8500000000000627,2.8500000000000627,0.28331661581062861,0.3424930827428076,0.4085984636465958,63197488.761979952
D235_F10_V01,235,10,50,461,49.750000000000064,0.249999999999936,0.2212943771307275,0.26794809130054081,0.32392923679076641,49623484.686962232
D235_F10_V01,235,10,100,461,96.650000000000063,3.349999999999937,0.17331974431615019,0.20838471425650901,0.25200108103152241,38966162.819596015
D235_F10_V01,235,10,200,461,197.15000000000009,2.849999999999937,0.12700461800203161,0.15192400701632991,0.1801197408808447,28524235.536486328
D235_F10_V01,235,10,300,461,297.65000000000009,2.3499999999999086,0.1075570433991021,0.13115674162176921,0.15463899139029441,24381542.063253544
D235_F10_V01,235,10,400,461,398.15000000000009,1.8499999999999088,0.104548836170221,0.1245942797028842,0.1436572976370388,22984706.225040216
D235_F10_V01,235,10,500,461,498.65000000000009,1.3499999999999093,0.10002509407267091,0.12076231133423181,0.1432578829144055,22870844.170865376
