diameter_um,source_mean_raw_across_common_flow_median,adjacent_source_mean_change_pct,upper_mean_raw_across_common_flow_median,middle_mean_raw_across_common_flow_median,lower_mean_raw_across_common_flow_median,middle_to_upper_ratio,lower_to_upper_ratio,upper_q_fraction_median,middle_q_fraction_median,lower_q_fraction_median,strict_order_common_volumes,strict_order_common_segments
128,154204959.813619,,150860153.93285525,157700789.8919878,134899096.82484913,1.0762800747909935,0.9336924745053455,0.28633811870495585,0.436071412711246,0.26230297127588409,0/5,8/25
235,183653097.83202255,19.096751527315515,303001048.97051156,162453551.00263619,89014366.160004362,0.5327067145841251,0.2937757689699198,0.4851505853722341,0.36848616096640652,0.14224803856056578,5/5,25/25
285,187971723.14791089,2.3515123713504504,337896974.45911533,156516885.98519245,79348603.182323292,0.46553517213234913,0.23850848670261543,0.5232025624389154,0.34738791094825811,0.12389231868029052,5/5,25/25
500,102258896.48791288,-45.59878753282079,210310394.95065603,68352476.38951546,46149117.934181325,0.3311322984305112,0.22122880972987602,0.58988459913816826,0.27818512920854449,0.13012688562508429,5/5,25/25
