scan_id,diameter_um,flow_mm_s,subset,n_frames,fraction_of_valid_frames,x1_p10_um,x1_p90_um,z_top_p10_px,z_top_p90_px,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D128_F01_V01,128,1,all_valid,486,1,139.69999999999999,215.89999999999998,193.5,207.5,149475499.77011237,39973806.389386863,0.268942562232105,common_grid
D128_F01_V01,128,1,direct_candidate_supported_only,320,0.65843621399176955,139.69999999999999,215.89999999999998,193.5,207.5,150540579.65881869,39922660.809501939,0.26805297372277082,common_grid
D128_F01_V01,128,1,central80_x1,431,0.88683127572016462,139.69999999999999,215.89999999999998,193.5,207.5,149320636.63303789,39947528.177830435,0.26952967519947141,common_grid
D128_F01_V01,128,1,central80_z_top,411,0.84567901234567899,139.69999999999999,215.89999999999998,193.5,207.5,147981540.05225587,39642550.933259085,0.26813960652782587,common_grid
D128_F01_V01,128,1,central80_x1_z_top,368,0.75720164609053497,139.69999999999999,215.89999999999998,193.5,207.5,148015141.78363937,39621865.453251272,0.26764539069842708,common_grid
D128_F01_V01,128,1,direct_plus_central_geometry,244,0.50205761316872433,139.69999999999999,215.89999999999998,193.5,207.5,148158515.90189856,39465790.780752167,0.26758646907688999,common_grid
D128_F03_V01,128,3,all_valid,468,1,139.69999999999999,215.89999999999998,187.5,202.5,155467660.52228588,39258979.062311128,0.25632875814502504,common_grid
D128_F03_V01,128,3,direct_candidate_supported_only,300,0.64102564102564108,139.69999999999999,215.89999999999998,187.5,202.5,155949633.89490145,39276372.343917951,0.25548485493820916,common_grid
D128_F03_V01,128,3,central80_x1,414,0.88461538461538458,139.69999999999999,215.89999999999998,187.5,202.5,156124336.6973508,39363093.337627009,0.25611110038712925,common_grid
D128_F03_V01,128,3,central80_z_top,431,0.92094017094017089,139.69999999999999,215.89999999999998,187.5,202.5,154265400.1970976,39236668.34340293,0.25756552655050596,common_grid
D128_F03_V01,128,3,central80_x1_z_top,379,0.80982905982905984,139.69999999999999,215.89999999999998,187.5,202.5,154618219.21918291,39311404.197005354,0.25783969669001267,common_grid
D128_F03_V01,128,3,direct_plus_central_geometry,244,0.5213675213675214,139.69999999999999,215.89999999999998,187.5,202.5,154661338.72987962,39334626.453188747,0.25757511935073119,common_grid
D128_F05_V01,128,5,all_valid,491,1,139.69999999999999,215.89999999999998,191.5,207.5,154204959.81361899,39176211.170652874,0.25664555029926406,common_grid
D128_F05_V01,128,5,direct_candidate_supported_only,325,0.66191446028513234,139.69999999999999,215.89999999999998,191.5,207.5,151948924.02930897,39176211.170652874,0.25748172548098414,common_grid
D128_F05_V01,128,5,central80_x1,444,0.90427698574338089,139.69999999999999,215.89999999999998,191.5,207.5,154256004.18525359,39174230.25191468,0.25653734047819304,common_grid
D128_F05_V01,128,5,central80_z_top,427,0.86965376782077397,139.69999999999999,215.89999999999998,191.5,207.5,152386478.00735244,38986264.051585197,0.25642913065712203,common_grid
D128_F05_V01,128,5,central80_x1_z_top,383,0.78004073319755596,139.69999999999999,215.89999999999998,191.5,207.5,152386478.00735244,38986264.051585197,0.25637963317470042,common_grid
D128_F05_V01,128,5,direct_plus_central_geometry,244,0.4969450101832994,139.69999999999999,215.89999999999998,191.5,207.5,149060600.8717598,38903974.572016083,0.25870910421547955,common_grid
D128_F07_V01,128,7,all_valid,493,1,127,203.19999999999999,195.5,209.5,123276893.01101619,40208950.329087123,0.32317992329725742,common_grid
D128_F07_V01,128,7,direct_candidate_supported_only,327,0.66328600405679516,127,203.19999999999999,195.5,209.5,124740041.51248746,40124024.054981962,0.32131088395282709,common_grid
D128_F07_V01,128,7,central80_x1,449,0.91075050709939143,127,203.19999999999999,195.5,209.5,124804040.11851883,40348423.502959087,0.32260650776767857,common_grid
D128_F07_V01,128,7,central80_z_top,434,0.88032454361054768,127,203.19999999999999,195.5,209.5,121726279.56349133,39961534.888393909,0.32588504399829088,common_grid
D128_F07_V01,128,7,central80_x1_z_top,392,0.79513184584178498,127,203.19999999999999,195.5,209.5,122602688.94678533,40006306.120227665,0.32383433034789111,common_grid
D128_F07_V01,128,7,direct_plus_central_geometry,256,0.51926977687626774,127,203.19999999999999,195.5,209.5,123428612.49283208,39997715.974499002,0.32223306106042948,common_grid
D128_F10_V01,128,10,all_valid,484,1,139.69999999999999,203.19999999999999,189.5,206.5,154338856.44940418,39774709.246335611,0.25946745609265892,common_grid
D128_F10_V01,128,10,direct_candidate_supported_only,302,0.62396694214876036,139.69999999999999,203.19999999999999,189.5,206.5,153850566.8127057,39655875.553223059,0.26248327053621434,common_grid
D128_F10_V01,128,10,central80_x1,405,0.83677685950413228,139.69999999999999,203.19999999999999,189.5,206.5,155893123.69737831,39812687.858590305,0.2590021204192528,common_grid
D128_F10_V01,128,10,central80_z_top,424,0.87603305785123964,139.69999999999999,203.19999999999999,189.5,206.5,152548717.63742578,39394716.305584028,0.25928391219449354,common_grid
D128_F10_V01,128,10,central80_x1_z_top,353,0.72933884297520657,139.69999999999999,203.19999999999999,189.5,206.5,154135070.93977302,39465798.484515697,0.25681384129700702,common_grid
D128_F10_V01,128,10,direct_plus_central_geometry,225,0.46487603305785125,139.69999999999999,203.19999999999999,189.5,206.5,154052284.79294217,39380658.742634997,0.26193068978537548,common_grid
D235_F01_V01,235,1,all_valid,448,1,304.79999999999995,368.30000000000001,190.5,199.5,177876490.24867928,31444029.308825307,0.17777253294335629,common_grid
D235_F01_V01,235,1,direct_candidate_supported_only,290,0.6473214285714286,304.79999999999995,368.30000000000001,190.5,199.5,176383645.26064062,31330428.082044277,0.17768168873181625,common_grid
D235_F01_V01,235,1,central80_x1,374,0.8348214285714286,304.79999999999995,368.30000000000001,190.5,199.5,178702382.07322669,31421163.082619742,0.17751840972581362,common_grid
D235_F01_V01,235,1,central80_z_top,379,0.8459821428571429,304.79999999999995,368.30000000000001,190.5,199.5,176376610.21097419,31273865.26767312,0.1779372183695884,common_grid
D235_F01_V01,235,1,central80_x1_z_top,317,0.7075892857142857,304.79999999999995,368.30000000000001,190.5,199.5,176861678.08324438,31197248.262553334,0.17778269787070031,common_grid
D235_F01_V01,235,1,direct_plus_central_geometry,203,0.453125,304.79999999999995,368.30000000000001,190.5,199.5,175360224.25093934,31197248.262553334,0.17838804783946341,common_grid
D235_F03_V01,235,3,all_valid,448,1,304.79999999999995,381,191.5,201.5,184709761.97986138,32226873.339851588,0.17681734386491266,common_grid
D235_F03_V01,235,3,direct_candidate_supported_only,306,0.6830357142857143,304.79999999999995,381,191.5,201.5,184421791.54131088,32034720.759724911,0.17655419664457095,common_grid
D235_F03_V01,235,3,central80_x1,407,0.9084821428571429,304.79999999999995,381,191.5,201.5,184421857.11817127,32269246.849704929,0.17686397743476301,common_grid
D235_F03_V01,235,3,central80_z_top,397,0.8861607142857143,304.79999999999995,381,191.5,201.5,182401761.32858959,32169337.52073238,0.17797663747713441,common_grid
D235_F03_V01,235,3,central80_x1_z_top,360,0.8035714285714286,304.79999999999995,381,191.5,201.5,181915606.87668929,32172184.186785273,0.17811249781641819,common_grid
D235_F03_V01,235,3,direct_plus_central_geometry,244,0.5446428571428571,304.79999999999995,381,191.5,201.5,181844455.48733005,32025423.273867399,0.17772377509916415,common_grid
D235_F05_V01,235,5,all_valid,424,1,304.79999999999995,381,191.5,201.5,183653097.83202252,31795299.089069732,0.17337407043624395,common_grid
D235_F05_V01,235,5,direct_candidate_supported_only,282,0.66509433962264153,304.79999999999995,381,191.5,201.5,182797700.91916895,31781690.40304295,0.17414638189389647,common_grid
D235_F05_V01,235,5,central80_x1,395,0.93160377358490565,304.79999999999995,381,191.5,201.5,183354528.03977269,31845719.054530881,0.1740685346815205,common_grid
D235_F05_V01,235,5,central80_z_top,383,0.90330188679245282,304.79999999999995,381,191.5,201.5,181653567.56234497,31779014.248627115,0.1747009806021281,common_grid
D235_F05_V01,235,5,central80_x1_z_top,357,0.84198113207547165,304.79999999999995,381,191.5,201.5,181653567.56234497,31784930.453624077,0.1750404024358326,common_grid
D235_F05_V01,235,5,direct_plus_central_geometry,242,0.57075471698113212,304.79999999999995,381,191.5,201.5,181320811.74242318,31815564.607384644,0.17547119596371097,common_grid
D235_F07_V01,235,7,all_valid,444,1,317.5,381,191.5,199.5,182131252.49924386,31695067.245719582,0.17529068400131981,common_grid
D235_F07_V01,235,7,direct_candidate_supported_only,289,0.65090090090090091,317.5,381,191.5,199.5,180996856.88056856,31664394.666930284,0.17798343225869051,common_grid
D235_F07_V01,235,7,central80_x1,375,0.84459459459459463,317.5,381,191.5,199.5,182714122.45286125,31696003.060486216,0.17521154346846199,common_grid
D235_F07_V01,235,7,central80_z_top,396,0.89189189189189189,317.5,381,191.5,199.5,180786764.71921903,31646024.10166999,0.1772755280150593,common_grid
D235_F07_V01,235,7,central80_x1_z_top,338,0.76126126126126126,317.5,381,191.5,199.5,181172361.90801653,31695067.245719582,0.17676016672877404,common_grid
D235_F07_V01,235,7,direct_plus_central_geometry,229,0.51576576576576572,317.5,381,191.5,199.5,180753894.8534328,31645680.367667712,0.17871725858266871,common_grid
D235_F10_V01,235,10,all_valid,461,1,304.79999999999995,381,191.5,200.5,189435690.56708992,31943516.680465519,0.16937144089605621,common_grid
D235_F10_V01,235,10,direct_candidate_supported_only,294,0.63774403470715835,304.79999999999995,381,191.5,200.5,187558732.25969356,31815838.095299199,0.17041864597501544,common_grid
D235_F10_V01,235,10,central80_x1,412,0.89370932754880694,304.79999999999995,381,191.5,200.5,189751876.76841193,31994193.689196363,0.16912713988567907,common_grid
D235_F10_V01,235,10,central80_z_top,376,0.81561822125813443,304.79999999999995,381,191.5,200.5,186576665.83450454,31663306.576526619,0.17176134657017875,common_grid
D235_F10_V01,235,10,central80_x1_z_top,337,0.73101952277657267,304.79999999999995,381,191.5,200.5,187192577.85291776,31731392.777666464,0.17100218335270079,common_grid
D235_F10_V01,235,10,direct_plus_central_geometry,218,0.47288503253796094,304.79999999999995,381,191.5,200.5,183921319.11915976,31788086.388779141,0.17362742975129503,common_grid
D285_F01_V01,285,1,all_valid,453,1,368.30000000000001,444.5,171.5,193.5,182701265.06734148,29879904.592537452,0.1625186793580691,common_grid
D285_F01_V01,285,1,direct_candidate_supported_only,350,0.77262693156732887,368.30000000000001,444.5,171.5,193.5,181585268.22734308,29788169.67000661,0.16384820091296926,common_grid
D285_F01_V01,285,1,central80_x1,389,0.85871964679911694,368.30000000000001,444.5,171.5,193.5,182100337.61441809,29918294.511466067,0.16332917825093801,common_grid
D285_F01_V01,285,1,central80_z_top,379,0.83664459161147908,368.30000000000001,444.5,171.5,193.5,182591331.26296279,29808499.62036952,0.16265226224043369,common_grid
D285_F01_V01,285,1,central80_x1_z_top,323,0.71302428256070638,368.30000000000001,444.5,171.5,193.5,182413850.5934684,29851704.559227925,0.1633634960964831,common_grid
D285_F01_V01,285,1,direct_plus_central_geometry,248,0.54746136865342165,368.30000000000001,444.5,171.5,193.5,181585268.22734308,29788169.67000661,0.16407907609157299,common_grid
D285_F03_V01,285,3,all_valid,474,1,368.30000000000001,444.5,172.5,195.5,187971723.14791086,30325801.393416092,0.16206788236239961,common_grid
D285_F03_V01,285,3,direct_candidate_supported_only,347,0.73206751054852326,368.30000000000001,444.5,172.5,195.5,186248873.51738936,30256367.014478646,0.16226994386768859,common_grid
D285_F03_V01,285,3,central80_x1,423,0.89240506329113922,368.30000000000001,444.5,172.5,195.5,187046842.19799545,30306673.9145624,0.16262929420533451,common_grid
D285_F03_V01,285,3,central80_z_top,421,0.88818565400843885,368.30000000000001,444.5,172.5,195.5,186248873.51738936,30220328.044064529,0.1631587220937675,common_grid
D285_F03_V01,285,3,central80_x1_z_top,374,0.78902953586497893,368.30000000000001,444.5,172.5,195.5,185323000.39152357,30193223.494025607,0.16357024494432215,common_grid
D285_F03_V01,285,3,direct_plus_central_geometry,285,0.60126582278481011,368.30000000000001,444.5,172.5,195.5,184331938.65838397,30194570.158260461,0.16405404417845029,common_grid
D285_F05_V01,285,5,all_valid,492,1,368.30000000000001,444.5,170.5,196.5,188761489.6040985,30196015.411628582,0.15851643840265062,common_grid
D285_F05_V01,285,5,direct_candidate_supported_only,348,0.70731707317073167,368.30000000000001,444.5,170.5,196.5,187653470.23645556,30190004.569349054,0.16058563023034331,common_grid
D285_F05_V01,285,5,central80_x1,448,0.91056910569105687,368.30000000000001,444.5,170.5,196.5,188361119.93057305,30237447.043570124,0.15877924792371528,common_grid
D285_F05_V01,285,5,central80_z_top,408,0.82926829268292679,368.30000000000001,444.5,170.5,196.5,188591105.09192926,30077410.425550863,0.158601838101911,common_grid
D285_F05_V01,285,5,central80_x1_z_top,372,0.75609756097560976,368.30000000000001,444.5,170.5,196.5,188114978.68459511,30141490.949575007,0.15939949876589465,common_grid
D285_F05_V01,285,5,direct_plus_central_geometry,276,0.56097560975609762,368.30000000000001,444.5,170.5,196.5,187165305.74377549,30143472.207586728,0.16105577066171639,common_grid
D285_F07_V01,285,7,all_valid,458,1,368.29999999999961,431.80000000000001,169.5,188.5,191099592.95647657,30866888.17562015,0.16095275520138355,common_grid
D285_F07_V01,285,7,direct_candidate_supported_only,353,0.77074235807860259,368.29999999999961,431.80000000000001,169.5,188.5,191827247.825216,30899858.260535777,0.1599140821726647,common_grid
D285_F07_V01,285,7,central80_x1,383,0.83624454148471616,368.29999999999961,431.80000000000001,169.5,188.5,192469035.87392905,30903122.433653958,0.1601685602887718,common_grid
D285_F07_V01,285,7,central80_z_top,381,0.83187772925764192,368.29999999999961,431.80000000000001,169.5,188.5,190398106.9320949,30677967.589610841,0.16104590133927971,common_grid
D285_F07_V01,285,7,central80_x1_z_top,321,0.70087336244541487,368.29999999999961,431.80000000000001,169.5,188.5,191827247.825216,30742761.21598677,0.16020207296718031,common_grid
D285_F07_V01,285,7,direct_plus_central_geometry,253,0.55240174672489084,368.29999999999961,431.80000000000001,169.5,188.5,193782304.88890436,30813777.72897603,0.15934377114725651,common_grid
D285_F10_V01,285,10,all_valid,494,1,368.30000000000001,444.5,173.5,185.5,181027984.37412828,29135322.83867304,0.16013145527090444,common_grid
D285_F10_V01,285,10,direct_candidate_supported_only,357,0.72267206477732793,368.30000000000001,444.5,173.5,185.5,180940969.35826328,29117260.06680632,0.16034570161610801,common_grid
D285_F10_V01,285,10,central80_x1,451,0.91295546558704455,368.30000000000001,444.5,173.5,185.5,180712707.00218037,29140747.920012377,0.16029268103798511,common_grid
D285_F10_V01,285,10,central80_z_top,436,0.88259109311740891,368.30000000000001,444.5,173.5,185.5,179927732.5942595,29051992.532764904,0.16140864088918544,common_grid
D285_F10_V01,285,10,central80_x1_z_top,398,0.80566801619433204,368.30000000000001,444.5,173.5,185.5,179673194.3132475,29048026.675648976,0.16147536433522455,common_grid
D285_F10_V01,285,10,direct_plus_central_geometry,285,0.57692307692307687,368.30000000000001,444.5,173.5,185.5,178714259.97495073,29030101.845281959,0.1615037255885676,common_grid
D500_F01_V01,500,1,all_valid,500,1,584.19999999999993,660.39999999999998,164.5,182.5,102258896.48791289,24194620.539239511,0.23497901579995531,common_grid
