scan_id,diameter_um,flow_mm_s,nominal_frames,geometry_valid_frames,geometry_valid_fraction,grid_scope,source_mean_raw_median,source_mean_raw_q1,source_mean_raw_q3,tail_mean_raw_100um_median,tail_mean_raw_100um_q1,tail_mean_raw_100um_q3,tail_mean_raw_200um_median,tail_mean_raw_200um_q1,tail_mean_raw_200um_q3,tail_mean_raw_300um_median,tail_mean_raw_300um_q1,tail_mean_raw_300um_q3,tail_mean_raw_500um_median,tail_mean_raw_500um_q1,tail_mean_raw_500um_q3,ri_tail_100um_median,ri_tail_100um_q1,ri_tail_100um_q3,ri_tail_200um_median,ri_tail_200um_q1,ri_tail_200um_q3,ri_tail_300um_median,ri_tail_300um_q1,ri_tail_300um_q3,ri_tail_500um_median,ri_tail_500um_q1,ri_tail_500um_q3,ri_tail_median
D500_F02_V01,500,2,500,493,0.98599999999999999,d500_extension,102309084.69468001,91661647.089425981,116592591.52435182,30068620.86917872,29001755.09331337,31332592.139372356,27684592.274894923,26842248.324212138,28707148.877153937,26083441.705882445,25351070.861324426,27143741.642624628,24534158.85559801,23966557.569770802,25526729.171809129,0.29337803550782571,0.2641814552399529,0.31962845315571148,0.26892890095749922,0.24280923551747491,0.29515503888394629,0.25383758119451261,0.22900297101345979,0.27706351983152278,0.2393583484007043,0.21604342002136981,0.26139664907872168,0.2393583484007043
D500_F09_V01,500,9,500,482,0.96399999999999997,d500_extension,101843473.41110751,94221104.57982035,114724333.23909357,32997163.226865791,31839963.570415244,34450582.782540977,30339254.750862714,29368472.295269404,31318848.339538023,28564655.437522229,27758563.758777525,29474446.69445239,27014460.558832109,26511135.597834345,27703732.708609395,0.31926431949197509,0.29430110605410398,0.34428885205354764,0.29476683109527924,0.26964489040992717,0.31678927152835418,0.27708815950904575,0.25430647766317116,0.29744250747698814,0.26268423619492109,0.23939467763370345,0.28389455338544078,0.26268423619492109
D500_F12_V01,500,12,500,500,1,d500_extension,103872200.47110978,94349003.505722582,116766416.82617214,32961304.319544077,32012484.519355178,34178241.844667137,30188535.586232632,29378576.084068023,31210750.861760303,28352811.370008111,27704852.124537364,29284754.295928381,26883236.521668866,26403193.345044211,27477041.870447755,0.31655112050729439,0.29009061275244119,0.3443346030427526,0.29078106416398108,0.2649080218789428,0.31498053595745468,0.274748364310888,0.24887720361776233,0.29625446690239038,0.25900441820632619,0.23527955212952972,0.28166526758458815,0.25900441820632619
