scan_id,diameter_um,flow_mm_s,segment_index,segment_frames_0based,valid_frame_count,nominal_frame_count,valid_fraction,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D128_F01_V01,128,1,0,0-99,100,100,1,156821568.47186434,41113962.958486199,0.26838717244081695,common_grid
D128_F01_V01,128,1,1,100-199,99,100,0.98999999999999999,164957933.60089538,40334650.879478022,0.25118171636278142,common_grid
D128_F01_V01,128,1,2,200-299,97,100,0.96999999999999997,143020480.91590193,37947264.789951541,0.26992170260709725,common_grid
D128_F01_V01,128,1,3,300-399,98,100,0.97999999999999998,151221237.26550961,39300893.718488418,0.26155674902801107,common_grid
D128_F01_V01,128,1,4,400-499,92,100,0.92000000000000004,137068180.49954879,40615880.999858536,0.29619943947583793,common_grid
D128_F03_V01,128,3,0,0-99,94,100,0.93999999999999995,167436299.16374156,40280597.286159813,0.25131652217144951,common_grid
D128_F03_V01,128,3,1,100-199,95,100,0.94999999999999996,174563735.80570307,39051078.83807873,0.21973268516434566,common_grid
D128_F03_V01,128,3,2,200-299,87,100,0.87,140757084.92775187,38627180.55649472,0.28023168730510101,common_grid
D128_F03_V01,128,3,3,300-399,100,100,1,149644221.8607868,38014471.869162731,0.25895354849326435,common_grid
D128_F03_V01,128,3,4,400-499,92,100,0.92000000000000004,147150038.90474051,40496264.868876576,0.28001722413444685,common_grid
D128_F05_V01,128,5,0,0-99,94,100,0.93999999999999995,171697456.47433603,39766354.10568282,0.23291985824530215,common_grid
D128_F05_V01,128,5,1,100-199,100,100,1,171689712.88900584,40179698.236542478,0.23164800229403726,common_grid
D128_F05_V01,128,5,2,200-299,99,100,0.98999999999999999,143335159.01511896,39080566.877926961,0.27076875178009457,common_grid
D128_F05_V01,128,5,3,300-399,98,100,0.97999999999999998,157638424.20135751,38556602.935600638,0.24825830054048459,common_grid
D128_F05_V01,128,5,4,400-499,100,100,1,133755143.64624412,38826762.628891528,0.30411599455434679,common_grid
D128_F07_V01,128,7,0,0-99,98,100,0.97999999999999998,137328044.88413429,41796207.272772662,0.29733935016989332,common_grid
D128_F07_V01,128,7,1,100-199,98,100,0.97999999999999998,125517439.07138562,41005259.912169784,0.32049538999311478,common_grid
D128_F07_V01,128,7,2,200-299,100,100,1,115481915.17832333,37640681.727399766,0.3271028628383249,common_grid
D128_F07_V01,128,7,3,300-399,100,100,1,128008494.78525022,40114521.222645521,0.31541063066394909,common_grid
D128_F07_V01,128,7,4,400-499,97,100,0.96999999999999997,112554863.43641253,40928042.924629524,0.35840994827618927,common_grid
D128_F10_V01,128,10,0,0-99,100,100,1,162287765.15417841,41126896.314534113,0.26140574663986604,common_grid
D128_F10_V01,128,10,1,100-199,100,100,1,182604564.8329156,40463097.50328508,0.22265700070018279,common_grid
D128_F10_V01,128,10,2,200-299,98,100,0.97999999999999998,145473447.06803942,39367608.498956494,0.27177115789703776,common_grid
D128_F10_V01,128,10,3,300-399,100,100,1,149693363.5648281,38745192.89956893,0.2578967992854036,common_grid
