scan_id,flow_mm_s,n_valid_frames,metric,n,mean,sd,min,q1,median,q3,iqr,max
flow01,1,486,q_tail_observed,486,3559280709232.1045,529894551318.91913,1687195481270.3579,3244368898666.8989,3588802803412.1748,3873063865787.3691,628694967120.47021,5103535971202.3906
flow01,1,486,q_vessel_observed,486,2720055683742.3242,628126480886.79773,983235600305.94617,2328595541425.8325,2663432775845.5962,3051783836603.6553,723188295177.82275,5503895483982.8857
flow01,1,486,ri_tail_corrected,486,0.12401141420574863,0.03313821718799078,0.045132393246785897,0.10336287152188353,0.1200366113631912,0.13932897409870088,0.035966102576817344,0.29928027831127912
flow01,1,486,ri_tail_observed,486,0.2721457656472312,0.053364614973352494,0.1079938601900295,0.23732681998190502,0.268942562232105,0.30105489209188557,0.063728072109980549,0.49221075798835745
flow01,1,486,source_background_fraction,486,0.15538760367936141,0.036220450661330457,0.059458873123527774,0.13190936903792203,0.15253869177132615,0.17343163970430173,0.041522270666379701,0.33354571415321671
flow01,1,486,source_mean_observed,486,154607735.29647842,38135768.585787416,64371165.005351692,132650359.82718074,149475499.77011237,172729139.1942271,40078779.367046356,431019449.34854746
flow01,1,486,tail_background_fraction,486,0.61645106557085072,0.05767081545917177,0.45637186639095512,0.58016008567144928,0.6152249697209623,0.65388397212551608,0.0737238864540668,0.90612766857574967
flow01,1,486,tail_mean_observed,486,40321750.790747091,3801850.4677532045,26159398.081430744,37845820.749309584,39973806.389386863,42320008.450204462,4474187.7008948773,52541379.592549361
flow03,3,468,q_tail_observed,468,3479313097166.9102,538389799336.44336,1261958066047.147,3164482730356.7646,3469654764817.9756,3811320743153.9961,646838012797.23145,5102126477989.1816
flow03,3,468,q_vessel_observed,468,2792878224554.6152,702460137871.09839,795844210292.66418,2362535442523.7705,2739035822547.2744,3131184040657.1665,768648598133.396,6127717336031.8428
flow03,3,468,ri_tail_corrected,468,0.11878289958035061,0.034416738910560608,0.040419999060277101,0.095017287842877385,0.11468684369855794,0.13864230090259658,0.043625013059719192,0.23698377490663061
flow03,3,468,ri_tail_observed,468,0.26129036734500949,0.056725673965174174,0.10372362110259468,0.22534986429448922,0.25632875814502504,0.29443373259884803,0.069083868304358809,0.48684193814906435
flow03,3,468,source_background_fraction,468,0.16219517012444223,0.048584138054967897,0.061397167348341858,0.1314536812895179,0.15352311706548122,0.17972132070577312,0.048267639416255226,0.4065825364764396
flow03,3,468,source_mean_observed,468,159554769.8750512,42030335.096480213,62320674.099892646,132167039.8839626,155467660.52228588,175681069.34421086,43514029.460248262,385335273.31314093
flow03,3,468,tail_background_fraction,468,0.6219379355630531,0.057824938690294946,0.48085786675141706,0.58575227522947071,0.61923052333614748,0.6533240431151256,0.067571767885654888,0.85876445319334127
flow03,3,468,tail_mean_observed,468,39610797.160906151,3931573.6014928254,26353822.345447473,37185926.409073353,39258979.062311128,41564579.045447923,4378652.6363745704,62754060.436345786
flow05,5,491,q_tail_observed,491,3470548408324.7715,521176567061.52124,1323381069800.9619,3196178594665.0713,3476454933394.5996,3787878606472.5811,591700011807.50977,5003656995813.5859
flow05,5,491,q_vessel_observed,491,2767780993907.9468,689721453054.32434,857286506435.09277,2292740154151.4229,2729784412296.6064,3176459584531.7266,883719430380.30371,5458300306685.0703
