scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_observed_q1,ri_r_observed_median,ri_r_observed_q3,ri_r_corrected_q1,ri_r_corrected_median,ri_r_corrected_q3,V_observed_median,B_frozen_median
flow01,1,0,486,2.6500000000000115,2.6500000000000115,0.45760895439720733,0.59773627198990953,0.762345104888831,0.33337090607107711,0.51219038186661292,0.71205278945303951,90281327.673316076,25209271.644731116
flow01,1,10,486,9.3500000000000121,0.64999999999998792,0.4561742059681142,0.58064706787256237,0.74556924018438397,0.33930719537933113,0.4959375643606424,0.67432079467943329,87916654.099256858,24415622.371990629
flow01,1,20,486,22.750000000000011,2.7500000000000107,0.37064044670365215,0.51184919062747769,0.66454035794648403,0.24979770303887641,0.40117982584630307,0.58747824806270799,75697392.766584218,24655721.080406144
flow01,1,30,486,29.450000000000014,0.5499999999999865,0.40042705627366193,0.51243861342913233,0.64412984780448745,0.26516770450163124,0.42017764714934858,0.55549281029571962,76053270.999980152,24356531.70909705
flow01,1,40,486,42.850000000000016,2.8500000000000156,0.35721210469592379,0.45222752731976174,0.57421532796064456,0.22101235123398949,0.32720398749739044,0.4774421499103485,68114271.447083414,25557155.392035633
flow01,1,50,486,49.550000000000011,0.44999999999998863,0.34004987690793298,0.44646194893394775,0.59430842373945847,0.21042524708170673,0.33999732643397029,0.48570081398552223,66922870.480621077,25002298.800802544
flow01,1,60,486,62.95000000000001,2.9500000000000099,0.33387568724607397,0.4354414578398248,0.56938664427647634,0.1777799856976249,0.31298413988990692,0.45055217175960249,64443776.54862915,25193798.823652297
flow01,1,70,486,69.65000000000002,0.3499999999999801,0.31879822154469623,0.41840222082577638,0.50482891569757427,0.16879699663098147,0.27156878785588856,0.40275260344170083,60285762.713516705,25870921.078105163
flow01,1,80,486,83.050000000000011,3.0500000000000114,0.2959450330937673,0.37793644466804399,0.47063192691223621,0.12868873507703427,0.23906384956561133,0.35280201176254555,56300849.570046097,25930624.987706989
flow01,1,90,486,89.750000000000014,0.24999999999998579,0.28141610362940195,0.36265754014477575,0.46480965808674113,0.12618201295644732,0.21949412023196713,0.33566518795524364,54064077.725282282,25513637.080089394
