scan_id,diameter_um,flow_mm_s,nominal_frames,geometry_valid_frames,invalid_frames,geometry_valid_fraction,source_mean_raw_q1,source_mean_raw_median,source_mean_raw_q3,source_mean_raw_mean,source_mean_raw_sd,tail_mean_raw_500um_q1,tail_mean_raw_500um_median,tail_mean_raw_500um_q3,tail_mean_raw_500um_mean,tail_mean_raw_500um_sd,ri_tail_q1,ri_tail_median,ri_tail_q3,ri_tail_mean,ri_tail_sd,ri_tail_100um_q1,ri_tail_100um_median,ri_tail_100um_q3,ri_tail_100um_mean,ri_tail_100um_sd,ri_tail_200um_q1,ri_tail_200um_median,ri_tail_200um_q3,ri_tail_200um_mean,ri_tail_200um_sd,ri_tail_300um_q1,ri_tail_300um_median,ri_tail_300um_q3,ri_tail_300um_mean,ri_tail_300um_sd,ri_tail_500um_q1,ri_tail_500um_median,ri_tail_500um_q3,ri_tail_500um_mean,ri_tail_500um_sd
D235_F01_V01,235,1,500,448,52,0.89600000000000002,161015022.09444004,177876490.24867928,193789946.86162841,178375425.4339518,24151263.92475342,30450137.360417295,31444029.308825307,32520938.313107513,32133338.843196534,3765232.9984014225,0.16323168798562734,0.17777253294335632,0.19788704636592067,0.18329718153136984,0.032954682898339416,0.25158902924405346,0.28311047688752572,0.32598656079224919,0.30008956830259276,0.088651871032284363,0.21212774953875846,0.23630795449388309,0.26476404377263807,0.24557388880083161,0.058588692192552763,0.18849539504112731,0.20827812879622101,0.23144597731633904,0.21480671743069002,0.045250005209258586,0.16323168798562734,0.17777253294335632,0.19788704636592067,0.18329718153136984,0.032954682898339416
D235_F03_V01,235,3,500,448,52,0.89600000000000002,167071147.12430766,184709761.97986141,201100625.6940062,185865602.49856395,25891846.54315345,31259484.884987053,32226873.339851588,33442787.858439576,32595872.078993697,2102428.1808056394,0.16209517901895917,0.17681734386491271,0.19495821839438399,0.17832676124610414,0.02407445186332521,0.24950642368454898,0.28145672588177573,0.3154551767665878,0.28597070196852542,0.048529216627874822,0.21265590577164625,0.23376365416959494,0.25867164945163124,0.23650740156367592,0.034998291849261481,0.18708897930802398,0.20573670440297798,0.22773917260563956,0.20796609120644849,0.029391409759255287,0.16209517901895917,0.17681734386491271,0.19495821839438399,0.17832676124610414,0.02407445186332521
D235_F05_V01,235,5,500,424,76,0.84799999999999998,168880457.73457608,183653097.83202255,201892335.99852276,186766863.00063726,26145025.518888488,31001329.484306239,31795299.089069732,32814175.264882788,31954946.742891353,1523308.0413174347,0.15906373757387504,0.17337407043624398,0.18879453124812828,0.17404408710347985,0.022837645604378131,0.24938635694163991,0.27347892088812464,0.30233246859236917,0.2774413064586313,0.041543486091756274,0.20804737559887448,0.23025560807054612,0.24934019826507159,0.23011487403761774,0.031376943751610535,0.1840122635712268,0.20166086112468015,0.220240725856443,0.20251932412598667,0.027138260408079627,0.15906373757387504,0.17337407043624398,0.18879453124812828,0.17404408710347985,0.022837645604378131
D235_F07_V01,235,7,500,444,56,0.88800000000000001,166275882.58188313,182131252.49924386,200816824.60399553,184645193.37872478,25053813.402263705,30739773.259163246,31695067.245719582,32683225.950910401,32002374.338292569,2009527.3523570478,0.15971701157615578,0.17529068400131981,0.19141672614851085,0.17599432999857509,0.022354399595872841,0.25198563181684219,0.28068803635635176,0.31330722275319622,0.28544341073164531,0.045921115588378351,0.21139976840215519,0.23401573804140013,0.25629952100559461,0.23492462093894945,0.032177466613310078,0.18677117372592722,0.20497702881442798,0.22381562661135734,0.2056902408724518,0.026926273234086043,0.15971701157615578,0.17529068400131981,0.19141672614851085,0.17599432999857509,0.022354399595872841
D235_F10_V01,235,10,500,461,39,0.92200000000000004,169085420.99643743,189435690.56708992,210074605.62841114,190674659.06975922,28601278.066757027,30890365.277597554,31943516.680465516,32941380.072071735,32130877.69130639,1965970.6590152618,0.15509873961097284,0.16937144089605621,0.18773872618671034,0.17187134533466641,0.024899013457988353,0.24767002360710128,0.27741686923340886,0.30693172134670166,0.28004683212074721,0.048738780424866131,0.20527936212807155,0.22825631330610927,0.25030241408097875,0.22986935809929762,0.0354501977962468,0.18006390120405893,0.19871596028412214,0.22030587789460793,0.20116502700278499,0.02991424170525904,0.15509873961097284,0.16937144089605621,0.18773872618671034,0.17187134533466641,0.024899013457988353
D285_F01_V01,285,1,500,453,47,0.90600000000000003,168632501.92807987,182701265.06734148,205254688.43936494,187783585.43580711,27264717.492789883,29043271.934131246,29879904.592537455,30871373.253228649,30012615.034653008,1527842.8379393271,0.14864940955144393,0.16251867935806913,0.17534972855749539,0.16243486425994469,0.019444532495520292,0.22915681338290184,0.25005788467519868,0.2711286173383558,0.25072028539348129,0.033394667715121625,0.19211319355869594,0.21119734434264123,0.22767355700736036,0.21057368396750684,0.026773447946397248,0.17073611258697893,0.18732631882992232,0.20255728241381382,0.18711009227074263,0.023129773847717645,0.14864940955144393,0.16251867935806913,0.17534972855749539,0.16243486425994469,0.019444532495520292
D285_F03_V01,285,3,500,474,26,0.94799999999999995,170365747.09384257,187971723.14791089,211534931.39827859,192753016.57807884,30286328.483875968,29464763.344867427,30325801.393416092,31374345.584450968,30622755.047872968,4055433.7483171858,0.14558397288184327,0.16206788236239963,0.17418457345602001,0.16170229648963796,0.024247762662606601,0.22390891103577068,0.24777411029389146,0.27001198847994151,0.25079236870361965,0.07084763260710486,0.18883342539277925,0.20869036593212437,0.22648603017698057,0.21030249168062737,0.043057059640784205,0.16775574500038754,0.18637091805780193,0.20191412017397078,0.18660395752773748,0.03262636333439925,0.14558397288184327,0.16206788236239963,0.17418457345602001,0.16170229648963796,0.024247762662606601
D285_F05_V01,285,5,500,492,8,0.98399999999999999,172831215.94699335,188761489.6040985,212648453.47146323,195869317.43999717,34833016.005778663,29303568.822764196,30196015.411628582,31304092.925264575,30398812.662104327,1494569.1411038379,0.14389210219362591,0.15851643840265062,0.17323287944925109,0.15884116488155298,0.021916567111203922,0.22033708149123546,0.24621206821365485,0.27034681446571562,0.24657896869737536,0.037860675062765303,0.18629640756859903,0.20521588883451561,0.22510866951488856,0.20664482596296244,0.03038109798000278,0.16590661142868016,0.18294054964168294,0.19985407942321567,0.18338803050501806,0.026220467053811231,0.14389210219362591,0.15851643840265062,0.17323287944925109,0.15884116488155298,0.021916567111203922
D285_F07_V01,285,7,500,458,42,0.91600000000000004,173848508.7559956,191099592.95647657,211605526.37179095,195602758.96488503,32328249.140944112,29779350.572762512,30866888.17562015,32173524.136429362,31049042.515515458,1891440.0441416304,0.15048709118374853,0.16095275520138363,0.17302963815898137,0.16172414946874494,0.019674991751659158,0.22796261437586152,0.24518251916612094,0.26607175973134101,0.24647230185305535,0.030180228761324521,0.19362635208047979,0.20700660211090977,0.22520788841537162,0.20873196992475052,0.025279255009580164,0.17260398852804926,0.18521065518928839,0.20027803286536544,0.18595792228820784,0.022482320566719019,0.15048709118374853,0.16095275520138363,0.17302963815898137,0.16172414946874494,0.019674991751659158
D285_F10_V01,285,10,500,494,6,0.98799999999999999,167132464.35862279,181027984.37412828,202431056.41916287,186433935.7697686,29936963.834590934,28403756.304515038,29135322.83867304,30014411.077335108,29411377.162853088,1710763.2505384334,0.147255783260829,0.16013145527090444,0.17390285814168316,0.16067700869163759,0.020080025359635885,0.22590104319774684,0.24559664661580904,0.26891084705959456,0.24794463200935984,0.032901843257403605,0.19167019843108568,0.20674117584945045,0.22554921707190839,0.20875138619874109,0.026636475246250221,0.16974112233070229,0.18456219465634499,0.20024112421523294,0.18549185820378117,0.023298648352303386,0.147255783260829,0.16013145527090444,0.17390285814168316,0.16067700869163759,0.020080025359635885
