bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,88410020.1136345,0.148054250353744,0.80654553615721
5,9,7,12405302.2467215,0.0207743163296342,0.113170895549103
10,14,12,43460488.4285234,0.0727803254203792,0.396480657918454
15,19,17,19175008.5737234,0.032111083294182,0.174929465585856
20,24,22,66745119.388399,0.111773513942415,0.608901321748384
25,29,27,-2246034.08498406,-0.00376128059120291,-0.0204900843023501
30,34,32,4196745.10512156,0.00702800372249541,0.0382860000096687
35,39,37,400240.924185604,0.000670256266371447,0.00365131158633852
40,44,42,-1966218.53978979,-0.00329269252021487,-0.0179373874628543
45,49,47,9140363.72338716,0.0153067457431552,0.08338556591748
50,54,52,14957230.6857367,0.0250478574000827,0.136451588036616
55,59,57,8819426.5176497,0.0147692940228071,0.0804577250421854
60,64,62,5345350.78345164,0.00895149556695645,0.0487644817640131
65,69,67,3457625.83310522,0.00579025092479518,0.0315431743801039
70,74,72,-13668834.3361165,-0.0228902676217257,-0.124697826152479
75,79,77,-5503568.31590025,-0.00921645171253124,-0.0502078661719594
80,84,82,6130424.11375314,0.010266204501997,0.0559265363512295
85,89,87,5686215.25704438,0.00952231812807715,0.0518741148039948
90,94,92,-4474881.21788641,-0.00749377936216585,-0.0408233757495031
95,99,97,3870905.90603054,0.00648234296712764,0.0353134393067742
100,104,102,3521892.04534418,0.00589787318145663,0.0321294611668329
105,109,107,-1314888.50376756,-0.00220195438790585,-0.0119954440898787
110,114,112,-7641353.09596942,-0.0127964545518471,-0.0697104154238819
115,119,117,-13498248.5160119,-0.02260459914564,-0.123141608525108
