scan_id,diameter_um,flow_mm_s,slow_axis_segment,n_frames,n_strict_order_frames,strict_order_frame_fraction,all_frames_strict_upper_middle_lower,upper_mean_raw_median,upper_q_fraction_median,middle_mean_raw_median,middle_q_fraction_median,lower_mean_raw_median,lower_q_fraction_median,middle_to_upper_mean_ratio_median,lower_to_upper_mean_ratio_median,lower_to_middle_mean_ratio_median,source_mean_raw_frozen_median,strict_upper_middle_lower,strict_upper_middle_lower_segment_medians,middle_to_upper_ratio_median,lower_to_upper_ratio_median
D128_F01_V01,128,1,0,100,20,0.20000000000000001,False,152292615.21601045,0.27417104062565351,169152315.10171896,0.44946383664028156,146019607.9260489,0.27015222573787134,1.1629658222438579,0.9874133381172655,0.8793824364522832,156821568.47186434,False,False,1.1629658222438579,0.9874133381172655
D128_F01_V01,128,1,1,99,28,0.28282828282828282,False,166231717.21709052,0.29147347387342715,160906203.07569164,0.41970778070593506,152801486.2146188,0.26544342146800354,1.0496882354116406,0.90542012074095723,0.90072073707930467,164957933.60089538,True,True,1.0496882354116406,0.90542012074095723
D128_F01_V01,128,1,2,97,37,0.38144329896907214,False,148088745.1190415,0.31371441308305431,135453672.5674842,0.4214304461898003,119881392.78026195,0.25847040183172892,0.92486003071010003,0.84885708215423605,0.89453452994633731,143020480.91590193,True,True,0.92486003071010003,0.84885708215423605
D128_F01_V01,128,1,3,98,27,0.27551020408163263,False,151503730.03666657,0.28842398666348618,156182720.55259788,0.42743321687442593,136283978.62096629,0.26535830225140411,1.0898030292718242,0.93465556366496982,0.88910104635816278,151221237.26550961,False,False,1.0898030292718242,0.93465556366496982
D128_F01_V01,128,1,4,92,8,0.086956521739130432,False,108431969.1579318,0.23483286121405261,142001360.6846171,0.44130498887246183,144413025.9274652,0.31066377062627137,1.3039001031098376,1.356171442420864,1.016062749517769,137068180.49954879,False,False,1.3039001031098376,1.356171442420864
D128_F03_V01,128,3,0,94,26,0.27659574468085107,False,166969920.0294399,0.29901561461978865,175399158.46581888,0.45527440551021803,130925894.02999461,0.23693281653996801,1.0969653265759765,0.77468286712923007,0.78586207686357179,167436299.16374156,False,False,1.0969653265759765,0.77468286712923007
D128_F03_V01,128,3,1,95,39,0.41052631578947368,False,188748035.27432579,0.32163291996068305,178262900.538441,0.42492243298324139,150725660.8403666,0.24727247277434344,1.0006904627188669,0.78689119397476592,0.84737780994361378,174563735.80570307,True,True,1.0006904627188669,0.78689119397476592
D128_F03_V01,128,3,2,87,10,0.11494252873563218,False,123919192.81063437,0.25500246953958805,151672061.24226341,0.44628738578081512,130760273.48706892,0.2891490832548626,1.2615338250818828,1.1686897812136368,0.92232203172514904,140757084.92775187,False,False,1.2615338250818828,1.1686897812136368
D128_F03_V01,128,3,3,100,28,0.28000000000000003,False,144629279.25842792,0.28881827046244002,156185004.95121175,0.44289352903922174,132673340.23344368,0.25877468914294988,1.0643762978989892,0.88929893838316376,0.83965740095583796,149644221.8607868,False,False,1.0643762978989892,0.88929893838316376
D128_F03_V01,128,3,4,92,24,0.2608695652173913,False,143538728.22320887,0.29293102302431706,147164541.75344682,0.42531386874393551,125825964.82207143,0.26776366626127002,1.0131089448497019,0.87150821341089524,0.89507105559410671,147150038.90474051,False,False,1.0131089448497019,0.87150821341089524
