scan_id,diameter_um,flow_mm_s,n_frames,n_strict_order_frames,strict_order_frame_fraction,all_frames_strict_upper_middle_lower,upper_mean_raw_median,upper_q_fraction_median,middle_mean_raw_median,middle_q_fraction_median,lower_mean_raw_median,lower_q_fraction_median,middle_to_upper_mean_ratio_median,lower_to_upper_mean_ratio_median,lower_to_middle_mean_ratio_median,source_mean_raw_frozen_median,strict_upper_middle_lower,strict_upper_middle_lower_volume_medians
D128_F01_V01,128,1,486,120,0.24691358024691357,False,147906917.84618485,0.28335201137124399,154247686.26944774,0.42845670130637914,139532171.69640589,0.27241921832990879,1.0822281480443556,0.96670527110554183,0.91139788742244532,149475499.77011237,False,False
D128_F03_V01,128,3,468,127,0.27136752136752135,False,151274172.76664695,0.28990809305436771,163023021.73394901,0.43932145203267969,133859544.75948071,0.25988838877747311,1.0678810889721788,0.88065365928567196,0.85556825479412812,155467660.52228588,False,False
D128_F05_V01,128,5,491,163,0.33197556008146639,False,154921120.46617922,0.2943587806558019,157700789.8919878,0.436071412711246,134899096.82484913,0.25466111485528142,1.0383196638110719,0.86173691567302202,0.85296498615731742,154204959.81361899,False,False
D128_F07_V01,128,7,493,31,0.062880324543610547,False,103397062.49451938,0.24905995565413044,126954753.88924205,0.42648137688600257,133470366.81646454,0.31280312655146136,1.2298803723181904,1.2805719979310235,1.0406411486249563,123276893.0110162,False,False
D128_F10_V01,128,10,484,126,0.26033057851239672,False,150860153.93285525,0.28633811870495585,162367777.75783426,0.43745274686256325,140856990.42982495,0.26230297127588409,1.0828028414866759,0.94649362983609608,0.86373986268309655,154338856.44940418,False,False
D235_F01_V01,235,1,448,440,0.9821428571428571,False,287378008.16455287,0.47118712768886895,162453551.00263619,0.38225624475557124,87741608.99587886,0.14283913368745016,0.57144428185426099,0.30589021022602814,0.53283220066368564,177876490.24867928,True,True
D235_F03_V01,235,3,448,446,0.9955357142857143,False,302272306.20190644,0.48323444865253795,162866692.65727618,0.37080586151429085,90162770.164917961,0.14380555166242262,0.54212698180151497,0.29604013193044565,0.55445825318833719,184709761.97986141,True,True
D235_F05_V01,235,5,424,424,1,True,312342765.0045166,0.49349231291464057,160253697.16424385,0.36473624404770477,87401903.179003567,0.13859989042552218,0.5200288544598386,0.28160486254844658,0.55044632350706379,183653097.83202255,True,True
D235_F07_V01,235,7,444,443,0.99774774774774777,False,303001048.97051156,0.4851505853722341,161410693.31262481,0.36848616096640652,89014366.160004362,0.14224803856056578,0.53131861075586007,0.29588423884105752,0.55125297158350939,182131252.49924386,True,True
D235_F10_V01,235,10,461,460,0.99783080260303691,False,315595786.22932196,0.49182856068067088,165791559.11048526,0.36576734543217604,89853899.478426054,0.14094795589443257,0.52268477673925928,0.28658581920615389,0.54513983260201737,189435690.56708992,True,True
