bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,149723009.571655,0.202465665324537,0.420856217375566
5,9,7,59317314.2004113,0.0802129179690532,0.166734963120787
10,14,12,14519116.2816244,0.0196337393049567,0.0408117655088684
15,19,17,3700027.47725612,0.00500342951323865,0.0104004025347783
20,24,22,41244149.0408387,0.0557731513692381,0.115933126136463
25,29,27,-5578903.33684406,-0.00754417359834621,-0.015681732301303
30,34,32,13930709.3675247,0.0188380553437167,0.0391578132616214
35,39,37,9396231.03004033,0.0127062244639807,0.0264118538640326
40,44,42,-1978703.01588387,-0.00267573717451136,-0.00556193379332233
45,49,47,1649855.43128531,0.00223104704173487,0.00463757653558896
50,54,52,9604684.6848322,0.0129881097134658,0.0269977959774379
55,59,57,-6532874.98201682,-0.00883419912209986,-0.0183632499866579
60,64,62,10000553.7667516,0.0135234308860866,0.0281105438768366
65,69,67,8758132.82625663,0.0118433445516608,0.0246182244337476
70,74,72,517975.444585621,0.000700441724420527,0.00145597651907608
75,79,77,-5621079.02433904,-0.00760120643954824,-0.0158002838876966
80,84,82,14242182.417913,0.0192592504463128,0.0400333324632182
85,89,87,15249776.0304928,0.0206217872516533,0.0428655760686287
90,94,92,10275006.1631271,0.0138945641353519,0.0288820017691054
95,99,97,6239844.17958011,0.00843794288502805,0.0175395700763966
100,104,102,-7351591.26980715,-0.0099413231265781,-0.0206645785597942
105,109,107,-4528623.16966544,-0.00612391312246247,-0.0127295011138059
110,114,112,-5029034.81440138,-0.0068006038787962,-0.0141361075702
115,119,117,-4657088.38351946,-0.00629763254654046,-0.0130906038202076
120,124,122,13353919.408736,0.0180580806217768,0.0375365150992983
125,129,127,2015491.14505337,0.00272548459189,0.00566534149886401
